"","ID","p_DAS28CRP_lm","beta_DAS28CRP_lm","DAS28CRP_lm"
"Alpha-ketoisovaleric acid","Alpha-ketoisovaleric acid",0.749129471258744,0.030962080094324,"n.s."
"Methylsuccinic acid","Methylsuccinic acid",0.286303172013238,-0.093666397876057,"n.s."
"Oxalacetic acid","Oxalacetic acid",0.323734100128007,-0.11121325233488,"n.s."
"Oxoglutaric acid","Oxoglutaric acid",0.525588439858198,0.0513555967907059,"n.s."
"2-Hydroxyglutarate","2-Hydroxyglutarate",0.802952456250387,-0.0198603478128494,"n.s."
"D-Fructose","D-Fructose",0.338682742357421,-0.0916044209768612,"n.s."
"Glucose 1-phosphate","Glucose 1-phosphate",0.184016775368709,-0.130470674417023,"n.s."
"Geranyl-PP","Geranyl-PP",0.693731834136287,-0.035603255094379,"n.s."
"Adenylsuccinic acid","Adenylsuccinic acid",0.157325250691536,-0.178275437502678,"n.s."
"Glycerol 3-phosphate","Glycerol 3-phosphate",0.127444385211789,-0.242886592011688,"n.s."
"Glyceraldehyde","Glyceraldehyde",0.319786477701205,-0.0903250492887948,"n.s."
"Pyruvic acid","Pyruvic acid",0.976628970793457,0.00273937145343029,"n.s."
"Methyl (R)-3-methyl-2-oxopentanoate","Methyl (R)-3-methyl-2-oxopentanoate",0.20482778236136,-0.141873085439506,"n.s."
"Isocitric acid","Isocitric acid",0.998336175733682,-0.000198067380401345,"n.s."
"Homovanillic acid","Homovanillic acid",0.00616831617970541,-0.240596367478733,"negative"
"Trimethylamine","Trimethylamine",0.893109016838463,0.0120447874867852,"n.s."
"Glycine","Glycine",0.624773702541075,-0.0438203851056828,"n.s."
"Trimethylamine N-oxide","Trimethylamine N-oxide",0.547903158165504,0.0544599459363692,"n.s."
"Sarcosine","Sarcosine",0.755490862939662,0.0275225049212499,"n.s."
"L-Alanine","L-Alanine",0.543456798902548,-0.0551921135909891,"n.s."
"Cadaverine","Cadaverine",0.234753267173823,-0.115465199290285,"n.s."
"2-Aminoisobutyric acid","2-Aminoisobutyric acid",0.956254431155607,0.00465733904049485,"n.s."
"Choline","Choline",0.764660090107993,-0.0270764601655222,"n.s."
"Dimethylglycine","Dimethylglycine",0.658152397072947,0.0397882687976914,"n.s."
"L-Serine","L-Serine",0.670661145211897,-0.0379708797295671,"n.s."
"Cytosine","Cytosine",0.86611393730179,-0.0147890970005788,"n.s."
"Creatinine","Creatinine",0.334429810307723,0.0845028215375524,"n.s."
"L-Proline","L-Proline",0.479105204714137,0.0575835869871547,"n.s."
"5-Aminopentanoic acid","5-Aminopentanoic acid",0.270342021864944,-0.109726984342291,"n.s."
"Betaine","Betaine",0.0625373809975122,0.166794076042686,"n.s."
"L-Valine","L-Valine",0.561389006002143,-0.0651252109439894,"n.s."
"Indole","Indole",0.46122997189281,0.0643334456699768,"n.s."
"L-Homoserine","L-Homoserine",0.542435659581304,-0.0542724043657254,"n.s."
"L-Threonine","L-Threonine",0.538859299096555,-0.0546351458965687,"n.s."
"L-Cysteine","L-Cysteine",0.0865069132990714,-0.157797386022502,"n.s."
"Niacinamide","Niacinamide",0.315997929756595,-0.0887371853969773,"n.s."
"Taurine","Taurine",0.451415058177002,-0.0646218258140264,"n.s."
"Pyroglutamic acid","Pyroglutamic acid",0.459398121717556,-0.0662708910843692,"n.s."
"L-Pipecolic acid","L-Pipecolic acid",0.975961616795853,0.00272592102250368,"n.s."
"N-Acetylputrescine","N-Acetylputrescine",0.820486663500383,0.0199114581199483,"n.s."
"Creatine","Creatine",0.876012713236326,0.0124520376130655,"n.s."
"4-Hydroxyproline","4-Hydroxyproline",0.784902378479842,-0.0292550389365317,"n.s."
"5-Aminolevulinic acid","5-Aminolevulinic acid",0.57494896665946,0.0499720274558205,"n.s."
"L-Isoleucine","L-Isoleucine",0.803199117433506,-0.0226474828260305,"n.s."
"L-Leucine","L-Leucine",0.877647655099499,0.0162277542404471,"n.s."
"Ornithine","Ornithine",0.769462977329489,-0.025948146578949,"n.s."
"L-Asparagine","L-Asparagine",0.701683139763109,-0.0420831706256625,"n.s."
"Homocysteine","Homocysteine",0.947974464986699,-0.00613886806943361,"n.s."
"N-Methylnicotinamide","N-Methylnicotinamide",0.976644042239353,-0.00291295237935319,"n.s."
"Tyramine","Tyramine",0.7568488312961,0.028067723627821,"n.s."
"4-Acetamidobutanoic acid","4-Acetamidobutanoic acid",0.987460861132218,-0.00139174707070393,"n.s."
"Spermidine","Spermidine",0.866476375326322,-0.0150172148308311,"n.s."
"L-Glutamine","L-Glutamine",0.624497348762625,0.0419447637060101,"n.s."
"L-Lysine","L-Lysine",0.808067553201961,0.0222570411942921,"n.s."
"DL-Glutamate","DL-Glutamate",0.566338411011116,-0.0569564768046659,"n.s."
"L-Methionine","L-Methionine",0.781851000523521,-0.0263618795475642,"n.s."
"Cysteamine","Cysteamine",0.658866784936347,0.0403389709672516,"n.s."
"L-Histidine","L-Histidine",0.912650439017283,-0.0094583665187955,"n.s."
"Tryptamine","Tryptamine",0.345101538998417,-0.083805220314889,"n.s."
"L-Carnitine","L-Carnitine",0.910839778157851,-0.00976928458423285,"n.s."
"L-Phenylalanine","L-Phenylalanine",0.715553986258648,-0.0331459640689733,"n.s."
"1-Methyl-L-histidine","1-Methyl-L-histidine",0.413483986034119,-0.0720975359402292,"n.s."
"L-Arginine","L-Arginine",0.856331144009192,-0.0161934184674795,"n.s."
"Indoleacetic acid","Indoleacetic acid",0.810113205706796,-0.0213088087384334,"n.s."
"Glucosamine","Glucosamine",0.781030787190561,0.0246842071803565,"n.s."
"L-Tyrosine","L-Tyrosine",0.83559326221486,0.0167166719026387,"n.s."
"N8-Acetylspermidine","N8-Acetylspermidine",0.884461706144057,-0.0125661794746544,"n.s."
"L-Acetylcarnitine","L-Acetylcarnitine",0.283690202949552,-0.0832103986295908,"n.s."
"L-Tryptophan","L-Tryptophan",0.723528295214348,-0.0317149917274143,"n.s."
"Indolelactic acid","Indolelactic acid",0.501733550314927,-0.061006433359944,"n.s."
"L-Kynurenine","L-Kynurenine",0.760632023733787,-0.0273189394564881,"n.s."
"3-hydroxy-L-kynurenin","3-hydroxy-L-kynurenin",0.877991266479671,0.0133516043965135,"n.s."
"Melatonin","Melatonin",0.706527011020692,0.033672531115743,"n.s."
"L-Cystine","L-Cystine",0.638223288349212,-0.0469949365641755,"n.s."
"Cytidine","Cytidine",0.792617155776807,-0.0228182542153633,"n.s."
"N1-Acetylspermine","N1-Acetylspermine",0.897584453951462,-0.0113989342499551,"n.s."
"Uridine","Uridine",0.319324213028225,-0.0868590012711786,"n.s."
"Adenosine","Adenosine",0.673762833367333,-0.0350268264043034,"n.s."
"Inosine","Inosine",0.507813405669213,-0.0551724079273506,"n.s."
"2'-O-Methyladenosine","2'-O-Methyladenosine",0.61390551940816,0.0458910850643129,"n.s."
"Guanosine monophosphate","Guanosine monophosphate",0.285054457137367,0.103613434136545,"n.s."
"S-Adenosylmethionine","S-Adenosylmethionine",0.225236620238094,0.192745247709352,"n.s."
"Alpha-Tocopherol","Alpha-Tocopherol",0.642761546592681,-0.0421863491575781,"n.s."
"Bilirubin","Bilirubin",0.417258417609895,-0.0858410563706963,"n.s."
"Acetamidopropanal","Acetamidopropanal",0.564831447393881,-0.0493114010426692,"n.s."
"1-methyladenosine","1-methyladenosine",0.642112211137545,0.050220057811312,"n.s."
"Serotonin","Serotonin",0.85349063342322,-0.0178941401058341,"n.s."
"Xanthurenic acid","Xanthurenic acid",0.535598885796773,-0.0567293475035998,"n.s."
"4-Trimethylammoniobutanoic acid","4-Trimethylammoniobutanoic acid",0.200215864504507,-0.111104446637026,"n.s."
"Epinephrine","Epinephrine",0.727620955476075,-0.031928628360351,"n.s."
"Indolepyruvate","Indolepyruvate",0.664816318222591,-0.0374323957440655,"n.s."
"1-Methylguanosine","1-Methylguanosine",0.843131836394357,0.0184218221567672,"n.s."
"Normetanephrine","Normetanephrine",0.994727903167879,-0.000563720351405873,"n.s."
"Carnosine","Carnosine",0.63386280725776,0.0435806521487839,"n.s."
