"metabolic","N_P_nonNA","N_N_nonNA","detected_P","detected_N","NA_test_pvalue","NA_test_used"
"2-Hydroxyglutarate",183,14,1,1,1,"Fisher"
"Fructose",183,14,1,1,1,"Fisher"
"Glucose 1-phosphate",183,14,1,1,1,"Fisher"
"Geranyl-PP",183,14,1,1,1,"Fisher"
"Adenylsuccinic acid",183,14,1,1,1,"Fisher"
"Glycerol 3-phosphate",183,14,1,1,1,"Fisher"
"Glyceraldehyde",183,14,1,1,1,"Fisher"
"Pyruvic acid",183,14,1,1,1,"Fisher"
"Methyl-3-methyl-2-oxopentanoate",183,14,1,1,1,"Fisher"
"Isocitric acid",183,14,1,1,1,"Fisher"
"Homovanillic acid",183,14,1,1,1,"Fisher"
"Trimethylamine",183,14,1,1,1,"Fisher"
"Glycine",183,14,1,1,1,"Fisher"
"Trimethylamine N-oxide",183,14,1,1,1,"Fisher"
"Sarcosine",183,14,1,1,1,"Fisher"
"Alanine",183,14,1,1,1,"Fisher"
"Cadaverine",183,14,1,1,1,"Fisher"
"3-Aminoisobutyric acid",183,14,1,1,1,"Fisher"
"Choline",183,14,1,1,1,"Fisher"
"Dimethylglycine",183,14,1,1,1,"Fisher"
"Serine",183,14,1,1,1,"Fisher"
"Cytosine",140,10,0.765027322404372,0.714285714285714,0.745367904190008,"Fisher"
"Creatinine",183,14,1,1,1,"Fisher"
"Proline",183,14,1,1,1,"Fisher"
"5-Aminopentanoic acid",183,14,1,1,1,"Fisher"
"Betaine",183,14,1,1,1,"Fisher"
"Valine",183,14,1,1,1,"Fisher"
"Indole",135,13,0.737704918032787,0.928571428571429,0.195740758039522,"Fisher"
"Homoserine",183,14,1,1,1,"Fisher"
"Threonine",183,14,1,1,1,"Fisher"
"Cysteine",80,7,0.437158469945355,0.5,0.859382096499733,"Chi-square"
"Niacinamide",183,14,1,1,1,"Fisher"
"Taurine",183,14,1,1,1,"Fisher"
"Pyroglutamic acid",183,14,1,1,1,"Fisher"
"Pipecolic acid",183,14,1,1,1,"Fisher"
"N-Acetylputrescine",183,14,1,1,1,"Fisher"
"Creatine",183,14,1,1,1,"Fisher"
"4-Hydroxyproline",183,14,1,1,1,"Fisher"
"5-Aminolevulinic acid",183,14,1,1,1,"Fisher"
"Isoleucine",183,14,1,1,1,"Fisher"
"Leucine",183,14,1,1,1,"Fisher"
"Ornithine",183,14,1,1,1,"Fisher"
"Asparagine",183,14,1,1,1,"Fisher"
"Homocysteine",183,14,1,1,1,"Fisher"
"N-Methylnicotinamide",183,14,1,1,1,"Fisher"
"Tyramine",42,5,0.229508196721311,0.357142857142857,0.450469839733428,"Chi-square"
"4-Acetamidobutanoic acid",183,14,1,1,1,"Fisher"
"Spermidine",136,10,0.743169398907104,0.714285714285714,0.759631260365499,"Fisher"
"Glutamine",183,14,1,1,1,"Fisher"
"Lysine",183,14,1,1,1,"Fisher"
"Glutamate",183,14,1,1,1,"Fisher"
"Methionine",183,14,1,1,1,"Fisher"
"Histidine",183,14,1,1,1,"Fisher"
"Tryptamine",153,10,0.836065573770492,0.714285714285714,0.269112188886335,"Fisher"
"Carnitine",183,14,1,1,1,"Fisher"
"Phenylalanine",183,14,1,1,1,"Fisher"
"1-Methyl-histidine",183,14,1,1,1,"Fisher"
"Arginine",183,14,1,1,1,"Fisher"
"Indoleacetic acid",183,14,1,1,1,"Fisher"
"Glucosamine",168,14,0.918032786885246,1,0.606051266504784,"Fisher"
"Tyrosine",183,14,1,1,1,"Fisher"
"N8-Acetylspermidine",183,14,1,1,1,"Fisher"
"Acetylcarnitine",183,14,1,1,1,"Fisher"
"Tryptophan",183,14,1,1,1,"Fisher"
"Indolelactic acid",183,14,1,1,1,"Fisher"
"Kynurenine",183,14,1,1,1,"Fisher"
"3-Hydroxy-kynurenin",71,6,0.387978142076503,0.428571428571429,0.987341212923684,"Chi-square"
"Melatonin",154,13,0.841530054644809,0.928571428571429,0.699204014512446,"Fisher"
"Cystine",183,14,1,1,1,"Fisher"
"Cytidine",183,14,1,1,1,"Fisher"
"N1-Acetylspermine",52,7,0.284153005464481,0.5,0.162495333016398,"Chi-square"
"Uridine",183,14,1,1,1,"Fisher"
"Adenosine",150,13,0.819672131147541,0.928571428571429,0.471195466492957,"Fisher"
"Inosine",183,14,1,1,1,"Fisher"
"6-Methyladenosine",165,12,0.901639344262295,0.857142857142857,0.638933302499748,"Fisher"
"Guanosine monophosphate",155,13,0.846994535519126,0.928571428571429,0.697661470997125,"Fisher"
"S-Adenosylmethionine",20,3,0.109289617486339,0.214285714285714,0.214076909958853,"Fisher"
"Alpha-Tocopherol",183,14,1,1,1,"Fisher"
"Bilirubin",181,14,0.989071038251366,1,1,"Fisher"
"1-Methyladenosine",183,14,1,1,1,"Fisher"
"Serotonin",183,14,1,1,1,"Fisher"
"Xanthurenic acid",183,14,1,1,1,"Fisher"
"4-Trimethylammoniobutanoic acid",183,14,1,1,1,"Fisher"
"Epinephrine",183,14,1,1,1,"Fisher"
"Indolepyruvate",117,9,0.639344262295082,0.642857142857143,0.999999999999999,"Chi-square"
"1-Methylguanosine",183,14,1,1,1,"Fisher"
"Normetanephrine",97,9,0.530054644808743,0.642857142857143,0.590677421504383,"Chi-square"
