"","Metabolite","Estimate.IH","Std.err.IH","CI_lower.IH","CI_upper.IH","p_value.IH","sig"
"Amino Sugar Metabolism","Amino Sugar Metabolism",-0.277815645135189,0.0653510228775863,-0.405903649975258,-0.14972764029512,2.12695368538851e-05,"sig"
"Ammonia Recycling","Ammonia Recycling",-0.533466402094888,0.0526874933784866,-0.636733889116722,-0.430198915073054,0,"sig"
"Antipyrine Action Pathway","Antipyrine Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Antrafenine Action Pathway","Antrafenine Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Arachidonic Acid Metabolism","Arachidonic Acid Metabolism",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Arbekacin Action Pathway","Arbekacin Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Arginine and Proline Metabolism","Arginine and Proline Metabolism",-0.105047851278935,0.0330708405662949,-0.169866698788873,-0.0402290037689973,0.00149089801883151,"sig"
"Arginine: Glycine Amidinotransferase Deficiency ","Arginine: Glycine Amidinotransferase Deficiency ",-0.105047851278935,0.0330708405662949,-0.169866698788873,-0.0402290037689973,0.00149089801883151,"sig"
"Argininemia","Argininemia",-0.462360766376608,0.047384257441243,-0.555233910961444,-0.369487621791772,0,"sig"
"Argininosuccinic Aciduria","Argininosuccinic Aciduria",-0.462360766376608,0.047384257441243,-0.555233910961444,-0.369487621791772,0,"sig"
"Aromatic L-Aminoacid Decarboxylase Deficiency","Aromatic L-Aminoacid Decarboxylase Deficiency",-0.211811216496426,0.0554491183064412,-0.320491488377051,-0.103130944615802,0.000133494764951725,"sig"
"Aspartate Metabolism","Aspartate Metabolism",-0.122009555732882,0.0643116363503012,-0.248060362979472,0.00404125151370857,0.057806636146272,"not sig"
"Azathioprine Action Pathway","Azathioprine Action Pathway",-0.313001313505981,0.0438661055440274,-0.398978880372274,-0.227023746639687,9.65227897609111e-13,"sig"
"Azithromycin Action Pathway","Azithromycin Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"beta-Alanine Metabolism","beta-Alanine Metabolism",-0.408714852444154,0.0654507190986713,-0.53699826187755,-0.280431443010758,4.24832391487939e-10,"sig"
"beta-Ketothiolase Deficiency","beta-Ketothiolase Deficiency",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"beta-Mercaptolactate-Cysteine Disulfiduria","beta-Mercaptolactate-Cysteine Disulfiduria",-0.736820113196133,0.0636166345463619,-0.861508716907003,-0.612131509485264,0,"sig"
"beta-Ureidopropionase Deficiency","beta-Ureidopropionase Deficiency",-0.0349327616000843,0.0547970905106726,-0.142335059001003,0.0724695358008339,0.523803768356323,"not sig"
"Betaine Metabolism","Betaine Metabolism",-0.122474376736333,0.0519256348662881,-0.224248621074258,-0.0207001323984088,0.0183415664043445,"sig"
"Bile Acid Biosynthesis","Bile Acid Biosynthesis",0.217410707366713,0.0628444043942078,0.094235674754066,0.340585739979361,0.000541163597577277,"sig"
"Bromfenac Action Pathway","Bromfenac Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Butyrate Metabolism","Butyrate Metabolism",-0.28160254098387,0.0783962027854016,-0.435259098443257,-0.127945983524483,0.000328095541396678,"sig"
"Canavan Disease","Canavan Disease",-0.122009555732882,0.0643116363503012,-0.248060362979472,0.00404125151370857,0.057806636146272,"not sig"
"Carbamoyl Phosphate Synthetase Deficiency","Carbamoyl Phosphate Synthetase Deficiency",-0.462360766376608,0.047384257441243,-0.555233910961444,-0.369487621791772,0,"sig"
"Cardiolipin Biosynthesis","Cardiolipin Biosynthesis",-0.0972156918937255,0.0796117545102926,-0.253254730733899,0.058823346946448,0.222039702710958,"not sig"
"Cardiolipin Biosynthesis ","Cardiolipin Biosynthesis ",-0.0972156918937255,0.0796117545102926,-0.253254730733899,0.058823346946448,0.222039702710958,"not sig"
"Cardiolipin Biosynthesis CL","Cardiolipin Biosynthesis CL",-0.0972156918937255,0.0796117545102926,-0.253254730733899,0.058823346946448,0.222039702710958,"not sig"
"Carnitine Synthesis","Carnitine Synthesis",-0.0948099021849077,0.0360301525666812,-0.165429001215603,-0.0241908031542125,0.00850327853897803,"sig"
"Carnosinuria, Carnosinemia","Carnosinuria, Carnosinemia",-0.408714852444154,0.0654507190986713,-0.53699826187755,-0.280431443010758,4.24832391487939e-10,"sig"
"Carprofen Action Pathway","Carprofen Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Catecholamine Biosynthesis","Catecholamine Biosynthesis",-0.211811216496426,0.0554491183064412,-0.320491488377051,-0.103130944615802,0.000133494764951725,"sig"
"Celecoxib Action Pathway","Celecoxib Action Pathway",0.198589997915981,0.0611930278594301,0.0786516633114977,0.318528332520464,0.00117325166314763,"sig"
"Cerebrotendinous Xanthomatosis ","Cerebrotendinous Xanthomatosis ",0.217410707366713,0.0628444043942078,0.094235674754066,0.340585739979361,0.000541163597577277,"sig"
"Chloramphenicol Action Pathway","Chloramphenicol Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Citalopram Action Pathway","Citalopram Action Pathway",-0.241867113330557,0.083245090414286,-0.405027490542558,-0.0787067361185569,0.00366687917640651,"sig"
"Citric Acid Cycle","Citric Acid Cycle",-0.28410984059859,0.057742266946361,-0.397284683813458,-0.170934997383723,8.64073433248791e-07,"sig"
"Citrullinemia Type I","Citrullinemia Type I",-0.462360766376608,0.047384257441243,-0.555233910961444,-0.369487621791772,0,"sig"
"Clarithromycin Action Pathway","Clarithromycin Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Clindamycin Action Pathway","Clindamycin Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Clomocycline Action Pathway","Clomocycline Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Codeine Action Pathway","Codeine Action Pathway",-0.14785545590767,0.0845278606123652,-0.313530062707906,0.017819150892566,0.080257839857389,"not sig"
"Congenital Bile Acid Synthesis Defect Type II","Congenital Bile Acid Synthesis Defect Type II",0.217410707366713,0.0628444043942078,0.094235674754066,0.340585739979361,0.000541163597577277,"sig"
"Congenital Bile Acid Synthesis Defect Type III","Congenital Bile Acid Synthesis Defect Type III",0.217410707366713,0.0628444043942078,0.094235674754066,0.340585739979361,0.000541163597577277,"sig"
"Congenital Disorder of Glycosylation CDG-IId","Congenital Disorder of Glycosylation CDG-IId",0.531985185735346,0.0824683192566217,0.370347279992368,0.693623091478325,1.11274101044501e-10,"sig"
"Congenital Erythropoietic Porphyria ","Congenital Erythropoietic Porphyria ",-0.371828452235005,0.0690629335032718,-0.507191801901418,-0.236465102568593,7.28859312904007e-08,"sig"
"Congenital Lactic Acidosis","Congenital Lactic Acidosis",-0.28410984059859,0.057742266946361,-0.397284683813458,-0.170934997383723,8.64073433248791e-07,"sig"
"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency","Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",-0.105047851278935,0.0330708405662949,-0.169866698788873,-0.0402290037689973,0.00149089801883151,"sig"
"Cystathionine beta-Synthase Deficiency","Cystathionine beta-Synthase Deficiency",-0.157045441500936,0.0546734709005032,-0.264205444465922,-0.0498854385359493,0.00407334827491457,"sig"
"Cysteine Metabolism","Cysteine Metabolism",-0.736820113196133,0.0636166345463619,-0.861508716907003,-0.612131509485264,0,"sig"
"Cystinosis, Ocular Nonnephropathic","Cystinosis, Ocular Nonnephropathic",-0.736820113196133,0.0636166345463619,-0.861508716907003,-0.612131509485264,0,"sig"
"D-Glyceric Acidura","D-Glyceric Acidura",-0.0221620316844741,0.0757419376840061,-0.170616229545126,0.126292166176178,0.769828512089112,"not sig"
"De Novo Triacylglycerol Biosynthesis","De Novo Triacylglycerol Biosynthesis",-0.160802400767175,0.0805110164103064,-0.318603992931376,-0.00300080860297433,0.0457956406099054,"sig"
"De Novo Triacylglycerol Biosynthesis TG","De Novo Triacylglycerol Biosynthesis TG",-0.160802400767175,0.0805110164103064,-0.318603992931376,-0.00300080860297433,0.0457956406099054,"sig"
"Demeclocycline Action Pathway","Demeclocycline Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Diclofenac Action Pathway","Diclofenac Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Diflunisal Action Pathway","Diflunisal Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Dihydropyrimidinase Deficiency","Dihydropyrimidinase Deficiency",-0.0349327616000843,0.0547970905106726,-0.142335059001003,0.0724695358008339,0.523803768356323,"not sig"
"Dihydropyrimidine Dehydrogenase Deficiency ","Dihydropyrimidine Dehydrogenase Deficiency ",-0.27492674914405,0.0356017466083081,-0.344706172496334,-0.205147325791766,1.14352971536391e-14,"sig"
"Dimethylglycine Dehydrogenase Deficiency","Dimethylglycine Dehydrogenase Deficiency",-0.0830992373178543,0.012888855786565,-0.108361394659522,-0.0578370799761869,1.13806852830578e-10,"sig"
"Disulfiram Action Pathway","Disulfiram Action Pathway",-0.221431571040746,0.0414949537128663,-0.302761680317964,-0.140101461763528,9.48365752595492e-08,"sig"
"Dopamine beta-Hydroxylase Deficiency","Dopamine beta-Hydroxylase Deficiency",-0.173990433807743,0.0437561159421272,-0.259752421054313,-0.0882284465611739,6.99757138453716e-05,"sig"
"Doxycycline Action Pathway","Doxycycline Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Erythromycin Action Pathway","Erythromycin Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Estrone Metabolism","Estrone Metabolism",-0.227821821105519,0.0653439733261002,-0.355896008824675,-0.0997476333863628,0.000489383756834827,"sig"
"Etodolac Action Pathway","Etodolac Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Etoricoxib Action Pathway","Etoricoxib Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Familial Hypercholanemia ","Familial Hypercholanemia ",0.217410707366713,0.0628444043942078,0.094235674754066,0.340585739979361,0.000541163597577277,"sig"
"Familial Lipoprotein Lipase Deficiency","Familial Lipoprotein Lipase Deficiency",-0.0221620316844741,0.0757419376840061,-0.170616229545126,0.126292166176178,0.769828512089112,"not sig"
"Fanconi-Bickel Syndrome","Fanconi-Bickel Syndrome",-0.238353260404195,0.0651318312025393,-0.366011649561172,-0.110694871247218,0.000252657520946831,"sig"
"Fatty Acid Biosynthesis","Fatty Acid Biosynthesis",0.0124719055060865,0.0861835705470361,-0.156447892766104,0.181391703778277,0.884937268910673,"not sig"
"Fenoprofen Action Pathway","Fenoprofen Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Fluoxetine Action Pathway","Fluoxetine Action Pathway",-0.241867113330557,0.083245090414286,-0.405027490542558,-0.0787067361185569,0.00366687917640651,"sig"
"Flurbiprofen Action Pathway","Flurbiprofen Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Folate Malabsorption, Hereditary","Folate Malabsorption, Hereditary",-0.273067416894445,0.0908857722040294,-0.451203530414342,-0.0949313033745471,0.00266007037483007,"sig"
"Folate Metabolism","Folate Metabolism",-0.273067416894445,0.0908857722040294,-0.451203530414342,-0.0949313033745471,0.00266007037483007,"sig"
"Fructose-1,6-diphosphatase Deficiency","Fructose-1,6-diphosphatase Deficiency",-0.15634827965557,0.0586822457931417,-0.271365481410128,-0.0413310779010122,0.00771441451474075,"sig"
"Fructose and Mannose Degradation","Fructose and Mannose Degradation",-0.0951369754969968,0.0795943501456031,-0.251141901782379,0.0608679507883853,0.231980395915381,"not sig"
"Fructose Intolerance, Hereditary","Fructose Intolerance, Hereditary",-0.0951369754969968,0.0795943501456031,-0.251141901782379,0.0608679507883853,0.231980395915381,"not sig"
"Fructosuria","Fructosuria",-0.0951369754969968,0.0795943501456031,-0.251141901782379,0.0608679507883853,0.231980395915381,"not sig"
"Fumarase Deficiency","Fumarase Deficiency",-0.28410984059859,0.057742266946361,-0.397284683813458,-0.170934997383723,8.64073433248791e-07,"sig"
"G","G",-0.277815645135189,0.0653510228775863,-0.405903649975258,-0.14972764029512,2.12695368538851e-05,"sig"
"GABA-Transaminase Deficiency","GABA-Transaminase Deficiency",-0.408714852444154,0.0654507190986713,-0.53699826187755,-0.280431443010758,4.24832391487939e-10,"sig"
"Galactose Metabolism","Galactose Metabolism",0.255781344830589,0.076601806711937,0.105641803675193,0.405920885985986,0.000840493058912983,"sig"
"Galactosemia","Galactosemia",0.255781344830589,0.076601806711937,0.105641803675193,0.405920885985986,0.000840493058912983,"sig"
"Galactosemia II ","Galactosemia II ",0.0154035560294402,0.085304754469529,-0.151793762730837,0.182600874789717,0.856704401189942,"not sig"
"Galactosemia III","Galactosemia III",0.0154035560294402,0.085304754469529,-0.151793762730837,0.182600874789717,0.856704401189942,"not sig"
"gamma-Glutamyltransferase Deficiency","gamma-Glutamyltransferase Deficiency",-0.376186852086913,0.0690747879255058,-0.511573436420905,-0.240800267752922,5.14918543359499e-08,"sig"
"gamma-Glutamyltranspeptidase Deficiency","gamma-Glutamyltranspeptidase Deficiency",-0.376186852086913,0.0690747879255058,-0.511573436420905,-0.240800267752922,5.14918543359499e-08,"sig"
"Gentamicin Action Pathway","Gentamicin Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Gluconeogenesis","Gluconeogenesis",-0.15634827965557,0.0586822457931417,-0.271365481410128,-0.0413310779010122,0.00771441451474075,"sig"
"Glucose-6-phosphate Dehydrogenase Deficiency","Glucose-6-phosphate Dehydrogenase Deficiency",-0.0817137846292185,0.0754541068246103,-0.229603834005455,0.0661762647470178,0.278826147990008,"not sig"
"Glucose-Alanine Cycle","Glucose-Alanine Cycle",-0.730102383939189,0.067436546075519,-0.862278014247206,-0.597926753631172,0,"sig"
"GLUT-1 Deficiency Syndrome","GLUT-1 Deficiency Syndrome",0.531985185735346,0.0824683192566217,0.370347279992368,0.693623091478325,1.11274101044501e-10,"sig"
"Glutamate Metabolism","Glutamate Metabolism",-0.422083292889561,0.0451412966998783,-0.510560234421322,-0.333606351357799,0,"sig"
"Glutaminolysis and Cancer","Glutaminolysis and Cancer",-0.28410984059859,0.057742266946361,-0.397284683813458,-0.170934997383723,8.64073433248791e-07,"sig"
"Glutaric Aciduria Type I","Glutaric Aciduria Type I",-0.335774663603682,0.0578431334161932,-0.44914720509942,-0.222402122107943,6.4397397414595e-09,"sig"
"Glutathione Metabolism","Glutathione Metabolism",-0.376186852086913,0.0690747879255058,-0.511573436420905,-0.240800267752922,5.14918543359499e-08,"sig"
"Glutathione Synthetase Deficiency","Glutathione Synthetase Deficiency",-0.376186852086913,0.0690747879255058,-0.511573436420905,-0.240800267752922,5.14918543359499e-08,"sig"
"Glycerol Kinase Deficiency","Glycerol Kinase Deficiency",-0.0221620316844741,0.0757419376840061,-0.170616229545126,0.126292166176178,0.769828512089112,"not sig"
"Glycerol Phosphate Shuttle","Glycerol Phosphate Shuttle",-0.160802400767175,0.0805110164103064,-0.318603992931376,-0.00300080860297433,0.0457956406099054,"sig"
"Glycerolipid Metabolism","Glycerolipid Metabolism",-0.0221620316844741,0.0757419376840061,-0.170616229545126,0.126292166176178,0.769828512089112,"not sig"
"Glycine and Serine Metabolism","Glycine and Serine Metabolism",-0.27492674914405,0.0356017466083081,-0.344706172496334,-0.205147325791766,1.14352971536391e-14,"sig"
"Glycine N-Methyltransferase Deficiency","Glycine N-Methyltransferase Deficiency",-0.157045441500936,0.0546734709005032,-0.264205444465922,-0.0498854385359493,0.00407334827491457,"sig"
"Glycogen Storage Disease Type 1A ","Glycogen Storage Disease Type 1A ",-0.15634827965557,0.0586822457931417,-0.271365481410128,-0.0413310779010122,0.00771441451474075,"sig"
"Glycogen Synthetase Deficiency","Glycogen Synthetase Deficiency",0.195981428505045,0.0781835915697349,0.0427415890283652,0.349221267981726,0.0121870180468565,"sig"
"Glycogenosis, Type IA. Von Gierke Disease","Glycogenosis, Type IA. Von Gierke Disease",-0.15634827965557,0.0586822457931417,-0.271365481410128,-0.0413310779010122,0.00771441451474075,"sig"
"Glycogenosis, Type IB","Glycogenosis, Type IB",-0.15634827965557,0.0586822457931417,-0.271365481410128,-0.0413310779010122,0.00771441451474075,"sig"
"Glycogenosis, Type IC","Glycogenosis, Type IC",-0.15634827965557,0.0586822457931417,-0.271365481410128,-0.0413310779010122,0.00771441451474075,"sig"
"Glycogenosis, Type III. Cori Disease, Debrancher Glycogenosis","Glycogenosis, Type III. Cori Disease, Debrancher Glycogenosis",0.195981428505045,0.0781835915697349,0.0427415890283652,0.349221267981726,0.0121870180468565,"sig"
"Glycogenosis, Type IV. Amylopectinosis, Anderson Disease","Glycogenosis, Type IV. Amylopectinosis, Anderson Disease",0.195981428505045,0.0781835915697349,0.0427415890283652,0.349221267981726,0.0121870180468565,"sig"
"Glycogenosis, Type VI. Hers Disease","Glycogenosis, Type VI. Hers Disease",0.195981428505045,0.0781835915697349,0.0427415890283652,0.349221267981726,0.0121870180468565,"sig"
"Glycogenosis, Type VII. Tarui Disease","Glycogenosis, Type VII. Tarui Disease",-0.238353260404195,0.0651318312025393,-0.366011649561172,-0.110694871247218,0.000252657520946831,"sig"
"Glycolysis","Glycolysis",-0.238353260404195,0.0651318312025393,-0.366011649561172,-0.110694871247218,0.000252657520946831,"sig"
"Gout or Kelley-Seegmiller Syndrome","Gout or Kelley-Seegmiller Syndrome",-0.307168184594696,0.0460720729259774,-0.397469447529612,-0.216866921659781,2.60865773427099e-11,"sig"
"Guanidinoacetate Methyltransferase Deficiency ","Guanidinoacetate Methyltransferase Deficiency ",-0.105047851278935,0.0330708405662949,-0.169866698788873,-0.0402290037689973,0.00149089801883151,"sig"
"Hawkinsinuria","Hawkinsinuria",-0.173990433807743,0.0437561159421272,-0.259752421054313,-0.0882284465611739,6.99757138453716e-05,"sig"
"Hereditary Coproporphyria ","Hereditary Coproporphyria ",-0.371828452235005,0.0690629335032718,-0.507191801901418,-0.236465102568593,7.28859312904007e-08,"sig"
"Histidine Metabolism","Histidine Metabolism",-0.44325770465245,0.0604014981514038,-0.561644641029201,-0.324870768275698,2.15938378289593e-13,"sig"
"Histidinemia","Histidinemia",-0.44325770465245,0.0604014981514038,-0.561644641029201,-0.324870768275698,2.15938378289593e-13,"sig"
"Homocarnosinosis","Homocarnosinosis",-0.422083292889561,0.0451412966998783,-0.510560234421322,-0.333606351357799,0,"sig"
"Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type","Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type",-0.157045441500936,0.0546734709005032,-0.264205444465922,-0.0498854385359493,0.00407334827491457,"sig"
"Hyperglycinemia, Non-Ketotic","Hyperglycinemia, Non-Ketotic",-0.27492674914405,0.0356017466083081,-0.344706172496334,-0.205147325791766,1.14352971536391e-14,"sig"
"Hyperinsulinism-Hyperammonemia Syndrome","Hyperinsulinism-Hyperammonemia Syndrome",-0.422083292889561,0.0451412966998783,-0.510560234421322,-0.333606351357799,0,"sig"
"Hyperlysinemia I, Familial","Hyperlysinemia I, Familial",-0.352226315183516,0.0681775559963983,-0.485854324936457,-0.218598305430575,2.38762059900921e-07,"sig"
"Hyperlysinemia II or Saccharopinuria","Hyperlysinemia II or Saccharopinuria",-0.352226315183516,0.0681775559963983,-0.485854324936457,-0.218598305430575,2.38762059900921e-07,"sig"
"Hypermethioninemia","Hypermethioninemia",-0.157045441500936,0.0546734709005032,-0.264205444465922,-0.0498854385359493,0.00407334827491457,"sig"
"Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome]","Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome]",-0.105047851278935,0.0330708405662949,-0.169866698788873,-0.0402290037689973,0.00149089801883151,"sig"
"Hyperornithinemia with Gyrate Atrophy ","Hyperornithinemia with Gyrate Atrophy ",-0.105047851278935,0.0330708405662949,-0.169866698788873,-0.0402290037689973,0.00149089801883151,"sig"
"Hyperprolinemia Type I","Hyperprolinemia Type I",-0.105047851278935,0.0330708405662949,-0.169866698788873,-0.0402290037689973,0.00149089801883151,"sig"
"Hyperprolinemia Type II","Hyperprolinemia Type II",-0.105047851278935,0.0330708405662949,-0.169866698788873,-0.0402290037689973,0.00149089801883151,"sig"
"Hypoacetylaspartia","Hypoacetylaspartia",-0.122009555732882,0.0643116363503012,-0.248060362979472,0.00404125151370857,0.057806636146272,"not sig"
"Ibuprofen Action Pathway","Ibuprofen Action Pathway",0.198589997915981,0.0611930278594301,0.0786516633114977,0.318528332520464,0.00117325166314763,"sig"
"Imipramine Action Pathway","Imipramine Action Pathway",-0.241867113330557,0.083245090414286,-0.405027490542558,-0.0787067361185569,0.00366687917640651,"sig"
"Indomethacin Action Pathway","Indomethacin Action Pathway",0.131122545758496,0.068237301632049,-0.00262256544031972,0.264867656957312,0.054660266544528,"not sig"
"Isobutyryl-CoA Dehydrogenase Deficiency","Isobutyryl-CoA Dehydrogenase Deficiency",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"Isovaleric Acidemia","Isovaleric Acidemia",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"Isovaleric Aciduria","Isovaleric Aciduria",0.0651700430053656,0.0663570359053785,-0.0648897473691764,0.195229833379908,0.326044661231254,"not sig"
"Josamycin Action Pathway","Josamycin Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
"Kanamycin Action Pathway","Kanamycin Action Pathway",-0.233407086587543,0.0927668299427659,-0.415230073275364,-0.0515840998997218,0.0118674337271569,"sig"
