"","Metabolite","Estimate.RI","Std.err.RI","CI_lower.RI","CI_upper.RI","p_value.RI","sig"
"Acute Intermittent Porphyria","Acute Intermittent Porphyria",-0.231926360537475,0.0812410095491923,-0.391158739253892,-0.0726939818210584,0.00430647287163222,"sig"
"Adenine Phosphoribosyltransferase Deficiency ","Adenine Phosphoribosyltransferase Deficiency ",0.386297687004311,0.0493448562443076,0.289581768765468,0.483013605243154,4.88498130835069e-15,"sig"
"Adenosine Deaminase Deficiency","Adenosine Deaminase Deficiency",0.386297687004311,0.0493448562443076,0.289581768765468,0.483013605243154,4.88498130835069e-15,"sig"
"Adenylosuccinate Lyase Deficiency","Adenylosuccinate Lyase Deficiency",0.386297687004311,0.0493448562443076,0.289581768765468,0.483013605243154,4.88498130835069e-15,"sig"
"AICA-Ribosiduria","AICA-Ribosiduria",0.386297687004311,0.0493448562443076,0.289581768765468,0.483013605243154,4.88498130835069e-15,"sig"
"Alanine Metabolism","Alanine Metabolism",0.128053266988512,0.0655128944201397,-0.000352006074961553,0.256458540051986,0.0506271216135835,"not sig"
"Alkaptonuria","Alkaptonuria",-0.145408501864597,0.0497128011411561,-0.242845592101263,-0.0479714116279312,0.00344488320323988,"sig"
"Amikacin Action Pathway","Amikacin Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Amino Sugar Metabolism","Amino Sugar Metabolism",0.284894785009557,0.0658811708532859,0.155767690137117,0.414021879881997,1.52965993430731e-05,"sig"
"Ammonia Recycling","Ammonia Recycling",-0.0786299661538822,0.0670580242761312,-0.210063693735099,0.052803761427335,0.24096984956175,"not sig"
"Antipyrine Action Pathway","Antipyrine Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Antrafenine Action Pathway","Antrafenine Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Arachidonic Acid Metabolism","Arachidonic Acid Metabolism",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Arbekacin Action Pathway","Arbekacin Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Arginine and Proline Metabolism","Arginine and Proline Metabolism",-0.176054849514604,0.0345321212578882,-0.243737807180065,-0.108371891849144,3.42731224733939e-07,"sig"
"Arginine: Glycine Amidinotransferase Deficiency ","Arginine: Glycine Amidinotransferase Deficiency ",-0.176054849514604,0.0345321212578882,-0.243737807180065,-0.108371891849144,3.42731224733939e-07,"sig"
"Argininemia","Argininemia",0.0590263240796163,0.0507587624700391,-0.0404608503616603,0.158513498520893,0.24487839783419,"not sig"
"Argininosuccinic Aciduria","Argininosuccinic Aciduria",0.0590263240796163,0.0507587624700391,-0.0404608503616603,0.158513498520893,0.24487839783419,"not sig"
"Aromatic L-Aminoacid Decarboxylase Deficiency","Aromatic L-Aminoacid Decarboxylase Deficiency",-0.167458371992059,0.0647505212109016,-0.294369393565426,-0.0405473504186921,0.0097038108573575,"sig"
"Aspartate Metabolism","Aspartate Metabolism",0.0533821056758308,0.0651843022138438,-0.074379126663303,0.181143338014965,0.412820005920577,"not sig"
"Azathioprine Action Pathway","Azathioprine Action Pathway",0.238195920905738,0.0466332754104803,0.146794701101196,0.329597140710279,3.25839789705462e-07,"sig"
"Azithromycin Action Pathway","Azithromycin Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"beta-Alanine Metabolism","beta-Alanine Metabolism",-0.259485251383799,0.076067490309589,-0.408577532390593,-0.110392970377004,0.000646656929728873,"sig"
"beta-Ketothiolase Deficiency","beta-Ketothiolase Deficiency",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"beta-Mercaptolactate-Cysteine Disulfiduria","beta-Mercaptolactate-Cysteine Disulfiduria",0.0102076533085578,0.0749159282775486,-0.136627566115437,0.157042872732553,0.891619870925126,"not sig"
"beta-Ureidopropionase Deficiency","beta-Ureidopropionase Deficiency",-0.0356155632700273,0.0603242615934593,-0.153851115993207,0.0826199894531529,0.554921185874738,"not sig"
"Betaine Metabolism","Betaine Metabolism",-0.0933906808206767,0.0583610093684949,-0.207778259182927,0.0209968975415734,0.109548926501323,"not sig"
"Bile Acid Biosynthesis","Bile Acid Biosynthesis",-0.239483314420555,0.0717073561747706,-0.380029732523105,-0.0989368963180045,0.000838594321341479,"sig"
"Bromfenac Action Pathway","Bromfenac Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Butyrate Metabolism","Butyrate Metabolism",-0.0100026000423115,0.0824065413432633,-0.171519421075108,0.151514220990485,0.903389153456121,"not sig"
"Canavan Disease","Canavan Disease",0.0533821056758308,0.0651843022138438,-0.074379126663303,0.181143338014965,0.412820005920577,"not sig"
"Carbamoyl Phosphate Synthetase Deficiency","Carbamoyl Phosphate Synthetase Deficiency",0.0590263240796163,0.0507587624700391,-0.0404608503616603,0.158513498520893,0.24487839783419,"not sig"
"Cardiolipin Biosynthesis","Cardiolipin Biosynthesis",0.0559889572108377,0.0786095279885488,-0.0980857176467179,0.210063632068393,0.476315328558408,"not sig"
"Cardiolipin Biosynthesis ","Cardiolipin Biosynthesis ",0.0559889572108377,0.0786095279885488,-0.0980857176467179,0.210063632068393,0.476315328558408,"not sig"
"Cardiolipin Biosynthesis CL","Cardiolipin Biosynthesis CL",0.0559889572108377,0.0786095279885488,-0.0980857176467179,0.210063632068393,0.476315328558408,"not sig"
"Carnitine Synthesis","Carnitine Synthesis",-0.405457756837886,0.0422738065780311,-0.488314417730827,-0.322601095944946,0,"sig"
"Carnosinuria, Carnosinemia","Carnosinuria, Carnosinemia",-0.259485251383799,0.076067490309589,-0.408577532390593,-0.110392970377004,0.000646656929728873,"sig"
"Carprofen Action Pathway","Carprofen Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Catecholamine Biosynthesis","Catecholamine Biosynthesis",-0.167458371992059,0.0647505212109016,-0.294369393565426,-0.0405473504186921,0.0097038108573575,"sig"
"Celecoxib Action Pathway","Celecoxib Action Pathway",-0.0239800756383523,0.0720903051327174,-0.165277073698478,0.117316922421774,0.739406500669671,"not sig"
"Cerebrotendinous Xanthomatosis ","Cerebrotendinous Xanthomatosis ",-0.239483314420555,0.0717073561747706,-0.380029732523105,-0.0989368963180045,0.000838594321341479,"sig"
"Chloramphenicol Action Pathway","Chloramphenicol Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Citalopram Action Pathway","Citalopram Action Pathway",-0.0409063949256209,0.0961660315852234,-0.229391816832659,0.147579026981417,0.670565076618301,"not sig"
"Citric Acid Cycle","Citric Acid Cycle",-0.0099043990335936,0.0645210190967971,-0.136365596463316,0.116556798396129,0.877998825502541,"not sig"
"Citrullinemia Type I","Citrullinemia Type I",0.0590263240796163,0.0507587624700391,-0.0404608503616603,0.158513498520893,0.24487839783419,"not sig"
"Clarithromycin Action Pathway","Clarithromycin Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Clindamycin Action Pathway","Clindamycin Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Clomocycline Action Pathway","Clomocycline Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Codeine Action Pathway","Codeine Action Pathway",-0.0509766849715944,0.0936311023453106,-0.234493645568403,0.132540275625214,0.586137494834678,"not sig"
"Congenital Bile Acid Synthesis Defect Type II","Congenital Bile Acid Synthesis Defect Type II",-0.239483314420555,0.0717073561747706,-0.380029732523105,-0.0989368963180045,0.000838594321341479,"sig"
"Congenital Bile Acid Synthesis Defect Type III","Congenital Bile Acid Synthesis Defect Type III",-0.239483314420555,0.0717073561747706,-0.380029732523105,-0.0989368963180045,0.000838594321341479,"sig"
"Congenital Disorder of Glycosylation CDG-IId","Congenital Disorder of Glycosylation CDG-IId",-0.122681209641705,0.100805397820826,-0.320259789370524,0.0748973700871144,0.223600288698526,"not sig"
"Congenital Erythropoietic Porphyria ","Congenital Erythropoietic Porphyria ",-0.231926360537475,0.0812410095491923,-0.391158739253892,-0.0726939818210584,0.00430647287163222,"sig"
"Congenital Lactic Acidosis","Congenital Lactic Acidosis",-0.0099043990335936,0.0645210190967971,-0.136365596463316,0.116556798396129,0.877998825502541,"not sig"
"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency","Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",-0.176054849514604,0.0345321212578882,-0.243737807180065,-0.108371891849144,3.42731224733939e-07,"sig"
"Cystathionine beta-Synthase Deficiency","Cystathionine beta-Synthase Deficiency",-0.0458777047631502,0.0602954720500759,-0.164056829981299,0.0723014204549985,0.446727893473142,"not sig"
"Cysteine Metabolism","Cysteine Metabolism",0.0102076533085578,0.0749159282775486,-0.136627566115437,0.157042872732553,0.891619870925126,"not sig"
"Cystinosis, Ocular Nonnephropathic","Cystinosis, Ocular Nonnephropathic",0.0102076533085578,0.0749159282775486,-0.136627566115437,0.157042872732553,0.891619870925126,"not sig"
"D-Glyceric Acidura","D-Glyceric Acidura",-0.00244473580541974,0.0814844066159002,-0.162154172772584,0.157264701161745,0.976065060376484,"not sig"
"De Novo Triacylglycerol Biosynthesis","De Novo Triacylglycerol Biosynthesis",0.0446451800858814,0.0877842098777986,-0.127411871274604,0.216702231446367,0.611047556172751,"not sig"
"De Novo Triacylglycerol Biosynthesis TG","De Novo Triacylglycerol Biosynthesis TG",0.0446451800858814,0.0877842098777986,-0.127411871274604,0.216702231446367,0.611047556172751,"not sig"
"Demeclocycline Action Pathway","Demeclocycline Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Diclofenac Action Pathway","Diclofenac Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Diflunisal Action Pathway","Diflunisal Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Dihydropyrimidinase Deficiency","Dihydropyrimidinase Deficiency",-0.0356155632700273,0.0603242615934593,-0.153851115993207,0.0826199894531529,0.554921185874738,"not sig"
"Dihydropyrimidine Dehydrogenase Deficiency ","Dihydropyrimidine Dehydrogenase Deficiency ",-0.153776829451682,0.0390012026240332,-0.230219186594787,-0.0773344723085772,8.05109446264662e-05,"sig"
"Dimethylglycine Dehydrogenase Deficiency","Dimethylglycine Dehydrogenase Deficiency",-0.0367427399930955,0.0127097031062104,-0.0616537580812678,-0.0118317219049232,0.00384115397327023,"sig"
"Disulfiram Action Pathway","Disulfiram Action Pathway",-0.0979522146653158,0.0472706977060613,-0.190602782169196,-0.00530164716143566,0.0382509844330845,"sig"
"Dopamine beta-Hydroxylase Deficiency","Dopamine beta-Hydroxylase Deficiency",-0.145408501864597,0.0497128011411561,-0.242845592101263,-0.0479714116279312,0.00344488320323988,"sig"
"Doxycycline Action Pathway","Doxycycline Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Erythromycin Action Pathway","Erythromycin Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Estrone Metabolism","Estrone Metabolism",-0.408860864358454,0.0727287432383973,-0.551409201105712,-0.266312527611195,1.89062006050733e-08,"sig"
"Etodolac Action Pathway","Etodolac Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Etoricoxib Action Pathway","Etoricoxib Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Familial Hypercholanemia ","Familial Hypercholanemia ",-0.239483314420555,0.0717073561747706,-0.380029732523105,-0.0989368963180045,0.000838594321341479,"sig"
"Familial Lipoprotein Lipase Deficiency","Familial Lipoprotein Lipase Deficiency",-0.00244473580541974,0.0814844066159002,-0.162154172772584,0.157264701161745,0.976065060376484,"not sig"
"Fanconi-Bickel Syndrome","Fanconi-Bickel Syndrome",-0.0299634604499593,0.0687143525413904,-0.164643591431084,0.104716670531166,0.662794466032263,"not sig"
"Fatty Acid Biosynthesis","Fatty Acid Biosynthesis",-0.0123737992511891,0.094248451851963,-0.197100764881037,0.172353166378658,0.895546573546965,"not sig"
"Fenoprofen Action Pathway","Fenoprofen Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Fluoxetine Action Pathway","Fluoxetine Action Pathway",-0.0409063949256209,0.0961660315852234,-0.229391816832659,0.147579026981417,0.670565076618301,"not sig"
"Flurbiprofen Action Pathway","Flurbiprofen Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Folate Malabsorption, Hereditary","Folate Malabsorption, Hereditary",0.0869165039756598,0.100340799705354,-0.109751463446835,0.283584471398155,0.386373371919335,"not sig"
"Folate Metabolism","Folate Metabolism",0.0869165039756598,0.100340799705354,-0.109751463446835,0.283584471398155,0.386373371919335,"not sig"
"Fructose-1,6-diphosphatase Deficiency","Fructose-1,6-diphosphatase Deficiency",-0.0873939455998396,0.061679913256491,-0.208286575582562,0.0334986843828828,0.156513700142092,"not sig"
"Fructose and Mannose Degradation","Fructose and Mannose Degradation",-0.225904248155499,0.0818830567926943,-0.38639503946918,-0.0654134568418178,0.00580026021046576,"sig"
"Fructose Intolerance, Hereditary","Fructose Intolerance, Hereditary",-0.225904248155499,0.0818830567926943,-0.38639503946918,-0.0654134568418178,0.00580026021046576,"sig"
"Fructosuria","Fructosuria",-0.225904248155499,0.0818830567926943,-0.38639503946918,-0.0654134568418178,0.00580026021046576,"sig"
"Fumarase Deficiency","Fumarase Deficiency",-0.0099043990335936,0.0645210190967971,-0.136365596463316,0.116556798396129,0.877998825502541,"not sig"
"G","G",0.284894785009557,0.0658811708532859,0.155767690137117,0.414021879881997,1.52965993430731e-05,"sig"
"GABA-Transaminase Deficiency","GABA-Transaminase Deficiency",-0.259485251383799,0.076067490309589,-0.408577532390593,-0.110392970377004,0.000646656929728873,"sig"
"Galactose Metabolism","Galactose Metabolism",-0.139533700253181,0.0837686349022796,-0.303720224661649,0.0246528241552868,0.0957725037871819,"not sig"
"Galactosemia","Galactosemia",-0.139533700253181,0.0837686349022796,-0.303720224661649,0.0246528241552868,0.0957725037871819,"not sig"
"Galactosemia II ","Galactosemia II ",-0.0992452362236671,0.101531179387694,-0.298246347823547,0.099755875376213,0.328328947500394,"not sig"
"Galactosemia III","Galactosemia III",-0.0992452362236671,0.101531179387694,-0.298246347823547,0.099755875376213,0.328328947500394,"not sig"
"gamma-Glutamyltransferase Deficiency","gamma-Glutamyltransferase Deficiency",-0.0318680065247434,0.0822802757524167,-0.19313734699948,0.129401333949993,0.698526427043282,"not sig"
"gamma-Glutamyltranspeptidase Deficiency","gamma-Glutamyltranspeptidase Deficiency",-0.0318680065247434,0.0822802757524167,-0.19313734699948,0.129401333949993,0.698526427043282,"not sig"
"Gentamicin Action Pathway","Gentamicin Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
"Gluconeogenesis","Gluconeogenesis",-0.0873939455998396,0.061679913256491,-0.208286575582562,0.0334986843828828,0.156513700142092,"not sig"
"Glucose-6-phosphate Dehydrogenase Deficiency","Glucose-6-phosphate Dehydrogenase Deficiency",-0.0761783190295084,0.070354982320783,-0.214074084378243,0.0617174463192263,0.27891017864539,"not sig"
"Glucose-Alanine Cycle","Glucose-Alanine Cycle",-0.125043932364938,0.0864882110300959,-0.294560825983925,0.0444729612540504,0.148235651964853,"not sig"
"GLUT-1 Deficiency Syndrome","GLUT-1 Deficiency Syndrome",-0.122681209641705,0.100805397820826,-0.320259789370524,0.0748973700871144,0.223600288698526,"not sig"
"Glutamate Metabolism","Glutamate Metabolism",0.0926421043723869,0.0532484081015531,-0.0117247755066573,0.197008984251431,0.081892414106905,"not sig"
"Glutaminolysis and Cancer","Glutaminolysis and Cancer",-0.0099043990335936,0.0645210190967971,-0.136365596463316,0.116556798396129,0.877998825502541,"not sig"
"Glutaric Aciduria Type I","Glutaric Aciduria Type I",-0.219324480724813,0.0661901271167793,-0.3490571298737,-0.089591831575925,0.000921187140453195,"sig"
"Glutathione Metabolism","Glutathione Metabolism",-0.0318680065247434,0.0822802757524167,-0.19313734699948,0.129401333949993,0.698526427043282,"not sig"
"Glutathione Synthetase Deficiency","Glutathione Synthetase Deficiency",-0.0318680065247434,0.0822802757524167,-0.19313734699948,0.129401333949993,0.698526427043282,"not sig"
"Glycerol Kinase Deficiency","Glycerol Kinase Deficiency",-0.00244473580541974,0.0814844066159002,-0.162154172772584,0.157264701161745,0.976065060376484,"not sig"
"Glycerol Phosphate Shuttle","Glycerol Phosphate Shuttle",0.0446451800858814,0.0877842098777986,-0.127411871274604,0.216702231446367,0.611047556172751,"not sig"
"Glycerolipid Metabolism","Glycerolipid Metabolism",-0.00244473580541974,0.0814844066159002,-0.162154172772584,0.157264701161745,0.976065060376484,"not sig"
"Glycine and Serine Metabolism","Glycine and Serine Metabolism",-0.153776829451682,0.0390012026240332,-0.230219186594787,-0.0773344723085772,8.05109446264662e-05,"sig"
"Glycine N-Methyltransferase Deficiency","Glycine N-Methyltransferase Deficiency",-0.0458777047631502,0.0602954720500759,-0.164056829981299,0.0723014204549985,0.446727893473142,"not sig"
"Glycogen Storage Disease Type 1A ","Glycogen Storage Disease Type 1A ",-0.0873939455998396,0.061679913256491,-0.208286575582562,0.0334986843828828,0.156513700142092,"not sig"
"Glycogen Synthetase Deficiency","Glycogen Synthetase Deficiency",-0.136448577085066,0.0839765018618196,-0.301042520734232,0.0281453665641005,0.104196153494259,"not sig"
"Glycogenosis, Type IA. Von Gierke Disease","Glycogenosis, Type IA. Von Gierke Disease",-0.0873939455998396,0.061679913256491,-0.208286575582562,0.0334986843828828,0.156513700142092,"not sig"
"Glycogenosis, Type IB","Glycogenosis, Type IB",-0.0873939455998396,0.061679913256491,-0.208286575582562,0.0334986843828828,0.156513700142092,"not sig"
"Glycogenosis, Type IC","Glycogenosis, Type IC",-0.0873939455998396,0.061679913256491,-0.208286575582562,0.0334986843828828,0.156513700142092,"not sig"
"Glycogenosis, Type III. Cori Disease, Debrancher Glycogenosis","Glycogenosis, Type III. Cori Disease, Debrancher Glycogenosis",-0.136448577085066,0.0839765018618196,-0.301042520734232,0.0281453665641005,0.104196153494259,"not sig"
"Glycogenosis, Type IV. Amylopectinosis, Anderson Disease","Glycogenosis, Type IV. Amylopectinosis, Anderson Disease",-0.136448577085066,0.0839765018618196,-0.301042520734232,0.0281453665641005,0.104196153494259,"not sig"
"Glycogenosis, Type VI. Hers Disease","Glycogenosis, Type VI. Hers Disease",-0.136448577085066,0.0839765018618196,-0.301042520734232,0.0281453665641005,0.104196153494259,"not sig"
"Glycogenosis, Type VII. Tarui Disease","Glycogenosis, Type VII. Tarui Disease",-0.0299634604499593,0.0687143525413904,-0.164643591431084,0.104716670531166,0.662794466032263,"not sig"
"Glycolysis","Glycolysis",-0.0299634604499593,0.0687143525413904,-0.164643591431084,0.104716670531166,0.662794466032263,"not sig"
"Gout or Kelley-Seegmiller Syndrome","Gout or Kelley-Seegmiller Syndrome",0.386297687004311,0.0493448562443076,0.289581768765468,0.483013605243154,4.88498130835069e-15,"sig"
"Guanidinoacetate Methyltransferase Deficiency ","Guanidinoacetate Methyltransferase Deficiency ",-0.176054849514604,0.0345321212578882,-0.243737807180065,-0.108371891849144,3.42731224733939e-07,"sig"
"Hawkinsinuria","Hawkinsinuria",-0.145408501864597,0.0497128011411561,-0.242845592101263,-0.0479714116279312,0.00344488320323988,"sig"
"Hereditary Coproporphyria ","Hereditary Coproporphyria ",-0.231926360537475,0.0812410095491923,-0.391158739253892,-0.0726939818210584,0.00430647287163222,"sig"
"Histidine Metabolism","Histidine Metabolism",-0.267048169466225,0.0709099293489099,-0.406031630990088,-0.128064707942361,0.000165870910346921,"sig"
"Histidinemia","Histidinemia",-0.267048169466225,0.0709099293489099,-0.406031630990088,-0.128064707942361,0.000165870910346921,"sig"
"Homocarnosinosis","Homocarnosinosis",0.0926421043723869,0.0532484081015531,-0.0117247755066573,0.197008984251431,0.081892414106905,"not sig"
"Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type","Homocystinuria-Megaloblastic Anemia Due to Defect in Cobalamin Metabolism, cblG Complementation Type",-0.0458777047631502,0.0602954720500759,-0.164056829981299,0.0723014204549985,0.446727893473142,"not sig"
"Hyperglycinemia, Non-Ketotic","Hyperglycinemia, Non-Ketotic",-0.153776829451682,0.0390012026240332,-0.230219186594787,-0.0773344723085772,8.05109446264662e-05,"sig"
"Hyperinsulinism-Hyperammonemia Syndrome","Hyperinsulinism-Hyperammonemia Syndrome",0.0926421043723869,0.0532484081015531,-0.0117247755066573,0.197008984251431,0.081892414106905,"not sig"
"Hyperlysinemia I, Familial","Hyperlysinemia I, Familial",-0.505062538351477,0.0822950746790402,-0.666360884722395,-0.343764191980558,8.39808778074769e-10,"sig"
"Hyperlysinemia II or Saccharopinuria","Hyperlysinemia II or Saccharopinuria",-0.505062538351477,0.0822950746790402,-0.666360884722395,-0.343764191980558,8.39808778074769e-10,"sig"
"Hypermethioninemia","Hypermethioninemia",-0.0458777047631502,0.0602954720500759,-0.164056829981299,0.0723014204549985,0.446727893473142,"not sig"
"Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome]","Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome]",-0.176054849514604,0.0345321212578882,-0.243737807180065,-0.108371891849144,3.42731224733939e-07,"sig"
"Hyperornithinemia with Gyrate Atrophy ","Hyperornithinemia with Gyrate Atrophy ",-0.176054849514604,0.0345321212578882,-0.243737807180065,-0.108371891849144,3.42731224733939e-07,"sig"
"Hyperprolinemia Type I","Hyperprolinemia Type I",-0.176054849514604,0.0345321212578882,-0.243737807180065,-0.108371891849144,3.42731224733939e-07,"sig"
"Hyperprolinemia Type II","Hyperprolinemia Type II",-0.176054849514604,0.0345321212578882,-0.243737807180065,-0.108371891849144,3.42731224733939e-07,"sig"
"Hypoacetylaspartia","Hypoacetylaspartia",0.0533821056758308,0.0651843022138438,-0.074379126663303,0.181143338014965,0.412820005920577,"not sig"
"Ibuprofen Action Pathway","Ibuprofen Action Pathway",-0.0239800756383523,0.0720903051327174,-0.165277073698478,0.117316922421774,0.739406500669671,"not sig"
"Imipramine Action Pathway","Imipramine Action Pathway",-0.0409063949256209,0.0961660315852234,-0.229391816832659,0.147579026981417,0.670565076618301,"not sig"
"Indomethacin Action Pathway","Indomethacin Action Pathway",0.00396512087788426,0.0799229859583655,-0.152683931600512,0.160614173356281,0.960431766274071,"not sig"
"Isobutyryl-CoA Dehydrogenase Deficiency","Isobutyryl-CoA Dehydrogenase Deficiency",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"Isovaleric Acidemia","Isovaleric Acidemia",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"Isovaleric Aciduria","Isovaleric Aciduria",-0.426611859711166,0.0633946700030516,-0.550865412917147,-0.302358306505185,1.70294889301204e-11,"sig"
"Josamycin Action Pathway","Josamycin Action Pathway",0.349229317947419,0.0982986341855817,0.156563994943679,0.541894640951159,0.000381243603052472,"sig"
