Metabolite,Estimate.RH,Std.err.RH,CI_lower.RH,CI_upper.RH,p_value.RH,sig.x,Estimate.RI,Std.err.RI,CI_lower.RI,CI_upper.RI,p_value.RI,sig.y,Estimate.IH,Std.err.IH,CI_lower.IH,CI_upper.IH,p_value.IH,sig
Acetaminophen  Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Acetaminophen Metabolism Pathway,-0.512470847,0.061072151,-0.632172262,-0.392769431,0,sig,-0.151643839,0.100508182,-0.348639876,0.045352197,0.131357291,not sig,-0.302283434,0.08625469,-0.471342626,-0.133224242,0.000457388,sig
Acetylsalicylic Acid Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Acute Intermittent Porphyria,-0.662278551,0.039706138,-0.740102581,-0.58445452,0,sig,-0.231926361,0.08124101,-0.391158739,-0.072693982,0.004306473,sig,-0.371828452,0.069062934,-0.507191802,-0.236465103,7.29E-08,sig
Adenine Phosphoribosyltransferase Deficiency ,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Adenosine Deaminase Deficiency,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Adenylosuccinate Lyase Deficiency,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
AICA-Ribosiduria,0.045334788,0.038195923,-0.029529221,0.120198797,0.235266582,not sig,0.386297687,0.049344856,0.289581769,0.483013605,4.88E-15,sig,-0.307168185,0.046072073,-0.397469448,-0.216866922,2.61E-11,sig
Alanine Metabolism,-0.203941781,0.039373404,-0.281113652,-0.12676991,2.22E-07,sig,0.128053267,0.065512894,-0.000352006,0.25645854,0.050627122,not sig,-0.369912843,0.057676179,-0.482958154,-0.256867533,1.42E-10,sig
Alkaptonuria,-0.315769524,0.032938132,-0.380328263,-0.251210786,0,sig,-0.145408502,0.049712801,-0.242845592,-0.047971412,0.003444883,sig,-0.173990434,0.043756116,-0.259752421,-0.088228447,7.00E-05,sig
Amikacin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Amino Sugar Metabolism,-0.022447652,0.051147017,-0.122695804,0.077800501,0.660744962,not sig,0.284894785,0.065881171,0.15576769,0.41402188,1.53E-05,sig,-0.277815645,0.065351023,-0.40590365,-0.14972764,2.13E-05,sig
Ammonia Recycling,-0.59872568,0.03339542,-0.664180703,-0.533270656,0,sig,-0.078629966,0.067058024,-0.210063694,0.052803761,0.24096985,not sig,-0.533466402,0.052687493,-0.636733889,-0.430198915,0,sig
Antipyrine Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Antrafenine Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Arachidonic Acid Metabolism,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Arbekacin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Arginine and Proline Metabolism,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Arginine: Glycine Amidinotransferase Deficiency ,-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Argininemia,-0.414900803,0.032711384,-0.479015116,-0.35078649,0,sig,0.059026324,0.050758762,-0.04046085,0.158513499,0.244878398,not sig,-0.462360766,0.047384257,-0.555233911,-0.369487622,0,sig
Argininosuccinic Aciduria,-0.414900803,0.032711384,-0.479015116,-0.35078649,0,sig,0.059026324,0.050758762,-0.04046085,0.158513499,0.244878398,not sig,-0.462360766,0.047384257,-0.555233911,-0.369487622,0,sig
Aromatic L-Aminoacid Decarboxylase Deficiency,-0.386854415,0.044636227,-0.47434142,-0.299367409,0,sig,-0.167458372,0.064750521,-0.294369394,-0.04054735,0.009703811,sig,-0.211811216,0.055449118,-0.320491488,-0.103130945,0.000133495,sig
Aspartate Metabolism,-0.032833459,0.046563584,-0.124098085,0.058431166,0.480728281,not sig,0.053382106,0.065184302,-0.074379127,0.181143338,0.412820006,not sig,-0.122009556,0.064311636,-0.248060363,0.004041252,0.057806636,not sig
Azathioprine Action Pathway,-0.105006683,0.033994504,-0.171635912,-0.038377455,0.00200878,sig,0.238195921,0.046633275,0.146794701,0.329597141,3.26E-07,sig,-0.313001314,0.043866106,-0.39897888,-0.227023747,9.65E-13,sig
Azithromycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
beta-Alanine Metabolism,-0.688880796,0.045003096,-0.777086865,-0.600674727,0,sig,-0.259485251,0.07606749,-0.408577532,-0.11039297,0.000646657,sig,-0.408714852,0.065450719,-0.536998262,-0.280431443,4.25E-10,sig
beta-Ketothiolase Deficiency,-0.327080378,0.051519538,-0.428058673,-0.226102083,2.17E-10,sig,-0.42661186,0.06339467,-0.550865413,-0.302358307,1.70E-11,sig,0.065170043,0.066357036,-0.064889747,0.195229833,0.326044661,not sig
beta-Mercaptolactate-Cysteine Disulfiduria,-0.755041118,0.042865734,-0.839057958,-0.671024278,0,sig,0.010207653,0.074915928,-0.136627566,0.157042873,0.891619871,not sig,-0.736820113,0.063616635,-0.861508717,-0.612131509,0,sig
beta-Ureidopropionase Deficiency,-0.073569747,0.038852038,-0.149719742,0.002580248,0.058279741,not sig,-0.035615563,0.060324262,-0.153851116,0.082619989,0.554921186,not sig,-0.034932762,0.054797091,-0.142335059,0.072469536,0.523803768,not sig
Betaine Metabolism,-0.279395011,0.03924558,-0.356316347,-0.202473674,1.09E-12,sig,-0.093390681,0.058361009,-0.207778259,0.020996898,0.109548927,not sig,-0.122474377,0.051925635,-0.224248621,-0.020700132,0.018341566,sig
Bile Acid Biosynthesis,-0.058942663,0.044691991,-0.146538965,0.02865364,0.187214548,not sig,-0.239483314,0.071707356,-0.380029733,-0.098936896,0.000838594,sig,0.217410707,0.062844404,0.094235675,0.34058574,0.000541164,sig
Bromfenac Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Butyrate Metabolism,-0.310899899,0.059630986,-0.427776631,-0.194023166,1.85E-07,sig,-0.0100026,0.082406541,-0.171519421,0.151514221,0.903389153,not sig,-0.281602541,0.078396203,-0.435259098,-0.127945984,0.000328096,sig
Canavan Disease,-0.032833459,0.046563584,-0.124098085,0.058431166,0.480728281,not sig,0.053382106,0.065184302,-0.074379127,0.181143338,0.412820006,not sig,-0.122009556,0.064311636,-0.248060363,0.004041252,0.057806636,not sig
Carbamoyl Phosphate Synthetase Deficiency,-0.414900803,0.032711384,-0.479015116,-0.35078649,0,sig,0.059026324,0.050758762,-0.04046085,0.158513499,0.244878398,not sig,-0.462360766,0.047384257,-0.555233911,-0.369487622,0,sig
Cardiolipin Biosynthesis,-0.078021092,0.05314843,-0.182192015,0.026149831,0.142108331,not sig,0.055988957,0.078609528,-0.098085718,0.210063632,0.476315329,not sig,-0.097215692,0.079611755,-0.253254731,0.058823347,0.222039703,not sig
Cardiolipin Biosynthesis ,-0.078021092,0.05314843,-0.182192015,0.026149831,0.142108331,not sig,0.055988957,0.078609528,-0.098085718,0.210063632,0.476315329,not sig,-0.097215692,0.079611755,-0.253254731,0.058823347,0.222039703,not sig
Cardiolipin Biosynthesis CL,-0.078021092,0.05314843,-0.182192015,0.026149831,0.142108331,not sig,0.055988957,0.078609528,-0.098085718,0.210063632,0.476315329,not sig,-0.097215692,0.079611755,-0.253254731,0.058823347,0.222039703,not sig
Carnitine Synthesis,-0.500947458,0.031074634,-0.56185374,-0.440041176,0,sig,-0.405457757,0.042273807,-0.488314418,-0.322601096,0,sig,-0.094809902,0.036030153,-0.165429001,-0.024190803,0.008503279,sig
"Carnosinuria, Carnosinemia",-0.688880796,0.045003096,-0.777086865,-0.600674727,0,sig,-0.259485251,0.07606749,-0.408577532,-0.11039297,0.000646657,sig,-0.408714852,0.065450719,-0.536998262,-0.280431443,4.25E-10,sig
Carprofen Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Catecholamine Biosynthesis,-0.386854415,0.044636227,-0.47434142,-0.299367409,0,sig,-0.167458372,0.064750521,-0.294369394,-0.04054735,0.009703811,sig,-0.211811216,0.055449118,-0.320491488,-0.103130945,0.000133495,sig
Celecoxib Action Pathway,0.170142462,0.045843995,0.080288232,0.259996693,0.000206168,sig,-0.023980076,0.072090305,-0.165277074,0.117316922,0.739406501,not sig,0.198589998,0.061193028,0.078651663,0.318528333,0.001173252,sig
Cerebrotendinous Xanthomatosis ,-0.058942663,0.044691991,-0.146538965,0.02865364,0.187214548,not sig,-0.239483314,0.071707356,-0.380029733,-0.098936896,0.000838594,sig,0.217410707,0.062844404,0.094235675,0.34058574,0.000541164,sig
Chloramphenicol Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Citalopram Action Pathway,-0.383353806,0.060399722,-0.50173726,-0.264970351,2.20E-10,sig,-0.040906395,0.096166032,-0.229391817,0.147579027,0.670565077,not sig,-0.241867113,0.08324509,-0.405027491,-0.078706736,0.003666879,sig
Citric Acid Cycle,-0.286462754,0.042529518,-0.36982061,-0.203104898,1.63E-11,sig,-0.009904399,0.064521019,-0.136365596,0.116556798,0.877998826,not sig,-0.284109841,0.057742267,-0.397284684,-0.170934997,8.64E-07,sig
Citrullinemia Type I,-0.414900803,0.032711384,-0.479015116,-0.35078649,0,sig,0.059026324,0.050758762,-0.04046085,0.158513499,0.244878398,not sig,-0.462360766,0.047384257,-0.555233911,-0.369487622,0,sig
Clarithromycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Clindamycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Clomocycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Codeine Action Pathway,-0.307673645,0.059204592,-0.423714646,-0.191632645,2.03E-07,sig,-0.050976685,0.093631102,-0.234493646,0.132540276,0.586137495,not sig,-0.147855456,0.084527861,-0.313530063,0.017819151,0.08025784,not sig
Congenital Bile Acid Synthesis Defect Type II,-0.058942663,0.044691991,-0.146538965,0.02865364,0.187214548,not sig,-0.239483314,0.071707356,-0.380029733,-0.098936896,0.000838594,sig,0.217410707,0.062844404,0.094235675,0.34058574,0.000541164,sig
Congenital Bile Acid Synthesis Defect Type III,-0.058942663,0.044691991,-0.146538965,0.02865364,0.187214548,not sig,-0.239483314,0.071707356,-0.380029733,-0.098936896,0.000838594,sig,0.217410707,0.062844404,0.094235675,0.34058574,0.000541164,sig
Congenital Disorder of Glycosylation CDG-IId,0.385778202,0.053941802,0.28005227,0.491504134,8.57E-13,sig,-0.12268121,0.100805398,-0.320259789,0.07489737,0.223600289,not sig,0.531985186,0.082468319,0.37034728,0.693623091,1.11E-10,sig
Congenital Erythropoietic Porphyria ,-0.662278551,0.039706138,-0.740102581,-0.58445452,0,sig,-0.231926361,0.08124101,-0.391158739,-0.072693982,0.004306473,sig,-0.371828452,0.069062934,-0.507191802,-0.236465103,7.29E-08,sig
Congenital Lactic Acidosis,-0.286462754,0.042529518,-0.36982061,-0.203104898,1.63E-11,sig,-0.009904399,0.064521019,-0.136365596,0.116556798,0.877998826,not sig,-0.284109841,0.057742267,-0.397284684,-0.170934997,8.64E-07,sig
"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",-0.283669432,0.024828534,-0.332333359,-0.235005506,0,sig,-0.17605485,0.034532121,-0.243737807,-0.108371892,3.43E-07,sig,-0.105047851,0.033070841,-0.169866699,-0.040229004,0.001490898,sig
Cystathionine beta-Synthase Deficiency,-0.227372754,0.038119288,-0.302086558,-0.152658949,2.45E-09,sig,-0.045877705,0.060295472,-0.16405683,0.07230142,0.446727893,not sig,-0.157045442,0.054673471,-0.264205444,-0.049885439,0.004073348,sig
Cysteine Metabolism,-0.755041118,0.042865734,-0.839057958,-0.671024278,0,sig,0.010207653,0.074915928,-0.136627566,0.157042873,0.891619871,not sig,-0.736820113,0.063616635,-0.861508717,-0.612131509,0,sig
"Cystinosis, Ocular Nonnephropathic",-0.755041118,0.042865734,-0.839057958,-0.671024278,0,sig,0.010207653,0.074915928,-0.136627566,0.157042873,0.891619871,not sig,-0.736820113,0.063616635,-0.861508717,-0.612131509,0,sig
D-Glyceric Acidura,-0.019566145,0.051674429,-0.120848026,0.081715736,0.704953214,not sig,-0.002444736,0.081484407,-0.162154173,0.157264701,0.97606506,not sig,-0.022162032,0.075741938,-0.17061623,0.126292166,0.769828512,not sig
De Novo Triacylglycerol Biosynthesis,-0.145690126,0.053918811,-0.251370996,-0.040009257,0.0068918,sig,0.04464518,0.08778421,-0.127411871,0.216702231,0.611047556,not sig,-0.160802401,0.080511016,-0.318603993,-0.003000809,0.045795641,sig
De Novo Triacylglycerol Biosynthesis TG,-0.145690126,0.053918811,-0.251370996,-0.040009257,0.0068918,sig,0.04464518,0.08778421,-0.127411871,0.216702231,0.611047556,not sig,-0.160802401,0.080511016,-0.318603993,-0.003000809,0.045795641,sig
Demeclocycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Diclofenac Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Diflunisal Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Dihydropyrimidinase Deficiency,-0.073569747,0.038852038,-0.149719742,0.002580248,0.058279741,not sig,-0.035615563,0.060324262,-0.153851116,0.082619989,0.554921186,not sig,-0.034932762,0.054797091,-0.142335059,0.072469536,0.523803768,not sig
Dihydropyrimidine Dehydrogenase Deficiency ,-0.4456721,0.024890601,-0.494457677,-0.396886523,0,sig,-0.153776829,0.039001203,-0.230219187,-0.077334472,8.05E-05,sig,-0.274926749,0.035601747,-0.344706172,-0.205147326,1.14E-14,sig
Dimethylglycine Dehydrogenase Deficiency,-0.120924074,0.009949531,-0.140425154,-0.101422994,0,sig,-0.03674274,0.012709703,-0.061653758,-0.011831722,0.003841154,sig,-0.083099237,0.012888856,-0.108361395,-0.05783708,1.14E-10,sig
Disulfiram Action Pathway,-0.314880656,0.032717313,-0.379006589,-0.250754723,0,sig,-0.097952215,0.047270698,-0.190602782,-0.005301647,0.038250984,sig,-0.221431571,0.041494954,-0.30276168,-0.140101462,9.48E-08,sig
Dopamine beta-Hydroxylase Deficiency,-0.315769524,0.032938132,-0.380328263,-0.251210786,0,sig,-0.145408502,0.049712801,-0.242845592,-0.047971412,0.003444883,sig,-0.173990434,0.043756116,-0.259752421,-0.088228447,7.00E-05,sig
Doxycycline Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Erythromycin Action Pathway,0.096549798,0.068439644,-0.037591904,0.2306915,0.158324502,not sig,0.349229318,0.098298634,0.156563995,0.541894641,0.000381244,sig,-0.233407087,0.09276683,-0.415230073,-0.0515841,0.011867434,sig
Estrone Metabolism,-0.725219553,0.041921712,-0.807386108,-0.643052997,0,sig,-0.408860864,0.072728743,-0.551409201,-0.266312528,1.89E-08,sig,-0.227821821,0.065343973,-0.355896009,-0.099747633,0.000489384,sig
Etodolac Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Etoricoxib Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Familial Hypercholanemia ,-0.058942663,0.044691991,-0.146538965,0.02865364,0.187214548,not sig,-0.239483314,0.071707356,-0.380029733,-0.098936896,0.000838594,sig,0.217410707,0.062844404,0.094235675,0.34058574,0.000541164,sig
Familial Lipoprotein Lipase Deficiency,-0.019566145,0.051674429,-0.120848026,0.081715736,0.704953214,not sig,-0.002444736,0.081484407,-0.162154173,0.157264701,0.97606506,not sig,-0.022162032,0.075741938,-0.17061623,0.126292166,0.769828512,not sig
Fanconi-Bickel Syndrome,-0.2809441,0.046866701,-0.372802835,-0.189085366,2.04E-09,sig,-0.02996346,0.068714353,-0.164643591,0.104716671,0.662794466,not sig,-0.23835326,0.065131831,-0.36601165,-0.110694871,0.000252658,sig
Fatty Acid Biosynthesis,0.061515697,0.063100611,-0.0621615,0.185192894,0.329618424,not sig,-0.012373799,0.094248452,-0.197100765,0.172353166,0.895546574,not sig,0.012471906,0.086183571,-0.156447893,0.181391704,0.884937269,not sig
Fenoprofen Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
Fluoxetine Action Pathway,-0.383353806,0.060399722,-0.50173726,-0.264970351,2.20E-10,sig,-0.040906395,0.096166032,-0.229391817,0.147579027,0.670565077,not sig,-0.241867113,0.08324509,-0.405027491,-0.078706736,0.003666879,sig
Flurbiprofen Action Pathway,0.187692612,0.048497884,0.09263676,0.282748464,0.000108782,sig,0.003965121,0.079922986,-0.152683932,0.160614173,0.960431766,not sig,0.131122546,0.068237302,-0.002622565,0.264867657,0.054660267,not sig
"Folate Malabsorption, Hereditary",-0.281146279,0.062003781,-0.402673689,-0.159618869,5.78E-06,sig,0.086916504,0.1003408,-0.109751463,0.283584471,0.386373372,not sig,-0.273067417,0.090885772,-0.45120353,-0.094931303,0.00266007,sig
Folate Metabolism,-0.281146279,0.062003781,-0.402673689,-0.159618869,5.78E-06,sig,0.086916504,0.1003408,-0.109751463,0.283584471,0.386373372,not sig,-0.273067417,0.090885772,-0.45120353,-0.094931303,0.00266007,sig
"Fructose-1,6-diphosphatase Deficiency",-0.232268469,0.042212801,-0.315005558,-0.149531379,3.75E-08,sig,-0.087393946,0.061679913,-0.208286576,0.033498684,0.1565137,not sig,-0.15634828,0.058682246,-0.271365481,-0.041331078,0.007714415,sig
Fructose and Mannose Degradation,-0.345760367,0.055388332,-0.454321498,-0.237199237,4.31E-10,sig,-0.225904248,0.081883057,-0.386395039,-0.065413457,0.00580026,sig,-0.095136975,0.07959435,-0.251141902,0.060867951,0.231980396,not sig
"Fructose Intolerance, Hereditary",-0.345760367,0.055388332,-0.454321498,-0.237199237,4.31E-10,sig,-0.225904248,0.081883057,-0.386395039,-0.065413457,0.00580026,sig,-0.095136975,0.07959435,-0.251141902,0.060867951,0.231980396,not sig
Fructosuria,-0.345760367,0.055388332,-0.454321498,-0.237199237,4.31E-10,sig,-0.225904248,0.081883057,-0.386395039,-0.065413457,0.00580026,sig,-0.095136975,0.07959435,-0.251141902,0.060867951,0.231980396,not sig
Fumarase Deficiency,-0.286462754,0.042529518,-0.36982061,-0.203104898,1.63E-11,sig,-0.009904399,0.064521019,-0.136365596,0.116556798,0.877998826,not sig,-0.284109841,0.057742267,-0.397284684,-0.170934997,8.64E-07,sig
G,-0.022447652,0.051147017,-0.122695804,0.077800501,0.660744962,not sig,0.284894785,0.065881171,0.15576769,0.41402188,1.53E-05,sig,-0.277815645,0.065351023,-0.40590365,-0.14972764,2.13E-05,sig
GABA-Transaminase Deficiency,-0.688880796,0.045003096,-0.777086865,-0.600674727,0,sig,-0.259485251,0.07606749,-0.408577532,-0.11039297,0.000646657,sig,-0.408714852,0.065450719,-0.536998262,-0.280431443,4.25E-10,sig
Galactose Metabolism,0.090882197,0.05036548,-0.007834144,0.189598537,0.071160148,not sig,-0.1395337,0.083768635,-0.303720225,0.024652824,0.095772504,not sig,0.255781345,0.076601807,0.105641804,0.405920886,0.000840493,sig
Galactosemia,0.090882197,0.05036548,-0.007834144,0.189598537,0.071160148,not sig,-0.1395337,0.083768635,-0.303720225,0.024652824,0.095772504,not sig,0.255781345,0.076601807,0.105641804,0.405920886,0.000840493,sig
Galactosemia II ,-0.141315007,0.058853561,-0.256667986,-0.025962028,0.016344561,sig,-0.099245236,0.101531179,-0.298246348,0.099755875,0.328328948,not sig,0.015403556,0.085304754,-0.151793763,0.182600875,0.856704401,not sig
