Metabolite,Coef_RA_HC,PValue_RA_HC,CI_Lower_RA_HC,CI_Upper_RA_HC,Coef_RA_atRisk,PValue_RA_atRisk,CI_Lower_RA_atRisk,CI_Upper_RA_atRisk,Coef_HC_atRisk,PValue_HC_atRisk,CI_Lower_HC_atRisk,CI_Upper_HC_atRisk
Dihydroxyacetone phosphate,-0.515779276,1.69E-05,-0.747897152,-0.283661401,-0.339360176,0.025188018,-0.636158806,-0.042561546,0.188621517,0.307591548,-0.175411574,0.552654607
D-Glyceraldehyde 3-phosphate,-0.825302784,3.10E-12,-1.048753329,-0.601852238,-0.321189174,0.032756548,-0.615835109,-0.026543239,0.544153048,0.00147316,0.212260777,0.876045319
Shikimic acid,0.551018598,5.32E-06,0.317054128,0.784983068,0.107258797,0.472381075,-0.186218773,0.400736367,-0.477238352,0.010190947,-0.839623465,-0.11485324
Citrulline,0.050728066,0.684754005,-0.19491433,0.296370463,-0.084065676,0.607816632,-0.406231328,0.238099976,-0.196471215,0.261680851,-0.541023771,0.14808134
Hippuric acid,0.120842893,0.330831165,-0.123299348,0.364985133,-0.089373097,0.56819384,-0.397339631,0.218593437,-0.23410822,0.158388045,-0.560415671,0.092199231
myo-Inositol,-0.102928783,0.384798574,-0.3356446,0.129787035,-0.018617228,0.907012822,-0.33215528,0.294920824,0.051425599,0.772047687,-0.298679031,0.40153023
lactose,0.640365399,2.14E-07,0.402979997,0.877750801,-0.11856225,0.419590921,-0.407351781,0.170227281,-0.868083231,6.83E-07,-1.198862394,-0.537304069
4-Hydroxyphenylpyruvic acid,-0.486685775,2.80E-05,-0.7118134,-0.261558151,0.541227561,0.000230629,0.255883319,0.826571804,0.941968168,9.97E-08,0.609478632,1.274457704
4-Pyridoxic acid,-0.004535871,0.969217535,-0.235642502,0.22657076,-0.187090313,0.209432043,-0.479880793,0.105700167,-0.296505327,0.130502253,-0.68182221,0.088811556
2-Phosphoglyceric acid,-0.105484666,0.381871855,-0.342514466,0.131545135,-0.155367359,0.300788056,-0.450441287,0.139706569,-0.188685979,0.350942087,-0.587127128,0.209755169
Azelaic acid,1.350972727,2.67E-34,1.159568474,1.54237698,-0.135192999,0.271675651,-0.376861347,0.10647535,-1.514619436,1.29E-20,-1.790646528,-1.238592345
"4,6-Dihydroxy-2-quinolinecarboxylic acid",0.324325275,0.006909778,0.089665321,0.558985229,-0.274606648,0.07814371,-0.580359198,0.031145902,-0.642993013,0.000251837,-0.981814797,-0.30417123
D-Glucuronic acid,0.370563816,0.002543109,0.130968938,0.610158694,0.075560065,0.616996199,-0.221586987,0.372707118,-0.373641698,0.043900898,-0.736938968,-0.010344427
Indoxyl sulfate,-0.019649384,0.871706544,-0.258878567,0.219579799,-0.035339276,0.819310363,-0.339658552,0.268979999,-0.039342403,0.822702158,-0.385650783,0.306965977
Pantothenic acid,0.001112387,0.992563789,-0.233559735,0.23578451,-0.196189112,0.189383039,-0.489777669,0.097399445,-0.276681297,0.141266158,-0.646340375,0.092977781
L-Cystathionine,0.260536916,0.037315151,0.015406627,0.505667205,-0.047252373,0.763653228,-0.356368744,0.261863997,-0.359009189,0.035646657,-0.693609516,-0.024408861
3-Nitrotyrosine,0.135111484,0.268414997,-0.104683282,0.37490625,-0.264170201,0.082807769,-0.56289735,0.034556949,-0.492396001,0.00756191,-0.851727545,-0.133064456
Myristic acid,1.248297362,2.63E-28,1.047744695,1.44885003,1.007856582,7.70E-13,0.744709936,1.271003228,-0.320062637,0.016507137,-0.580883018,-0.059242257
D-Ribose 5-phosphate,-0.233205526,0.046452736,-0.462722859,-0.003688193,0.019711624,0.903075048,-0.298707368,0.338130617,0.204036723,0.271980457,-0.16160532,0.569678767
Biotin,-0.091020256,0.441189399,-0.323269062,0.141228549,-0.336556988,0.025501183,-0.631540222,-0.041573755,-0.302644519,0.123542369,-0.688747041,0.083458003
Fructose 6-phosphate,0.190691352,0.125703925,-0.053688237,0.435070941,0.020257539,0.865588572,-0.215171158,0.255686236,-0.251379839,0.257992246,-0.688812324,0.186052645
Glucose 6-phosphate,0.598611531,6.03E-07,0.367577053,0.829646009,0.070056311,0.580303628,-0.179111237,0.319223859,-0.642350266,0.001751431,-1.040668708,-0.244031824
Heptadecanoic acid,0.782311552,4.90E-11,0.556611578,1.008011526,0.400858515,0.006479813,0.113261112,0.688455917,-0.471635229,0.006521906,-0.809429889,-0.133840569
Linoelaidic acid,0.348622212,0.003009208,0.1192529,0.577991524,0.232851281,0.130497032,-0.069409959,0.535112522,-0.189178317,0.331079526,-0.572508801,0.194152168
Alpha-Linolenic acid,0.565346706,2.12E-06,0.335223379,0.795470033,0.526207499,0.000486717,0.232883754,0.819531245,-0.131489273,0.463446566,-0.484927652,0.221949105
Xanthosine,0.13367011,0.274049239,-0.106377667,0.373717887,0.6001651,0.000333318,0.275158628,0.925171571,0.4088865,0.005109697,0.124580808,0.693192192
Argininosuccinic acid,-0.494660263,3.39E-05,-0.725968584,-0.263351942,-0.029012834,0.858155578,-0.34834904,0.290323372,0.431701884,0.006720017,0.121349962,0.742053806
13-HODE,2.111161575,2.03E-118,2.002756714,2.219566437,0.531370669,4.49E-13,0.394186613,0.668554726,-1.614332958,5.68E-48,-1.762196332,-1.466469585
Arachidonic acid,1.653547735,1.09E-55,1.487124672,1.819970798,0.967009595,1.05E-18,0.767449763,1.166569427,-0.760519316,6.98E-08,-1.025439492,-0.495599139
dCMP,0.565455283,3.01E-06,0.331658692,0.799251875,0.016229689,0.910321566,-0.267229204,0.299688581,-0.634147202,0.000843579,-1.001965084,-0.26632932
Glutathione,-0.467806387,9.91E-05,-0.701147188,-0.234465585,-0.174046617,0.255060019,-0.474501132,0.126407898,0.330303994,0.058402341,-0.011892625,0.672500613
N-Acetylneuraminic acid,1.124963053,2.93E-22,0.914431851,1.335494254,0.808316994,1.24E-08,0.53769073,1.078943258,-0.396469449,0.012886754,-0.707715296,-0.085223603
Tetranor 12-HETE,2.181854271,2.54E-151,2.097866229,2.265842313,0.545981582,1.05E-25,0.454101255,0.637861909,-1.628891014,2.38E-51,-1.768417905,-1.489364123
5-Thymidylic acid,0.14027653,0.261078468,-0.104883596,0.385436656,-0.222555278,0.150781987,-0.52667118,0.081560624,-0.459464222,0.004117091,-0.771048549,-0.147879896
Cytidine monophosphate,0.343187841,0.004846238,0.10522363,0.581152053,0.018110978,0.904666199,-0.279358484,0.315580439,-0.364265186,0.052112597,-0.731904074,0.003373701
"Alpha-D-Glucose 1,6-bisphosphate",0.690928414,3.97E-09,0.466651234,0.915205594,0.654960277,1.10E-05,0.367331016,0.942589538,-0.086717596,0.623039476,-0.434567181,0.261131988
"Fructose 1,6-bisphosphate",0.3351277,0.005108481,0.101325765,0.568929636,-0.275363608,0.065186467,-0.568171886,0.01744467,-0.696935814,0.00026772,-1.06583571,-0.328035917
Alpha-Lactose,0.696977636,5.28E-09,0.46880037,0.925154902,-0.051758384,0.718858693,-0.334567551,0.231050783,-0.762749205,1.47E-05,-1.099145312,-0.426353098
Sucrose,0.643766352,7.78E-08,0.41372804,0.873804664,-0.099909405,0.496299613,-0.388677104,0.188858293,-0.747447456,1.70E-05,-1.07979087,-0.415104041
Cyclic GMP,0.143292175,0.248488274,-0.100574621,0.387158971,-0.200412247,0.176374639,-0.491507721,0.090683227,-0.461977842,0.010075868,-0.812227101,-0.111728584
Gibberellin A3,0.929072652,2.94E-15,0.709416713,1.14872859,-0.410753673,0.000553382,-0.642058993,-0.179448353,-1.376583908,4.01E-12,-1.737206484,-1.015961332
Adenosine monophosphate,-0.152593347,0.189597273,-0.380987582,0.075800887,0.597601252,0.000165931,0.289669767,0.905532737,0.638461624,0.000690673,0.274389597,1.002533651
Inosinic acid,-0.434569316,0.000151676,-0.65745605,-0.211682583,0.396399292,0.013391451,0.082945711,0.709852873,0.848961877,3.35E-06,0.501525218,1.196398536
Prostaglandin E2,1.908702172,2.17E-90,1.780311859,2.037092486,-0.203625846,0.000225732,-0.310817572,-0.09643412,-2.133725815,4.36E-40,-2.364450277,-1.903001353
Orotidylic acid,0.491077584,3.98E-05,0.259344517,0.722810652,-0.031033458,0.810368918,-0.285444417,0.223377501,-0.602356237,0.003845476,-1.007717224,-0.196995251
S-Adenosylhomocysteine,-0.341316476,0.005189559,-0.579874989,-0.102757963,0.151372004,0.338249317,-0.159310061,0.462054069,0.479122787,0.003027291,0.165011498,0.793234076
Uridine 5'-diphosphate,0.386111394,0.00093895,0.158697321,0.613525467,-0.209865628,0.118777472,-0.47390786,0.054176603,-0.68875787,0.000743318,-1.083950051,-0.293565689
ADP,-1.195578134,7.32E-30,-1.381125172,-1.010031097,-1.300578823,5.81E-19,-1.566653298,-1.034504348,-0.169196901,0.147093882,-0.398583831,0.06019003
Folic acid,0.346630036,0.004108633,0.110744432,0.58251564,0.608194898,9.24E-05,0.306654484,0.909735312,0.281932625,0.099870527,-0.054517633,0.618382884
Guanosine diphosphate,-0.150173772,0.203992562,-0.382312739,0.081965194,-0.425233845,0.010347282,-0.749435419,-0.101032271,-0.344360712,0.047336693,-0.684621681,-0.004099742
5-Methyltetrahydrofolic acid,0.502226139,2.81E-05,0.269852806,0.734599472,0.049702072,0.74845458,-0.25516701,0.354571155,-0.480825722,0.005452434,-0.817747231,-0.143904212
Glycocholic acid,0.622811111,2.56E-07,0.390367548,0.855254674,-0.137105018,0.371869018,-0.438913151,0.164703115,-0.869569203,2.11E-07,-1.185428046,-0.553710361
Adenosine triphosphate,0.458760268,7.23E-05,0.234420137,0.683100399,-0.439839385,0.000757237,-0.693956047,-0.185722723,-0.975260781,4.31E-06,-1.379260291,-0.571261271
Taurocholic acid,0.42827099,0.000504956,0.188576815,0.667965165,-0.222277121,0.14913175,-0.524780509,0.080226266,-0.746119277,1.07E-05,-1.069714488,-0.422524065
Oxidized glutathione,-1.433549183,6.50E-40,-1.616866482,-1.250231884,-0.236566962,0.021163856,-0.437433267,-0.035700657,1.195385332,2.20E-10,0.848430492,1.542340173
NAD,-1.207878111,2.19E-27,-1.406106941,-1.009649282,-0.437757656,0.002336088,-0.718169489,-0.157345822,0.776162977,1.89E-07,0.495443985,1.05688197
L-Lactic acid,-0.559502069,9.00E-08,-0.760462968,-0.35854117,0.009298727,0.955346251,-0.317385413,0.335982867,0.521350809,0.008282009,0.136363734,0.906337885
Dimethyl fumarate,-0.590141246,1.98E-06,-0.829626902,-0.35065559,-0.199335731,0.230140486,-0.525664481,0.126993019,0.345748606,0.017974108,0.060191825,0.631305387
Citraconic acid,0.204427366,0.087282042,-0.030072187,0.43892692,0.058560373,0.707490854,-0.248412829,0.365533575,-0.217568526,0.256497243,-0.594972313,0.159835261
Allantoin,0.857384846,1.60E-13,0.639075575,1.075694116,-0.24736821,0.074612214,-0.519485562,0.024749142,-1.19550421,2.55E-11,-1.523249565,-0.867758856
cis-Aconitic acid,0.44372796,0.000267104,0.207005224,0.680450695,0.226191782,0.160086352,-0.08996027,0.542343835,-0.315049238,0.063697061,-0.648275811,0.018177335
Citric acid,-0.2260203,0.077340111,-0.476967099,0.024926499,-0.280918759,0.082186435,-0.597939027,0.03610151,-0.143637706,0.368986187,-0.458595838,0.171320426
Chenodeoxycholic acid glycine conjugate,0.236566552,0.061509458,-0.011476132,0.484609236,-0.286022743,0.039415231,-0.558073884,-0.013971601,-0.614230559,0.00143104,-0.987844648,-0.24061647
Malondialdehyde,-0.19677761,0.106451163,-0.435926407,0.042371187,-0.285032428,0.021763935,-0.528178184,-0.041886671,-0.137010891,0.519121751,-0.555921666,0.281899883
Phenylmethyl 2-methylpropanoate,-0.575903991,4.81E-08,-0.778294353,-0.373513629,1.016908698,1.67E-11,0.732599553,1.301217842,1.535981367,1.13E-20,1.256597926,1.815364808
Glyceric acid,0.504592925,4.10E-05,0.266062624,0.743123227,0.041836505,0.767302614,-0.23627387,0.31994688,-0.529433632,0.006999375,-0.912002377,-0.146864886
Alpha-ketoisovaleric acid,-0.794696992,2.12E-11,-1.019422048,-0.569971937,0.158873074,0.274998365,-0.127103931,0.444850078,0.876210071,1.57E-06,0.529938684,1.222481458
Methylsuccinic acid,-0.10304289,0.401236254,-0.344262413,0.138176633,-0.156521403,0.313559986,-0.461757028,0.148714223,-0.09916119,0.584327893,-0.456519217,0.258196838
Oxalacetic acid,1.269413882,5.85E-29,1.068446842,1.470380922,0.751049504,3.63E-09,0.508964404,0.993134605,-0.551343145,0.000862549,-0.871748773,-0.230937516
Oxoglutaric acid,-0.84664801,4.71E-12,-1.077995824,-0.615300195,-0.904596857,2.75E-08,-1.215392269,-0.593801445,-0.06038736,0.602808891,-0.289192641,0.168417922
2-Hydroxyglutarate,-0.47931489,6.54E-05,-0.712266043,-0.246363737,-0.601003723,0.00036938,-0.92898206,-0.273025386,-0.148368178,0.25748181,-0.406269517,0.109533162
D-Fructose,0.661899387,6.62E-08,0.42672067,0.897078105,-0.15387265,0.265408565,-0.425346145,0.117600846,-0.863355318,3.43E-06,-1.217074532,-0.509636105
Glucose 1-phosphate,0.763529502,7.82E-11,0.540702162,0.986356842,0.08436004,0.556155255,-0.197511328,0.366231408,-0.647091234,0.000310196,-0.993382123,-0.300800345
Geranyl-PP,-0.317778398,0.004279136,-0.535018555,-0.100538242,0.240436362,0.159207377,-0.094915998,0.575788721,0.47710457,0.011106691,0.110453133,0.843756007
Adenylsuccinic acid,1.586076671,1.30E-48,1.409568288,1.762585055,0.414669212,0.00019262,0.198795465,0.630542959,-1.250480605,9.59E-16,-1.525338794,-0.975622415
Glycerol 3-phosphate,1.68240515,6.05E-65,1.53212151,1.83268879,1.138239335,8.21E-27,0.951919126,1.324559544,-0.556559888,6.87E-05,-0.825129383,-0.287990392
Glyceraldehyde,0.273660118,0.023423177,0.037260406,0.51005983,-0.061726196,0.68723714,-0.36328426,0.239831869,-0.301482203,0.107835791,-0.669724057,0.066759651
Pyruvic acid,-0.629709031,1.62E-08,-0.843179922,-0.416238139,0.925891072,3.52E-10,0.646472839,1.205309304,1.509027611,1.67E-20,1.232935426,1.785119797
Methyl (R)-3-methyl-2-oxopentanoate,-0.335775931,0.000540809,-0.524723682,-0.146828179,1.012682613,1.88E-11,0.728750711,1.296614515,1.274732448,4.44E-11,0.920243991,1.629220906
Isocitric acid,0.349367971,0.003570469,0.115267825,0.583468118,0.126390212,0.386603734,-0.160580538,0.413360961,-0.267914187,0.145305805,-0.629518343,0.093689969
Homovanillic acid,0.224273155,0.072937097,-0.020980259,0.469526568,-0.361085517,0.017530543,-0.658506121,-0.063664913,-0.60823897,0.000861748,-0.961680397,-0.254797543
Trimethylamine,0.329975078,0.007329911,0.089453132,0.570497025,0.22711621,0.140734722,-0.075556619,0.52978904,-0.16095042,0.378829656,-0.5212365,0.199335661
Glycine,0.267761181,0.028759563,0.027957352,0.507565009,0.142755684,0.360694684,-0.164238109,0.449749478,-0.182340049,0.330036393,-0.551015577,0.186335479
Trimethylamine N-oxide,0.1947597,0.114307004,-0.047239031,0.436758431,-0.045207186,0.764087432,-0.341505418,0.251091045,-0.33169327,0.074825478,-0.697013887,0.033627347
Sarcosine,-0.31781735,0.008642814,-0.554440555,-0.081194145,-0.019858597,0.898909077,-0.327364474,0.287647281,0.191655467,0.294317432,-0.168177813,0.551488748
L-Alanine,0.349925866,0.004252821,0.110875023,0.588976709,0.195548736,0.201365506,-0.105063133,0.496160606,-0.210387918,0.254873413,-0.574086025,0.15331019
Cadaverine,0.885846623,1.09E-13,0.661982301,1.109710945,0.291038564,0.040880687,0.012157435,0.569919693,-0.618465532,0.000413469,-0.956800736,-0.280130327
2-Aminoisobutyric acid,0.12171226,0.313053813,-0.115301483,0.358726003,0.229967172,0.162919899,-0.093649957,0.553584301,0.048121033,0.782422258,-0.295545241,0.391787307
Choline,0.269599881,0.027839467,0.029562736,0.509637026,0.149500562,0.331121671,-0.152840688,0.451841812,-0.185063264,0.320147348,-0.551650024,0.181523497
Dimethylglycine,0.338986866,0.005782917,0.098997401,0.578976331,0.128624642,0.401663553,-0.172883406,0.430132691,-0.289938032,0.11643309,-0.65274127,0.072865206
L-Serine,0.28047014,0.022897892,0.039119091,0.521821189,0.125226709,0.418775006,-0.179260578,0.429713996,-0.2239244,0.22452777,-0.586698158,0.138849359
Cytosine,0.335904493,0.004986836,0.102217567,0.56959142,0.001959048,0.990010772,-0.305857853,0.30977595,-0.290725526,0.085651057,-0.622733377,0.041282324
Creatinine,0.139211072,0.256591501,-0.101800703,0.380222846,0.012300606,0.934646356,-0.282791852,0.307393065,-0.176477027,0.295903925,-0.50890712,0.155953066
L-Proline,-0.051908955,0.670467548,-0.291734154,0.187916245,-0.124909873,0.452532324,-0.451841298,0.202021552,-0.106265441,0.497043976,-0.41466843,0.202137548
5-Aminopentanoic acid,0.407856995,0.000911843,0.16823942,0.64747457,0.180464479,0.197299037,-0.094451813,0.455380772,-0.280199247,0.159562633,-0.671859366,0.111460873
Betaine,0.24726368,0.040316425,0.010987376,0.483539983,0.290979524,0.061141159,-0.013694151,0.5956532,-0.011739455,0.948021481,-0.366942955,0.343464044
L-Valine,0.413284958,0.000517202,0.181541287,0.64502863,0.104585715,0.439060058,-0.161153209,0.370324638,-0.307632975,0.154848665,-0.732750784,0.117484834
Indole,0.431960234,0.000301086,0.19950118,0.664419288,0.350793459,0.028212893,0.037757534,0.663829385,-0.059788972,0.724626045,-0.394495085,0.274917142
L-Homoserine,0.242334124,0.048645153,0.001450213,0.483218034,0.107741607,0.486624195,-0.196779797,0.412263011,-0.197215482,0.281503167,-0.557738426,0.163307462
L-Threonine,0.236063158,0.055082607,-0.005168878,0.477295194,0.11520287,0.457149125,-0.189427848,0.419833588,-0.184273877,0.31375694,-0.54449264,0.175944886
L-Cysteine,-0.636792446,8.36E-08,-0.864918157,-0.408666735,-0.451527695,0.002392374,-0.741455268,-0.161600123,0.297197463,0.074061097,-0.029259164,0.623654091
Niacinamide,-0.245586767,0.042828195,-0.483190221,-0.007983314,0.032723668,0.83662092,-0.279430465,0.3448778,0.217801519,0.235117201,-0.143204396,0.578807434
Taurine,0.052761023,0.666602634,-0.187996047,0.293518093,0.011064611,0.945426354,-0.306917615,0.329046836,-0.098192194,0.583528318,-0.45130592,0.254921532
Pyroglutamic acid,0.320339594,0.011267635,0.073123258,0.56755593,0.121376441,0.419931957,-0.174485015,0.417237896,-0.244793278,0.189337117,-0.611624649,0.122038093
L-Pipecolic acid,0.367960968,0.002669515,0.128864617,0.607057319,0.120700059,0.427601918,-0.178428108,0.419828226,-0.340602045,0.063915536,-0.70115581,0.019951719
N-Acetylputrescine,0.185272166,0.130447464,-0.055145139,0.425689471,0.34072402,0.027870325,0.037342621,0.644105418,0.062818533,0.719631754,-0.282312054,0.40794912
Creatine,0.02533631,0.835493402,-0.214544591,0.265217211,0.135939806,0.436085292,-0.20722833,0.479107942,0.108048142,0.506639132,-0.212654544,0.428750829
4-Hydroxyproline,0.477503255,0.000112452,0.237383056,0.717623453,0.066819604,0.603123722,-0.185941716,0.319580924,-0.466385276,0.022939398,-0.867393301,-0.06537725
5-Aminolevulinic acid,-0.638958231,1.33E-07,-0.871728934,-0.406187529,-0.531593848,0.000590442,-0.832508949,-0.230678747,0.0285631,0.86467561,-0.302014811,0.35914101
L-Isoleucine,0.315736893,0.009500085,0.077696749,0.553777037,0.05335788,0.727188642,-0.247483604,0.354199364,-0.311971813,0.092592057,-0.676139375,0.052195749
L-Leucine,0.374018627,0.002248196,0.13517556,0.612861694,0.030829321,0.81377024,-0.226613454,0.288272096,-0.40801143,0.043320837,-0.803618955,-0.012403906
Ornithine,0.147859308,0.230553452,-0.094334119,0.390052736,0.132199087,0.393466611,-0.172344641,0.436742816,-0.078910523,0.666159765,-0.439588525,0.28176748
L-Asparagine,-1.26413291,8.84E-32,-1.45250249,-1.075763331,-1.283188041,2.55E-21,-1.526874197,-1.039501886,-0.045440613,0.735707135,-0.310935306,0.220054079
Homocysteine,0.154395156,0.191174042,-0.0775217,0.386312013,0.375422435,0.015726595,0.071345918,0.679498952,0.128444626,0.498475521,-0.245571984,0.502461236
N-Methylnicotinamide,0.075501504,0.538652111,-0.165862674,0.316865682,0.133617969,0.342727851,-0.143184898,0.410420836,0.013346245,0.946851789,-0.381574055,0.408266544
Tyramine,0.000776381,0.994698197,-0.228950359,0.230503121,-0.106804305,0.48782396,-0.40951014,0.195901529,-0.169663763,0.326651651,-0.510309231,0.170981705
4-Acetamidobutanoic acid,0.316070854,0.009262051,0.078585749,0.553555959,0.163068181,0.297771773,-0.144700172,0.470836533,-0.224956468,0.211522404,-0.57919652,0.129283583
Spermidine,0.470925737,9.20E-05,0.237140264,0.704711209,0.085497914,0.578705291,-0.217310589,0.388306417,-0.386627205,0.025095418,-0.724267261,-0.048987148
L-Glutamine,-1.062681722,2.21E-19,-1.279467794,-0.845895651,-0.938823119,3.15E-09,-1.240160557,-0.637485682,0.128293574,0.283138654,-0.107036967,0.363624114
L-Lysine,0.231488113,0.066330622,-0.015700948,0.478677174,0.058346006,0.692385887,-0.231734839,0.348426852,-0.204414426,0.285410987,-0.581154634,0.172325781
DL-Glutamate,1.010521326,1.03E-17,0.792571037,1.228471615,0.311516567,0.02605428,0.03744964,0.585583494,-0.730835103,2.42E-05,-1.062218852,-0.399451354
L-Methionine,0.246383427,0.032146998,0.021138831,0.471628023,0.81193856,8.61E-08,0.521762313,1.102114807,0.516102215,0.003872161,0.168517879,0.863686552
Cysteamine,0.007544158,0.950259254,-0.230237829,0.245326145,-0.122808834,0.41574573,-0.419478859,0.173861192,-0.200562785,0.269607605,-0.558196779,0.157071209
L-Histidine,0.189803111,0.113675879,-0.045623918,0.42523014,0.123964695,0.433410473,-0.187154305,0.435083696,-0.146303776,0.37935082,-0.474162665,0.181555112
Tryptamine,0.126563877,0.298919032,-0.112786618,0.365914372,-0.117346788,0.444867999,-0.419332185,0.18463861,-0.254610632,0.151410512,-0.603504937,0.094283673
L-Carnitine,0.29761933,0.016226116,0.05533891,0.53989975,0.117441843,0.45245708,-0.189892003,0.42477569,-0.248072879,0.164207679,-0.598712441,0.102566683
L-Phenylalanine,0.411109936,0.000791487,0.172465501,0.64975437,0.18844861,0.21772533,-0.111874214,0.488771434,-0.27477425,0.136902821,-0.637825365,0.088276864
1-Methyl-L-histidine,0.156862985,0.196689334,-0.081702347,0.395428317,-0.042212642,0.790593087,-0.354916287,0.270491004,-0.195171636,0.282202128,-0.552478907,0.162135634
L-Arginine,0.603492107,5.36E-07,0.371678083,0.83530613,0.272701323,0.081626912,-0.034479307,0.579881953,-0.410188438,0.018933057,-0.751805266,-0.06857161
