Metabolites,The Wilcoxon Test (Table S4C),,,Correlation Analysis,,,,,,,,
,Compare Groups,p value,log10(fold change),VAS_correlation,VAS_p value,TJC_correlation,TJC_p value,SJC_correlation,SJC_p value,CRP_correlation,CRP_p value,
Heptadecanoic acid,moderate activity vs. high activity,0.009249988,0.009249988,0.243916538,-0.172532352,0.056355673,-0.103335856,0.255372651,-0.098438245,0.278711143,-0.002098211,0.981624183
Xanthosine,clinical remission vs. high activity,0.023459802,0.023459802,0.475453552,-0.158555329,0.193173846,-0.242124566,0.045024329,-0.081883423,0.503576285,0.008520525,0.944603553
Xanthosine,moderate activity vs. high activity,0.04822524,0.04822524,0.397072519,-0.180740193,0.045441284,-0.189386371,0.035907241,-0.061434384,0.499662101,0.021228089,0.815720013
5-Thymidylic acid,clinical remission vs. low activity,0.021844077,0.021844077,0.244883968,-0.010889011,0.920736669,-0.109707096,0.314640058,-0.245026609,0.022977205,-0.008984888,0.934563374
5-Thymidylic acid,low activity vs. moderate activity,0.012446492,0.012446492,-0.184441472,0.129949039,0.125945201,0.110408086,0.194071637,-0.000235915,0.997792764,0.122843031,0.148191368
"Glucose 1,6-bisphosphate",clinical remission vs. moderate activity,0.034429493,0.034429493,-0.277825651,-0.114696318,0.183642299,-0.054232897,0.53060496,-0.000955941,0.991187387,0.175955053,0.040457632
"Glucose 1,6-bisphosphate",moderate activity vs. high activity,0.021729813,0.021729813,0.294447621,-0.288943442,0.001190099,-0.216977542,0.015925478,-0.045474269,0.617467289,0.108889091,0.230576016
Alpha-Lactose,clinical remission vs. high activity,0.047960276,0.047960276,0.220859122,-0.213957378,0.077513476,-0.09791664,0.423465373,-0.112724455,0.356425693,-0.180389024,0.138008838
Sucrose,clinical remission vs. high activity,0.03233312,0.03233312,0.332260371,-0.222312172,0.066361211,-0.098669645,0.41989163,-0.140452701,0.249695072,-0.212455193,0.079668443
"3',5'-Cyclic GMP",clinical remission vs. low activity,0.043331968,0.043331968,0.179743025,-0.142060833,0.191971648,0.120366646,0.269627976,-0.135876578,0.212242301,-0.088535529,0.417581672
S-Adenosylhomocysteine,low activity vs. moderate activity,0.012157193,0.012157193,-0.430442237,0.031007764,0.716091781,0.109814885,0.196492914,0.108926852,0.200158401,0.1896382,0.024824901
S-Adenosylhomocysteine,moderate activity vs. high activity,0.028779968,0.028779968,0.243507233,-0.101250992,0.265138209,-0.055049988,0.54533918,-0.047683301,0.600465068,0.029633571,0.744902575
Folic acid,moderate activity vs. high activity,0.048121506,0.048121506,0.525894196,-0.011872206,0.896305885,-0.045190384,0.619667271,-0.165179814,0.06788176,-0.049548064,0.586277506
Guanosine 5'-diphosphate,clinical remission vs. high activity,0.026721395,0.026721395,0.546385831,-0.241935047,0.045197706,-0.293279239,0.014457325,-0.061479587,0.615784814,-0.063166117,0.606114984
Guanosine 5'-diphosphate,moderate activity vs. high activity,0.042389429,0.042389429,0.389285261,-0.268619468,0.002663394,-0.14193306,0.117353238,-0.057196534,0.529756295,0.07697533,0.397420216
Glycocholic acid,clinical remission vs. high activity,0.008146094,0.008146094,0.686640657,-0.324771296,0.00647513,-0.20224941,0.095596017,-0.154849996,0.20392052,-0.198188209,0.102587543
Glycocholic acid,moderate activity vs. high activity,0.01942465,0.01942465,0.647812393,-0.229032493,0.010830423,-0.099112503,0.27541574,-0.033756404,0.710890974,-0.059148827,0.51578034
Fumarate,clinical remission vs. high activity,0.026721395,0.026721395,0.259548101,-0.237689732,0.049227897,-0.133226918,0.27513123,-0.109800383,0.369117502,-0.171094198,0.159831111
Fumarate,clinical remission vs. low activity,0.01688179,0.01688179,0.317440555,-0.117562709,0.281024041,0.221852802,0.04007929,-0.343014818,0.001224432,-0.259790735,0.015710285
Fumarate,low activity vs. moderate activity,0.009783197,0.009783197,-0.289993642,0.016642499,0.845263964,0.153981952,0.069300816,-0.16324644,0.053956054,0.029468132,0.729627775
Fumarate,moderate activity vs. high activity,0.01942465,0.01942465,0.232101188,-0.139123085,0.124865195,-0.072150323,0.427748772,-0.157451049,0.08199032,-0.015238326,0.867145541
Citraconic acid,clinical remission vs. high activity,0.04010706,0.04010706,0.225469491,-0.299929032,0.012286179,-0.177455894,0.144637953,-0.090316042,0.460498686,-0.208061765,0.086245127
Citraconic acid,clinical remission vs. low activity,0.012253294,0.012253294,0.260615857,-0.150246662,0.167342441,0.127256178,0.242963891,-0.225356024,0.036960371,-0.244025011,0.023560182
Citraconic acid,low activity vs. moderate activity,0.038844796,0.038844796,-0.101438063,-0.019132846,0.822466461,0.141238113,0.09600774,-0.042170763,0.620799297,0.048332219,0.570660521
Aconitic acid,clinical remission vs. high activity,0.031334022,0.031334022,0.268571165,-0.343439067,0.003863021,-0.268905142,0.025469058,-0.063537829,0.60399271,-0.180174162,0.138486533
Aconitic acid,low activity vs. moderate activity,0.04758539,0.04758539,-0.24429255,-0.004465091,0.958243225,0.104517094,0.219092576,-0.03658072,0.667856225,-0.143833627,0.089993496
Aconitic acid,moderate activity vs. high activity,0.017911718,0.017911718,0.344457454,-0.194818231,0.030825968,-0.167409157,0.064200629,-0.046288227,0.611178273,-0.131662692,0.1466051
Citric acid,clinical remission vs. high activity,0.030361152,0.030361152,0.462786828,-0.253752647,0.03538812,-0.166743341,0.170880927,-0.293789065,0.014279896,-0.198200628,0.102565573
Citric acid,moderate activity vs. high activity,0.017054387,0.017054387,0.457928218,-0.166753883,0.065265337,-0.105416473,0.245876032,-0.27436611,0.002133757,-0.060099233,0.509045678
Chenodeoxycholic acid glycine conjugate,clinical remission vs. high activity,0.029413977,0.029413977,0.243191863,-0.272414133,0.023542488,-0.150141513,0.218181224,-0.025949568,0.832379323,-0.10089265,0.409442927
Malondialdehyde,moderate activity vs. high activity,0.026237554,0.026237554,0.172609819,-0.082529161,0.364144315,-0.145372474,0.108640972,-0.089041901,0.327389069,-0.04053035,0.656249897
2-Hydroxyglutarate,moderate activity vs. high activity,0.026647304,0.026647304,0.145568444,-0.175779542,0.051804502,-0.124341622,0.170606084,-0.005182894,0.9546292,-0.005859788,0.948711298
Glyceraldehyde,moderate activity vs. high activity,0.007078057,0.007078057,0.824543168,-0.243966026,0.006541937,-0.107077112,0.23847391,-0.161330839,0.074639464,0.101291321,0.26494693
Methyl-3-methyl-2-oxopentanoate,clinical remission vs. high activity,0.022699766,0.022699766,0.266626241,-0.236585965,0.050322669,-0.158233565,0.194090612,-0.110370125,0.366623258,-0.173782347,0.153273343
Methyl-3-methyl-2-oxopentanoate,clinical remission vs. low activity,0.002205079,0.002205079,0.404688786,-0.094081384,0.388896002,0.067077609,0.539452345,-0.214828446,0.046995396,-0.138094757,0.20480388
Methyl-3-methyl-2-oxopentanoate,low activity vs. moderate activity,0.012004561,0.012004561,-0.255256728,-0.015356886,0.857084531,0.107993747,0.204062863,-0.018785969,0.825633479,0.088424423,0.298847363
Homovanillic acid,clinical remission vs. high activity,0.007268964,0.007268964,0.798582941,-0.409551533,0.000475025,-0.282858337,0.018523369,-0.095182485,0.436586948,-0.200509954,0.098543473
Homovanillic acid,low activity vs. high activity,0.010235682,0.010235682,0.808548146,-0.300441339,0.009805048,-0.21737221,0.064699385,-0.121374969,0.306347023,-0.174931479,0.138804243
Homovanillic acid,moderate activity vs. high activity,0.003899697,0.003899697,0.731990569,-0.244696039,0.006377806,-0.230571158,0.010296293,-0.090644146,0.318724655,-0.0496718,0.585341552
5-Aminopentanoic acid,clinical remission vs. high activity,0.024241498,0.024241498,0.142792638,-0.150606729,0.216741814,-0.082267101,0.501572172,-0.167122637,0.169895952,-0.017088468,0.889162205
5-Aminopentanoic acid,low activity vs. high activity,0.036784864,0.036784864,0.265812359,-0.203021174,0.084949208,0.077915526,0.512327607,-0.068267134,0.566050632,0.059634265,0.616253135
1-Methyl-histidine,clinical remission vs. high activity,0.033358984,0.033358984,0.560296316,-0.160108775,0.18879151,-0.192817796,0.112435779,-0.200857763,0.097948519,0.005288741,0.965598474
1-Methyl-histidine,clinical remission vs. low activity,0.025751545,0.025751545,0.330976402,-0.144817857,0.183400144,-0.065301367,0.550269315,-0.207529723,0.055197366,0.07851015,0.472430909
Tryptophan,clinical remission vs. moderate activity,0.016629749,0.016629749,0.100656778,-0.079844307,0.355476801,-0.123668525,0.151455039,0.020102743,0.816308263,-0.102613463,0.234532709
Indolelactic acid,clinical remission vs. high activity,0.047960276,0.047960276,0.12806665,-0.112979824,0.355330191,-0.004297217,0.972045133,-0.083913927,0.493017222,0.021193438,0.862770015
3-Hydroxy-kynurenin,clinical remission vs. moderate activity,0.044112508,0.044112508,0.80419553,0.029777989,0.730741757,-0.089846768,0.298238391,-0.091832553,0.287643228,0.052256764,0.545709797
Guanosine monophosphate,moderate activity vs. high activity,0.047930715,0.047930715,-0.12796031,-0.075715133,0.405215252,0.108320137,0.233035893,0.12430602,0.170729507,0.038073711,0.675875392
Alpha-Tocopherol,clinical remission vs. moderate activity,0.048525146,0.048525146,0.089878621,-0.063574898,0.462153605,-0.130174328,0.130915117,0.046583586,0.590210223,-0.024593208,0.776257617
Bilirubin,clinical remission vs. moderate activity,0.023116923,0.023116923,0.39214174,-0.04334191,0.616357546,-0.078465638,0.363871122,-0.009327216,0.914177007,-0.06529719,0.450088605
Serotonin,clinical remission vs. moderate activity,0.021994351,0.021994351,0.321514353,-0.111849391,0.194834597,-0.096453494,0.26397056,-0.05748632,0.506202731,-0.074842573,0.38650881
Epinephrine,clinical remission vs. moderate activity,0.02711567,0.02711567,0.049982151,-0.074867936,0.386347442,-0.112442745,0.192462031,0.035806958,0.678979786,-0.104095151,0.227809017
Indolepyruvate,clinical remission vs. moderate activity,0.002942532,0.002942532,0.817395781,-0.083452846,0.334083131,-0.060266455,0.485822668,-0.165462926,0.054217711,0.037694069,0.663067458
Indolepyruvate,clinical remission vs. low activity,0.004401635,0.004401635,1.214883105,-0.255133651,0.017751159,-0.085490173,0.433840635,-0.11549395,0.289635068,-0.012801493,0.906872922
Normetanephrine,clinical remission vs. moderate activity,0.040977109,0.040977109,1.901395485,-0.012094818,0.8888561,-0.017264656,0.841875389,-0.125806551,0.144453181,0.009126234,0.916019475
