"","ID","p_age_lm","beta_age_lm","age_lm"
"Enol-phenylpyruvate","Enol-phenylpyruvate",0.614879222840373,1.04850254575491,"n.s."
"Phosphoenolpyruvic acid","Phosphoenolpyruvic acid",0.145093010131747,2.94609085220169,"n.s."
"Homogentisic acid","Homogentisic acid",0.808831038506605,0.516326615092865,"n.s."
"Uric acid","Uric acid",0.682834317579414,-0.604469491234117,"n.s."
"Dihydroxyacetone phosphate","Dihydroxyacetone phosphate",0.804993920694821,0.425082897322372,"n.s."
"D-Glyceraldehyde 3-phosphate","D-Glyceraldehyde 3-phosphate",0.296359966683881,-2.06860436308854,"n.s."
"Shikimic acid","Shikimic acid",0.221997583457804,2.59887920996404,"n.s."
"Citrulline","Citrulline",0.258047719220587,2.01249715128064,"n.s."
"Hippuric acid","Hippuric acid",0.0128879179244448,5.8479324750907,"positive"
"myo-Inositol","myo-Inositol",0.0015203796533013,4.36398760621394,"positive"
"lactose","lactose",0.220482210657402,3.90184190318463,"n.s."
"4-Hydroxyphenylpyruvic acid","4-Hydroxyphenylpyruvic acid",0.735623849823034,-0.798639810816646,"n.s."
"4-Pyridoxic acid","4-Pyridoxic acid",0.130538247599956,3.66122390642556,"n.s."
"2-Phosphoglyceric acid","2-Phosphoglyceric acid",0.779256340709246,-0.611376656977908,"n.s."
"Azelaic acid","Azelaic acid",0.249551189692192,3.41269337908291,"n.s."
"4,6-Dihydroxy-2-quinolinecarboxylic acid","4,6-Dihydroxy-2-quinolinecarboxylic acid",0.102153287448451,4.62977881951832,"n.s."
"D-Glucuronic acid","D-Glucuronic acid",0.319807739409867,3.19200058973366,"n.s."
"Indoxyl sulfate","Indoxyl sulfate",0.0206842587521118,5.9968665401604,"positive"
"Pantothenic acid","Pantothenic acid",0.055913921541529,5.58305575791623,"n.s."
"L-Cystathionine","L-Cystathionine",0.0049961167215616,5.47398953964724,"positive"
"3-Nitrotyrosine","3-Nitrotyrosine",0.421441844504569,2.47216170091756,"n.s."
"Myristic acid","Myristic acid",0.382733266689326,2.29041472861292,"n.s."
"D-Ribose 5-phosphate","D-Ribose 5-phosphate",0.200626527441972,2.40855672395212,"n.s."
"Biotin","Biotin",0.517306386964083,-1.45647287042191,"n.s."
"Fructose 6-phosphate","Fructose 6-phosphate",0.513844443529356,1.2542822647563,"n.s."
"Glucose 6-phosphate","Glucose 6-phosphate",0.458477188259661,1.48717627585566,"n.s."
"Heptadecanoic acid","Heptadecanoic acid",0.776764163475311,0.825174453947827,"n.s."
"Linoelaidic acid","Linoelaidic acid",0.908483335238777,0.278857148489915,"n.s."
"Alpha-Linolenic acid","Alpha-Linolenic acid",0.311706013904518,2.75328175060408,"n.s."
"Xanthosine","Xanthosine",0.583803010642991,1.14429503112378,"n.s."
"Argininosuccinic acid","Argininosuccinic acid",0.444438116914584,1.4923362050717,"n.s."
"13-HODE","13-HODE",0.109093500530718,4.57944220075812,"n.s."
"Arachidonic acid","Arachidonic acid",0.0783690054901068,5.23332135950599,"n.s."
"dCMP","dCMP",0.522890623808616,0.98384251040947,"n.s."
"Glutathione","Glutathione",0.51676388967727,-0.742808837218573,"n.s."
"N-Acetylneuraminic acid","N-Acetylneuraminic acid",0.0362207274715042,5.95215414310692,"positive"
"Tetranor 12-HETE","Tetranor 12-HETE",0.0427442685423468,5.73619906612298,"positive"
"5-Thymidylic acid","5-Thymidylic acid",0.362620617744773,2.24228298097951,"n.s."
"Cytidine monophosphate","Cytidine monophosphate",0.873680153204592,0.236840970471809,"n.s."
"Alpha-D-Glucose 1,6-bisphosphate","Alpha-D-Glucose 1,6-bisphosphate",0.317488739729512,2.40895196308458,"n.s."
"Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate",0.491203910849589,1.63265776452266,"n.s."
"Alpha-Lactose","Alpha-Lactose",0.122679643283216,3.53285764539233,"n.s."
"Sucrose","Sucrose",0.184848916971246,3.00795332071462,"n.s."
"Cyclic GMP","Cyclic GMP",0.332598788873744,1.70428423994267,"n.s."
"Gibberellin A3","Gibberellin A3",0.165324299386279,3.30400684034077,"n.s."
"Adenosine monophosphate","Adenosine monophosphate",0.554186551674896,0.77114700392746,"n.s."
"Inosinic acid","Inosinic acid",0.254041475710588,1.74374881627497,"n.s."
"Prostaglandin E2","Prostaglandin E2",0.131563842492199,4.53415053163196,"n.s."
"Orotidylic acid","Orotidylic acid",0.617868801545515,0.924918319420027,"n.s."
"S-Adenosylhomocysteine","S-Adenosylhomocysteine",0.0454799643849138,6.08698745571826,"positive"
"Uridine 5'-diphosphate","Uridine 5'-diphosphate",0.629316605908347,0.704910029103043,"n.s."
"ADP","ADP",0.469528126405545,1.2426669006982,"n.s."
"Folic acid","Folic acid",0.94659829050867,0.0750884975103257,"n.s."
"Guanosine diphosphate","Guanosine diphosphate",0.0741340416717874,3.28684009088713,"n.s."
"5-Methyltetrahydrofolic acid","5-Methyltetrahydrofolic acid",0.222072470122729,1.19803862232708,"n.s."
"Glycocholic acid","Glycocholic acid",0.327964780396856,2.57569737861636,"n.s."
"Adenosine triphosphate","Adenosine triphosphate",0.548727040815144,0.913203000684207,"n.s."
"Taurocholic acid","Taurocholic acid",0.444413249536953,1.59758676630287,"n.s."
"Oxidized glutathione","Oxidized glutathione",0.218008998997844,1.54305505336826,"n.s."
"NAD","NAD",0.929932389713362,0.0820381480283159,"n.s."
"L-Lactic acid","L-Lactic acid",0.0735947993325122,2.67203891297385,"n.s."
"Dimethyl fumarate","Dimethyl fumarate",0.503503616104971,1.82570503855916,"n.s."
"Citraconic acid","Citraconic acid",0.614263512104069,1.38969937908814,"n.s."
"Allantoin","Allantoin",0.408634773872958,2.58349629023791,"n.s."
"cis-Aconitic acid","cis-Aconitic acid",0.455345897405577,1.97950457969331,"n.s."
"Citric acid","Citric acid",0.175024439529587,4.43570507953828,"n.s."
"Chenodeoxycholic acid glycine conjugate","Chenodeoxycholic acid glycine conjugate",0.810409747198601,0.611874625516823,"n.s."
"Malondialdehyde","Malondialdehyde",0.555981015145092,1.59248001233315,"n.s."
"Phenylmethyl 2-methylpropanoate","Phenylmethyl 2-methylpropanoate",0.977141233222015,-0.0500320520930136,"n.s."
"Glyceric acid","Glyceric acid",0.363621137653853,2.87898886946974,"n.s."
"Alpha-ketoisovaleric acid","Alpha-ketoisovaleric acid",0.962997128528843,0.110660226610771,"n.s."
"Methylsuccinic acid","Methylsuccinic acid",0.0664740908286849,5.80519744029568,"n.s."
"Oxalacetic acid","Oxalacetic acid",0.13001943555243,4.64579851775854,"n.s."
"Oxoglutaric acid","Oxoglutaric acid",0.277632607885117,2.62755319767946,"n.s."
"2-Hydroxyglutarate","2-Hydroxyglutarate",0.21941414716997,2.85686108171008,"n.s."
"D-Fructose","D-Fructose",0.0758169381701302,5.79124850581854,"n.s."
"Glucose 1-phosphate","Glucose 1-phosphate",0.026176058908375,4.16718734917778,"positive"
"Geranyl-PP","Geranyl-PP",0.44917403140389,1.2809925523332,"n.s."
"Adenylsuccinic acid","Adenylsuccinic acid",0.154562209847334,4.17653198317447,"n.s."
"Glycerol 3-phosphate","Glycerol 3-phosphate",0.2605231176134,2.26407197925398,"n.s."
"Glyceraldehyde","Glyceraldehyde",0.0829999884766034,3.78360966134095,"n.s."
"Pyruvic acid","Pyruvic acid",0.00272998285361273,5.53726451962978,"positive"
"Methyl (R)-3-methyl-2-oxopentanoate","Methyl (R)-3-methyl-2-oxopentanoate",0.833722714729275,0.388051099202572,"n.s."
"Isocitric acid","Isocitric acid",0.350694421150704,1.50180094046169,"n.s."
"Homovanillic acid","Homovanillic acid",0.0774968350948372,4.67704511776046,"n.s."
"Trimethylamine","Trimethylamine",0.302726613053062,1.25718084021836,"n.s."
"Glycine","Glycine",0.262293673787663,1.69907949392591,"n.s."
"Trimethylamine N-oxide","Trimethylamine N-oxide",0.193341691268654,2.31419488749465,"n.s."
"Sarcosine","Sarcosine",0.127558395023383,1.84733886663259,"n.s."
"L-Alanine","L-Alanine",0.366981827957369,1.64410665837662,"n.s."
"Cadaverine","Cadaverine",0.170629389258779,2.3695461942919,"n.s."
"2-Aminoisobutyric acid","2-Aminoisobutyric acid",0.664349322058459,0.661858334419078,"n.s."
"Choline","Choline",0.235473744733776,2.10590045639813,"n.s."
"Dimethylglycine","Dimethylglycine",0.181057981065692,2.37500772206763,"n.s."
"L-Serine","L-Serine",0.456265003279992,1.36966633204666,"n.s."
"Cytosine","Cytosine",0.0619943573975719,1.23009071292757,"n.s."
"Creatinine","Creatinine",0.346028450744634,1.69670117372,"n.s."
"L-Proline","L-Proline",0.20863598695149,-1.61479999247022,"n.s."
"5-Aminopentanoic acid","5-Aminopentanoic acid",0.437232970904061,1.36220592042924,"n.s."
"Betaine","Betaine",0.812983733013043,-0.343282896448231,"n.s."
"L-Valine","L-Valine",0.193784892241853,1.69046023795735,"n.s."
"Indole","Indole",0.910979152873874,-0.082470735753534,"n.s."
"L-Homoserine","L-Homoserine",0.416472346350189,1.51384330383776,"n.s."
"L-Threonine","L-Threonine",0.479273355466707,1.32316602694392,"n.s."
"L-Cysteine","L-Cysteine",0.0135872871312686,1.84754211106118,"positive"
"Niacinamide","Niacinamide",0.397375590907427,1.31760533406939,"n.s."
"Taurine","Taurine",0.314783563365615,1.56038975805374,"n.s."
"Pyroglutamic acid","Pyroglutamic acid",0.855395874445103,0.332766158529466,"n.s."
"L-Pipecolic acid","L-Pipecolic acid",0.359035053489457,1.54138995189431,"n.s."
"N-Acetylputrescine","N-Acetylputrescine",0.471423178409608,1.17124030238046,"n.s."
"Creatine","Creatine",0.71318742283991,0.390892696127766,"n.s."
"4-Hydroxyproline","4-Hydroxyproline",0.615264843912513,0.87095608496833,"n.s."
"5-Aminolevulinic acid","5-Aminolevulinic acid",0.332019316436896,1.53076298557085,"n.s."
"L-Isoleucine","L-Isoleucine",0.370998098682643,1.58199034658188,"n.s."
"L-Leucine","L-Leucine",0.255592320080412,1.78944479256677,"n.s."
"Ornithine","Ornithine",0.255187014720279,2.04713437230996,"n.s."
"L-Asparagine","L-Asparagine",0.318868379220055,1.80368435332952,"n.s."
"Homocysteine","Homocysteine",0.196039844964108,1.80261114310257,"n.s."
"N-Methylnicotinamide","N-Methylnicotinamide",0.510018567751281,0.922636384632236,"n.s."
"Tyramine","Tyramine",0.00768798217143106,2.75454651320513,"positive"
"4-Acetamidobutanoic acid","4-Acetamidobutanoic acid",0.197250516162191,2.22768589685244,"n.s."
"Spermidine","Spermidine",0.0414615958395586,1.45385973702364,"positive"
"L-Glutamine","L-Glutamine",0.553379084776472,-0.828901680451655,"n.s."
"L-Lysine","L-Lysine",0.320702131742295,1.79372520371032,"n.s."
"DL-Glutamate","DL-Glutamate",0.418501967260095,1.45121124463838,"n.s."
"L-Methionine","L-Methionine",0.407709600937994,1.3724046169112,"n.s."
"Cysteamine","Cysteamine",0.950440211704001,-0.0674747418236919,"n.s."
"L-Histidine","L-Histidine",0.485120970905408,0.947229428927004,"n.s."
"Tryptamine","Tryptamine",0.767089661813251,0.274564329800935,"n.s."
"L-Carnitine","L-Carnitine",0.369162564265313,1.64914408125384,"n.s."
"L-Phenylalanine","L-Phenylalanine",0.29104212500653,1.92209692215775,"n.s."
"1-Methyl-L-histidine","1-Methyl-L-histidine",0.826376776593223,0.314999364016813,"n.s."
"L-Arginine","L-Arginine",0.258966031677973,1.72179662082849,"n.s."
"Indoleacetic acid","Indoleacetic acid",0.53443678965928,0.882968603147081,"n.s."
"Glucosamine","Glucosamine",0.0367553973116531,1.99509459014232,"positive"
"L-Tyrosine","L-Tyrosine",0.965430197614809,0.0691272533090041,"n.s."
"N8-Acetylspermidine","N8-Acetylspermidine",0.272830722586449,1.99211548653327,"n.s."
"L-Acetylcarnitine","L-Acetylcarnitine",0.565169570242645,0.943564468435797,"n.s."
"L-Tryptophan","L-Tryptophan",0.443861402199117,1.39085695687609,"n.s."
"Indolelactic acid","Indolelactic acid",0.29115250278127,1.78407771684959,"n.s."
"L-Kynurenine","L-Kynurenine",0.284430870220764,1.95414184912746,"n.s."
"3-hydroxy-L-kynurenin","3-hydroxy-L-kynurenin",0.830120071125978,-0.170601143320191,"n.s."
"Melatonin","Melatonin",0.215812618561461,1.080836366434,"n.s."
"L-Cystine","L-Cystine",0.417601774264251,1.44987916380323,"n.s."
"Cytidine","Cytidine",0.607499054221978,0.911809745074121,"n.s."
"N1-Acetylspermine","N1-Acetylspermine",0.156617701535471,1.2573913177241,"n.s."
"Uridine","Uridine",0.476480014022418,1.35593728324255,"n.s."
"Adenosine","Adenosine",0.794847833998414,0.280244002278824,"n.s."
"Inosine","Inosine",0.517654731843787,0.797823918377542,"n.s."
"2'-O-Methyladenosine","2'-O-Methyladenosine",0.960685503391576,-0.04996426620612,"n.s."
"Guanosine monophosphate","Guanosine monophosphate",0.768043697656994,0.19511361308334,"n.s."
"S-Adenosylmethionine","S-Adenosylmethionine",0.0317212894877177,2.2784725535381,"positive"
"Alpha-Tocopherol","Alpha-Tocopherol",0.588592404235867,0.920110872874809,"n.s."
"Bilirubin","Bilirubin",0.554944686148796,-0.517551685443413,"n.s."
"Acetamidopropanal","Acetamidopropanal",0.0412435517518773,3.57034215295628,"positive"
"1-methyladenosine","1-methyladenosine",0.374989946679222,1.70406554882395,"n.s."
"Serotonin","Serotonin",0.408225778866804,0.967338109299165,"n.s."
"Xanthurenic acid","Xanthurenic acid",0.261695904309848,1.74038775364256,"n.s."
"4-Trimethylammoniobutanoic acid","4-Trimethylammoniobutanoic acid",0.65761075449768,-0.693405813702024,"n.s."
"Epinephrine","Epinephrine",0.487986158309944,1.00058709137843,"n.s."
"Indolepyruvate","Indolepyruvate",0.193812354947822,0.887577770321064,"n.s."
"1-Methylguanosine","1-Methylguanosine",0.413374943873035,1.28172357105072,"n.s."
"Normetanephrine","Normetanephrine",0.214952381318134,0.874880373535829,"n.s."
"Carnosine","Carnosine",0.0529179505643254,1.75922225248934,"n.s."
