"","metabolic","p.value","log10.fc"
"56","13-HODE",1,0.0249932625128205
"57","Arachidonic acid",0.665720369645644,0.0497714588564103
"58","dCMP",0.598862936487875,0.0331247309179487
"59","Glutathione",0.778717423445784,0.0832880155487179
"60","N-Acetylneuraminic acid",0.269793541462985,-0.0588439109769231
"61","Tetranor 12-HETE",0.993499406844079,-0.00423128622564103
"62","5-Thymidylic acid",0.488040198764025,0.1447295018
"63","Cytidine monophosphate",0.616104827008568,-0.112614293233333
"64","Alpha-D-Glucose 1,6-bisphosphate",0.284334958717589,0.129129381725641
"65","Fructose 1,6-bisphosphate",0.0956137841614466,0.276273454538462
"66","Alpha-Lactose",0.156417666158634,0.140586569674359
"67","Sucrose",0.242238316571689,0.137959053902564
"68","Cyclic GMP",0.559716712086831,0.10895834721282
"69","Gibberellin A3",0.584849270135924,-0.0251439543589743
"70","Adenosine monophosphate",0.763012678592014,0.0570189102333333
"71","Inosinic acid",0.133578513683559,-0.275691098505128
"72","Prostaglandin E2",0.222893712597369,0.136423227484615
"73","Orotidylic acid",0.565279195260235,0.0443216323153846
"74","S-Adenosylhomocysteine",0.10243360637486,-0.0759136189358974
"75","Uridine 5'-diphosphate",0.0468206485446832,-0.322490976548718
"76","ADP",0.142389046665276,-0.321434271717949
"77","Folic acid",0.119104486184239,-0.504872982592308
"78","Guanosine diphosphate",0.269793541462985,-0.0866054191051282
"79","5-Methyltetrahydrofolic acid",0.742049648981827,-0.148899320641026
"80","Glycocholic acid",0.77547495359227,0.0439680131076923
"81","Adenosine triphosphate",0.705527985480888,0.0718692183871795
"82","Taurocholic acid",0.584849270135924,-0.088378660851282
"83","Oxidized glutathione",0.661284396168306,-0.143790194307692
"84","NAD",0.193341099843204,-0.462768819717949
"85","L-Lactic acid",0.701661459671321,-0.171715978764103
"86","Dimethyl fumarate",0.0326150212083565,0.269944068125641
"87","Citraconic acid",0.630519256665425,-0.0405533607974359
"88","Allantoin",0.176692696967295,-0.0610022297384615
"89","cis-Aconitic acid",0.156417666158634,0.185089021802564
"90","Citric acid",0.331037842653965,0.0884306791230769
"91","Chenodeoxycholic acid glycine conjugate",0.642166549147721,0.181484615915385
"92","Malondialdehyde",0.182049716153713,0.145086666851282
"93","Phenylmethyl 2-methylpropanoate",0.618961586610955,-0.0842609131282052
"94","Glyceric acid",0.0145499390001349,0.149112212512821
"95","Alpha-ketoisovaleric acid",0.562596766864705,0.10459007285641
"96","Methylsuccinic acid",0.0830495677829216,-0.0672779036871795
"97","Oxalacetic acid",0.630519256665425,0.0657018441897436
"98","Oxoglutaric acid",0.182049716153713,0.186987820766667
"99","2-Hydroxyglutarate",0.198829881346501,0.0824661617102564
"100","D-Fructose",0.262714359668447,0.088015778425641
"101","Glucose 1-phosphate",0.77547495359227,-0.0957848432153846
"102","Geranyl-PP",0.151631352760446,-0.12860957155641
"103","Adenylsuccinic acid",0.0192441828297489,0.205864933269231
"104","Glycerol 3-phosphate",0.0956137841614466,0.142964439358974
"105","Glyceraldehyde",0.146955571904375,0.170982670092308
"106","Pyruvic acid",0.562596766864705,-0.0411729846435898
"107","Methyl (R)-3-methyl-2-oxopentanoate",0.477834707773516,-0.107421862428205
"108","Isocitric acid",0.146955571904375,-0.551076133489744
"109","Homovanillic acid",0.551623408351068,0.139255411676923
"110","Trimethylamine",0.419079993022408,-0.307596219461538
"111","Glycine",0.229217196952411,0.0918381808717949
"112","Trimethylamine N-oxide",0.993499406844079,-0.16804451561282
"113","Sarcosine",0.914956344602985,-0.0291941025641026
"114","L-Alanine",0.677621926859314,-0.178986504912821
"115","Cadaverine",0.0145499390001349,-0.373611835082051
"116","2-Aminoisobutyric acid",0.851341220512467,-0.0460853982487179
"117","Choline",0.701661459671321,-0.185889009282051
"118","Dimethylglycine",0.419079993022408,-0.184134962225641
"119","L-Serine",0.248937205241634,-0.122926414007692
"120","Cytosine",0.546231765340081,-0.700439811435897
"121","Creatinine",0.0138728225685318,-0.241002241205128
"122","L-Proline",0.210617364631037,-0.110392913017949
"123","5-Aminopentanoic acid",0.508793230682879,-0.110064836497436
"124","Betaine",0.457772809384687,-0.265724603533333
"125","L-Valine",0.0490691102797536,-0.132914696887179
"126","Indole",0.353385492214657,0.219765930205128
"127","L-Homoserine",0.65390107183771,-0.183848661005128
"128","L-Threonine",0.618961586610955,-0.180041604666667
"129","L-Cysteine",0.00211044794663214,-1.23250651725641
"130","Niacinamide",0.400466154282899,-0.263376793953846
"131","Taurine",0.713794112529704,-0.0616056555384615
"132","Pyroglutamic acid",0.954519609337383,-0.136816772794872
"133","L-Pipecolic acid",0.242238316571689,-0.229882277520513
"134","N-Acetylputrescine",0.665720369645644,-0.269198237179487
"135","Creatine",0.0418116675640729,-0.0304325749692308
"136","4-Hydroxyproline",0.400466154282899,-0.134105688874359
"137","5-Aminolevulinic acid",0.889835356879428,-0.230502414461538
"138","L-Isoleucine",0.00449311030220316,-0.29916780518718
"139","L-Leucine",0.0230507558510539,-0.148953139948718
"140","Ornithine",0.0299557494615712,-0.303612935864103
"141","L-Asparagine",0.477834707773516,-0.127160525258974
"142","Homocysteine",0.0340174704677393,-0.270776625933333
"143","N-Methylnicotinamide",0.171452110433024,-0.37899418121282
"144","Tyramine",0.462599931521819,0.195342377153846
"145","4-Acetamidobutanoic acid",0.0401439821341093,-0.240457025058974
"146","Spermidine",0.440495740163807,-0.717284024128205
"147","L-Glutamine",0.0860600345518428,0.163422809246154
"148","L-Lysine",0.176692696967295,-0.22978263024359
"149","DL-Glutamate",0.0312615521825562,-0.305805720007692
"150","L-Methionine",0.0530702265017201,-0.372374822346154
"151","Cysteamine",0.548670349803495,0.0334541427794872
"152","L-Histidine",0.864138530526435,-0.26560588225641
"153","Tryptamine",0.559367408008076,-0.451551990358974
"154","L-Carnitine",0.33927098262562,-0.18804208885641
"155","L-Phenylalanine",0.373480465957376,-0.194291179782051
"156","1-Methyl-L-histidine",0.419079993022408,-0.320383815635897
"157","L-Arginine",0.284334958717589,-0.143109571161538
"158","Indoleacetic acid",0.382350071949652,-0.375416294789744
"159","Glucosamine",0.260145792185001,-0.433694872692308
"160","L-Tyrosine",0.121148652754343,-0.0860356963076923
"161","N8-Acetylspermidine",0.889835356879428,-0.124044515015385
"162","L-Acetylcarnitine",0.902728315090688,-0.0137523740589744
"163","L-Tryptophan",0.519337733692015,-0.191292988269231
"164","Indolelactic acid",0.00179034354193019,-0.428729579107692
"165","L-Kynurenine",0.00937141757963916,-0.265419177223077
"166","3-hydroxy-L-kynurenin",0.443571267458803,0.29854093325641
"167","Melatonin",0.875626666693538,-0.278160647923077
"168","L-Cystine",0.630519256665425,-0.169751745758974
"169","Cytidine",0.277000305019397,-0.298435709641026
"170","N1-Acetylspermine",0.298290683179646,0.425938426923077
"171","Uridine",0.428571514326331,-0.109600309758974
"172","Adenosine",0.0890046635674951,-0.705333726384615
"173","Inosine",0.72599838272949,0.0931745382384616
"174","2'-O-Methyladenosine",0.993444809765924,-0.1351464553
"175","Guanosine monophosphate",0.062102717331652,-0.889668705923077
"176","S-Adenosylmethionine",0.927990132177663,-0.149265194307692
"177","Alpha-Tocopherol",0.151631352760446,0.100954922079487
"178","Bilirubin",0.0168285866827818,1.07495914011538
"179","Acetamidopropanal",0.146955571904375,-0.195151353158974
"180","1-methyladenosine",0.331037842653965,-0.185965134166667
"181","Serotonin",0.121148652754343,-0.442110843846154
"182","Xanthurenic acid",0.00402410863834237,-0.461134156189744
"183","4-Trimethylammoniobutanoic acid",0.409711246650229,-0.132144505597436
"184","Epinephrine",0.813192490704611,-0.249572909533333
"185","Indolepyruvate",0.590512654288323,-0.0754125390205128
"186","1-Methylguanosine",0.0667065446033282,-0.201766569358974
"187","Normetanephrine",0.282059418608675,0.417221265461538
"188","Carnosine",0.581843234826567,-0.342066071989744
