"","ID","p_age_lm","beta_age_lm","age_lm"
"L-Cystathionine","L-Cystathionine",0.576436348612138,0.612403615917324,"n.s."
"3-Nitrotyrosine","3-Nitrotyrosine",0.211950106055103,2.09902328701854,"n.s."
"Myristic acid","Myristic acid",0.0663250523571147,2.90004517858277,"n.s."
"D-Ribose 5-phosphate","D-Ribose 5-phosphate",0.898777021731603,-0.190613126822439,"n.s."
"Biotin","Biotin",0.593186496603021,-0.766621683995852,"n.s."
"Fructose 6-phosphate","Fructose 6-phosphate",0.658408711654054,-0.305187594352071,"n.s."
"Glucose 6-phosphate","Glucose 6-phosphate",0.56739415772296,-0.501302983076315,"n.s."
"Heptadecanoic acid","Heptadecanoic acid",0.192075833674976,2.2148549820686,"n.s."
"Linoelaidic acid","Linoelaidic acid",0.235936288891706,1.93793972469124,"n.s."
"Alpha-Linolenic acid","Alpha-Linolenic acid",0.180007150828021,2.19072494423498,"n.s."
"Xanthosine","Xanthosine",0.0670788423088674,2.53231840436087,"n.s."
"Argininosuccinic acid","Argininosuccinic acid",0.885804463010011,0.218217993452349,"n.s."
"13-HODE","13-HODE",0.242005858958119,1.82261370896954,"n.s."
"Arachidonic acid","Arachidonic acid",0.149664430192495,2.26917377730949,"n.s."
"dCMP","dCMP",0.386574416258367,-0.703903633785949,"n.s."
"Glutathione","Glutathione",0.0610264662941812,-1.27204945212708,"n.s."
"N-Acetylneuraminic acid","N-Acetylneuraminic acid",0.12092297244467,2.74622386154636,"n.s."
"Tetranor 12-HETE","Tetranor 12-HETE",0.466254214860684,0.905521669977986,"n.s."
"5-Thymidylic acid","5-Thymidylic acid",0.620989097018937,0.551111906564307,"n.s."
"Cytidine monophosphate","Cytidine monophosphate",0.747264933782651,0.272630026579894,"n.s."
"Alpha-D-Glucose 1,6-bisphosphate","Alpha-D-Glucose 1,6-bisphosphate",0.625009253400593,0.736549941758375,"n.s."
"Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate",0.854809866203798,0.257730692697342,"n.s."
"Alpha-Lactose","Alpha-Lactose",0.790900238756739,0.331569825345636,"n.s."
"Sucrose","Sucrose",0.69494996662005,0.495675418898908,"n.s."
"Cyclic GMP","Cyclic GMP",0.954825750882632,0.0454998786849116,"n.s."
"Gibberellin A3","Gibberellin A3",0.444303434490297,0.677426899257501,"n.s."
"Adenosine monophosphate","Adenosine monophosphate",0.305677928106452,-0.971707038487424,"n.s."
"Inosinic acid","Inosinic acid",0.40985859929358,1.06026794286609,"n.s."
"Prostaglandin E2","Prostaglandin E2",0.264295368496293,0.880631254191559,"n.s."
"Orotidylic acid","Orotidylic acid",0.293549432751989,-0.895890554751039,"n.s."
"S-Adenosylhomocysteine","S-Adenosylhomocysteine",0.273713467432996,2.04383135705285,"n.s."
"Uridine 5'-diphosphate","Uridine 5'-diphosphate",0.992853653595664,0.00693196878189005,"n.s."
"ADP","ADP",0.874835764709261,-0.264450343292448,"n.s."
"Folic acid","Folic acid",0.667695595661083,0.278609107085335,"n.s."
"Guanosine diphosphate","Guanosine diphosphate",0.18137688919679,2.03671391970906,"n.s."
"5-Methyltetrahydrofolic acid","5-Methyltetrahydrofolic acid",0.351058004973447,0.591438399798603,"n.s."
"Glycocholic acid","Glycocholic acid",0.477874831432692,1.12605637304991,"n.s."
"Adenosine triphosphate","Adenosine triphosphate",0.959489128959234,0.0395505029448836,"n.s."
"Taurocholic acid","Taurocholic acid",0.648194894183165,0.507384808607504,"n.s."
"Oxidized glutathione","Oxidized glutathione",0.429077195329136,0.505117302026075,"n.s."
"NAD","NAD",0.613052340066244,0.405007155626502,"n.s."
"L-Lactic acid","L-Lactic acid",0.364790239156599,1.724866391891,"n.s."
"Dimethyl fumarate","Dimethyl fumarate",0.516201387293105,1.26037947737311,"n.s."
"Citraconic acid","Citraconic acid",0.464943304691014,1.34561621484717,"n.s."
"Allantoin","Allantoin",0.320900975047756,1.70749106729145,"n.s."
"cis-Aconitic acid","cis-Aconitic acid",0.388065909782907,1.56102769414431,"n.s."
"Citric acid","Citric acid",0.889962051009531,-0.226891570733112,"n.s."
"Chenodeoxycholic acid glycine conjugate","Chenodeoxycholic acid glycine conjugate",0.170958940612075,1.17343929326294,"n.s."
"Malondialdehyde","Malondialdehyde",0.71887660861849,-0.381838118161544,"n.s."
"Phenylmethyl 2-methylpropanoate","Phenylmethyl 2-methylpropanoate",0.815223131347367,0.339949161738058,"n.s."
"Glyceric acid","Glyceric acid",0.985824959611414,0.0274169583106558,"n.s."
"Alpha-ketoisovaleric acid","Alpha-ketoisovaleric acid",0.758942285918045,0.437289250858197,"n.s."
"Methylsuccinic acid","Methylsuccinic acid",0.197120663368871,2.39037604944377,"n.s."
"Oxalacetic acid","Oxalacetic acid",0.197997755862832,2.09030612386179,"n.s."
"Oxoglutaric acid","Oxoglutaric acid",0.0863873817565185,2.46646330450332,"n.s."
"2-Hydroxyglutarate","2-Hydroxyglutarate",0.311837370553839,2.0166139336609,"n.s."
"D-Fructose","D-Fructose",0.270275816674042,1.56283067997902,"n.s."
"Glucose 1-phosphate","Glucose 1-phosphate",0.170357901252357,1.57545389209461,"n.s."
"Geranyl-PP","Geranyl-PP",0.988518768300971,-0.027422169338178,"n.s."
"Adenylsuccinic acid","Adenylsuccinic acid",0.10828169169579,2.58460671418153,"n.s."
"Glycerol 3-phosphate","Glycerol 3-phosphate",0.30668631822279,1.27389081793428,"n.s."
"Glyceraldehyde","Glyceraldehyde",0.882683655199197,0.205949683771587,"n.s."
"Pyruvic acid","Pyruvic acid",0.809171179526643,0.288312431370102,"n.s."
"Methyl (R)-3-methyl-2-oxopentanoate","Methyl (R)-3-methyl-2-oxopentanoate",0.629464618891033,0.879114068435274,"n.s."
"Isocitric acid","Isocitric acid",0.345475125499898,0.807327433160068,"n.s."
"Homovanillic acid","Homovanillic acid",0.723848351462313,0.460729729400044,"n.s."
"Trimethylamine","Trimethylamine",0.165769961449485,0.970304913508957,"n.s."
"Glycine","Glycine",0.917050848103187,0.095554738214496,"n.s."
"Trimethylamine N-oxide","Trimethylamine N-oxide",0.076757420267286,1.6605498113144,"n.s."
"Sarcosine","Sarcosine",0.267407368437838,0.874364713386691,"n.s."
"L-Alanine","L-Alanine",0.263742858509234,1.17717128960701,"n.s."
"Cadaverine","Cadaverine",0.102467868011306,1.59873221215682,"n.s."
"2-Aminoisobutyric acid","2-Aminoisobutyric acid",0.349442808465333,1.05818864637103,"n.s."
"Choline","Choline",0.20964535560573,1.30368044797113,"n.s."
"Dimethylglycine","Dimethylglycine",0.167187630227129,1.41944049373674,"n.s."
"L-Serine","L-Serine",0.339428010466982,1.01426058539152,"n.s."
"Cytosine","Cytosine",0.0847546360666361,0.745402428298105,"n.s."
"Creatinine","Creatinine",0.477536556052066,0.606983280450551,"n.s."
"L-Proline","L-Proline",0.940057048890566,0.0699693377506509,"n.s."
"5-Aminopentanoic acid","5-Aminopentanoic acid",0.0991619121364756,1.35220480817777,"n.s."
"Betaine","Betaine",0.231823068137501,1.07735712398272,"n.s."
"L-Valine","L-Valine",0.533253802566123,0.430066088864655,"n.s."
"Indole","Indole",0.448851493151634,0.391971774643523,"n.s."
"L-Homoserine","L-Homoserine",0.316525475280977,1.08609044031201,"n.s."
"L-Threonine","L-Threonine",0.310366947806601,1.09744980577803,"n.s."
"L-Cysteine","L-Cysteine",0.973229923554672,0.0154745602548499,"n.s."
"Niacinamide","Niacinamide",0.267373268423402,1.15518133142254,"n.s."
"Taurine","Taurine",0.247839532537268,1.18928315237987,"n.s."
"Pyroglutamic acid","Pyroglutamic acid",0.462345784415374,0.631828867091859,"n.s."
"L-Pipecolic acid","L-Pipecolic acid",0.171449498494182,1.30912356651344,"n.s."
"N-Acetylputrescine","N-Acetylputrescine",0.365786092263826,0.831705500729024,"n.s."
"Creatine","Creatine",0.161619323199596,1.34460809602037,"n.s."
"4-Hydroxyproline","4-Hydroxyproline",0.329164598796282,0.6485362629961,"n.s."
"5-Aminolevulinic acid","5-Aminolevulinic acid",0.574550509354637,0.540525227018381,"n.s."
"L-Isoleucine","L-Isoleucine",0.236385039280697,1.24560940257326,"n.s."
"L-Leucine","L-Leucine",0.253350141672567,0.728896565581352,"n.s."
"Ornithine","Ornithine",0.148209160904795,1.49810964869713,"n.s."
"L-Asparagine","L-Asparagine",0.309464011745389,1.10835389086403,"n.s."
"Homocysteine","Homocysteine",0.0707570631347969,1.72043993459116,"n.s."
"N-Methylnicotinamide","N-Methylnicotinamide",0.254931271998093,0.755159386118917,"n.s."
"Tyramine","Tyramine",0.0926250469444666,1.20309349382122,"n.s."
"4-Acetamidobutanoic acid","4-Acetamidobutanoic acid",0.191643651237505,1.43950938398793,"n.s."
"Spermidine","Spermidine",0.285808853498087,0.48273288901564,"n.s."
"L-Glutamine","L-Glutamine",0.269208250728308,1.22670053741275,"n.s."
"L-Lysine","L-Lysine",0.44992787064901,0.628828683605078,"n.s."
"DL-Glutamate","DL-Glutamate",0.131147244292252,1.56938089406491,"n.s."
"L-Methionine","L-Methionine",0.274106038049395,1.15857182463914,"n.s."
"Cysteamine","Cysteamine",0.481859452531924,0.421891123235031,"n.s."
"L-Histidine","L-Histidine",0.904392763010357,0.107535500209762,"n.s."
"Tryptamine","Tryptamine",0.0356005611647586,1.07504551317688,"positive"
"L-Carnitine","L-Carnitine",0.186867429931912,1.39253510840368,"n.s."
"L-Phenylalanine","L-Phenylalanine",0.244557381225177,1.22982983341492,"n.s."
"1-Methyl-L-histidine","1-Methyl-L-histidine",0.209292306899561,1.17488408460451,"n.s."
"L-Arginine","L-Arginine",0.238473854925709,1.22044918336712,"n.s."
"Indoleacetic acid","Indoleacetic acid",0.188736961378694,1.05540373357555,"n.s."
"Glucosamine","Glucosamine",0.904386471838931,0.0799837051540607,"n.s."
"L-Tyrosine","L-Tyrosine",0.230224629472065,1.25386636513534,"n.s."
"N8-Acetylspermidine","N8-Acetylspermidine",0.317530949147099,0.960318259097248,"n.s."
"L-Acetylcarnitine","L-Acetylcarnitine",0.668641858478848,0.382235076640543,"n.s."
"L-Tryptophan","L-Tryptophan",0.351923983887731,0.979201437539966,"n.s."
"Indolelactic acid","Indolelactic acid",0.0919706701734503,1.71872819630852,"n.s."
"L-Kynurenine","L-Kynurenine",0.158677329750394,1.43380333456364,"n.s."
"3-hydroxy-L-kynurenin","3-hydroxy-L-kynurenin",0.0595980408751007,-1.0494234040101,"n.s."
"Melatonin","Melatonin",0.939692376749911,-0.0411227260198321,"n.s."
"L-Cystine","L-Cystine",0.68814202519063,0.345614699300067,"n.s."
"Cytidine","Cytidine",0.0684571133236245,1.68689615047731,"n.s."
"N1-Acetylspermine","N1-Acetylspermine",0.195556661823499,-0.715570893691633,"n.s."
"Uridine","Uridine",0.326402744927918,0.983642668287791,"n.s."
"Adenosine","Adenosine",0.125393062103924,0.780511550912116,"n.s."
"Inosine","Inosine",0.107993879788606,1.27526925139242,"n.s."
"2'-O-Methyladenosine","2'-O-Methyladenosine",0.484418418253039,0.433873670766781,"n.s."
"Guanosine monophosphate","Guanosine monophosphate",0.525850668935447,0.264545966338086,"n.s."
"S-Adenosylmethionine","S-Adenosylmethionine",0.157789594415203,0.998856893608919,"n.s."
"Alpha-Tocopherol","Alpha-Tocopherol",0.189882470213449,1.33263082889703,"n.s."
"Bilirubin","Bilirubin",0.484826627174899,0.662014928333523,"n.s."
"Acetamidopropanal","Acetamidopropanal",0.429285929714485,0.839181894407075,"n.s."
"1-methyladenosine","1-methyladenosine",0.589616137413735,-0.294718044432695,"n.s."
"Serotonin","Serotonin",0.65478548835975,0.412617816108913,"n.s."
"Xanthurenic acid","Xanthurenic acid",0.339065292215277,0.908762343435497,"n.s."
"4-Trimethylammoniobutanoic acid","4-Trimethylammoniobutanoic acid",0.534932655988688,0.631095790388777,"n.s."
"Epinephrine","Epinephrine",0.206830932253882,1.21088625112649,"n.s."
"Indolepyruvate","Indolepyruvate",0.211614605800462,-0.543895267419468,"n.s."
"1-Methylguanosine","1-Methylguanosine",0.133005307888211,1.29755467802693,"n.s."
"Normetanephrine","Normetanephrine",0.512375978461439,-0.302629560537812,"n.s."
"Carnosine","Carnosine",0.91916165557329,0.0604570577112428,"n.s."
