Metabolite,Estimate-RH,Estimate-RI,Estimate-IH,p_value-RH,p_value-RI,p_value-IH,CI_lower-RH,CI_lower-RI,CI_lower-IH,CI_upper-RH,CI_upper-RI,CI_upper-IH
Benzoic acid,1.350052122,0.493700089,0.865384306,0,2.35E-06,2.94E-09,1.141540081,0.288722478,0.5795869,1.558564163,0.698677699,1.151181711
Methyl-4-methyl-2-oxopentanoate,0.362500053,0.118655584,0.289122035,0.001119676,0.264257193,0.057703263,0.144460891,-0.089663999,-0.009453025,0.580539216,0.326975168,0.587697096
2-Hydroxyisocaproate,0.082707048,-0.061119867,0.17734378,0.115087089,0.306942864,0.011817875,-0.020169326,-0.178375304,0.039274751,0.185583421,0.056135571,0.315412808
Glutarate,0.208056486,-0.098678206,0.3544712,0.006628511,0.291889892,0.000790803,0.057854746,-0.282181128,0.147449512,0.358258225,0.084824716,0.561492889
Malate,-0.344431957,0.098150899,-0.415862771,2.72E-09,0.319440767,2.92E-05,-0.457936718,-0.095073553,-0.610876909,-0.230927196,0.291375352,-0.220848633
Adenine,1.369368757,0.92611897,0.473903953,0,0,1.57E-06,1.229642903,0.782441677,0.280474637,1.509094611,1.069796264,0.66733327
Hypoxanthine,-0.95676673,0.24606783,-1.197479448,2.68E-11,0.235443438,7.59E-08,-1.238201694,-0.160431992,-1.634019674,-0.675331767,0.652567652,-0.760939223
Adipic acid,0.50507244,-0.040067152,0.549804563,7.31E-09,0.735512282,2.66E-05,0.333910967,-0.27254529,0.293292178,0.676233913,0.192410986,0.806316948
Mevalonic acid,0.49114474,-0.604099654,1.103992455,1.67E-09,5.59E-10,0,0.331425385,-0.795023096,0.917684793,0.650864096,-0.413176211,1.290300118
Xanthine,0.222351093,0.315688655,-0.100550044,0.011372149,0.008740396,0.427265022,0.050166401,0.079708789,-0.348796592,0.394535785,0.551668522,0.147696505
Dopamine,-0.278488057,0.190042413,-0.418531388,0.052253357,0.355496548,0.062720712,-0.559696293,-0.213086431,-0.859288118,0.002720178,0.593171257,0.022225341
Orotic acid,0.274865626,0.305586567,-0.09371228,0.020060304,0.029660256,0.559150834,0.043172676,0.030156498,-0.408170491,0.506558577,0.581016636,0.22074593
Aminoadipic acid,-0.430394586,-0.211117046,-0.241063585,1.28E-07,0.024338238,0.047209784,-0.590100568,-0.394880733,-0.479161479,-0.270688605,-0.027353358,-0.002965692
Phenylpyruvate,-0.343961537,0.483578408,-0.78776111,1.80E-06,2.35E-06,1.76E-12,-0.485151021,0.282784529,-1.006690428,-0.202772053,0.684372287,-0.568831791
Phosphoenolpyruvic acid,-0.111019119,0.003653696,-0.089095062,0.190373465,0.970776343,0.445767685,-0.277190642,-0.191823843,-0.318116231,0.055152404,0.199131236,0.139926107
Homogentisic acid,0.162570192,0.061012224,0.174845107,0.024163744,0.513407736,0.065255567,0.021237144,-0.121966362,-0.01104901,0.30390324,0.24399081,0.360739223
Uric acid,-0.00136405,0.030737003,-0.02940433,0.987320608,0.819162332,0.838889073,-0.16959647,-0.232773919,-0.312868781,0.16686837,0.294247926,0.254060121
Dihydroxyacetone phosphate,-0.370980663,-0.262022762,-0.136508508,5.96E-05,0.020505957,0.292698269,-0.55211764,-0.483677345,-0.390786583,-0.189843686,-0.040368179,0.117769568
Glyceraldehyde 3-phosphate,-0.559303605,-0.244220866,-0.371642615,1.85E-12,0.010658443,0.000472329,-0.71490537,-0.431663605,-0.580001947,-0.403701839,-0.056778127,-0.163283284
Shikimic acid,0.354659894,0.063473594,0.305705943,2.07E-06,0.501659789,0.006848435,0.208199573,-0.121690655,0.084124667,0.501120215,0.248637843,0.52728722
Citrulline,0.028382201,-0.071261097,0.115740536,0.754330774,0.493999616,0.326589096,-0.149384059,-0.275471123,-0.115502829,0.206148461,0.132948928,0.3469839
Hippuric acid,0.079460259,-0.056353552,0.143447391,0.296223615,0.509439834,0.147562141,-0.069637177,-0.223780045,-0.050695402,0.228557694,0.111072941,0.337590184
Myo-Inositol,-0.090015435,-0.009403727,-0.069414005,0.334103213,0.944978443,0.626425777,-0.272677753,-0.276469751,-0.348916032,0.092646884,0.257662296,0.210088023
Lactose,0.339403454,-0.070573886,0.485497967,7.27E-08,0.24562585,7.35E-10,0.215854943,-0.18971266,0.330977988,0.462951965,0.048564887,0.640017946
4-Hydroxyphenylpyruvic acid,-0.294189318,0.307423144,-0.538398742,2.73E-05,0.000183037,3.15E-08,-0.431656239,0.146371655,-0.729120139,-0.156722396,0.468474634,-0.347677345
4-Pyridoxic acid,0.000656568,-0.09773437,0.154449169,0.991246526,0.167533198,0.079321827,-0.116640393,-0.236528044,-0.01807699,0.117953529,0.041059304,0.326975328
2-Phosphoglyceric acid,-0.048376734,-0.102756982,0.112762136,0.490437822,0.237064784,0.287222731,-0.185871893,-0.273098077,-0.094911926,0.089118425,0.067584114,0.320436199
Azelaic acid,0.816988698,-0.09871495,0.940146293,0,0.146670561,0,0.70282167,-0.232022298,0.786075292,0.931155725,0.034592398,1.094217294
4-Hydroxy-2-quinolinecarboxylic acid,0.153328406,-0.144595954,0.344572813,0.004631447,0.032614104,5.90E-06,0.047196631,-0.27722784,0.195482923,0.259460182,-0.011964069,0.493662703
Glucuronic acid,0.161809677,0.020357572,0.172455111,0.002195324,0.735277013,0.015882305,0.058249828,-0.097652328,0.032294736,0.265369525,0.138367472,0.312615486
Indoxyl sulfate,-0.009384009,-0.026318521,0.013090166,0.877095,0.722405394,0.877474215,-0.128312682,-0.171525839,-0.153326208,0.109544663,0.118888796,0.179506539
Pantothenic acid,-0.000243802,-0.098307495,0.146280929,0.996338101,0.116164628,0.054373415,-0.104361676,-0.220951145,-0.0027487,0.103874072,0.024336155,0.295310558
Cystathionine,0.186687603,-0.051615629,0.278605715,0.039378634,0.621278352,0.01728604,0.009080462,-0.256390048,0.049220316,0.364294744,0.153158791,0.507991114
3-Nitrotyrosine,0.066207276,-0.134702492,0.237085774,0.234362828,0.030605094,0.001199265,-0.042913793,-0.256809872,0.093621666,0.175328345,-0.012595112,0.380549883
Myristic acid,0.847019523,0.663077869,0.234496409,0,4.22E-15,0.012725493,0.72113995,0.497485514,0.050013688,0.972899096,0.828670223,0.41897913
Ribose 5-phosphate,-0.13290823,0.002130321,-0.124506969,0.039819333,0.984223815,0.301097901,-0.259634162,-0.209029297,-0.36049763,-0.006182298,0.213289939,0.111483692
Biotin,-0.046783512,-0.169326114,0.182671543,0.466573761,0.049720488,0.064994016,-0.172727865,-0.338448519,-0.011354558,0.079160841,-0.00020371,0.376697644
Fructose 6-phosphate,0.163441608,0.018031717,0.175066509,0.19374178,0.864021993,0.291341674,-0.083055928,-0.188337924,-0.150119154,0.409939144,0.224401359,0.500252171
Glucose 6-phosphate,0.457767547,0.05453164,0.432037618,5.39E-06,0.571755139,0.001660681,0.260528783,-0.134483334,0.162789647,0.655006311,0.243546615,0.701285588
Heptadecanoic acid,0.37979229,0.175412272,0.251952788,8.39E-12,0.008712389,0.001260165,0.27083089,0.044344821,0.098823264,0.48875369,0.306479723,0.405082313
Linolenate,0.169297571,0.095189253,0.110464523,0.002740163,0.235929252,0.2323224,0.058522799,-0.062224939,-0.070807133,0.280072342,0.252603445,0.291736179
Alpha-Linolenic acid,0.277561253,0.241979601,0.077026805,1.33E-06,0.000838279,0.362553221,0.165049866,0.099972615,-0.088784021,0.39007264,0.383986588,0.242837632
Xanthosine,0.112041216,0.446121384,-0.260722205,0.17152947,2.00E-05,0.014457481,-0.048567172,0.241117237,-0.469667448,0.272649604,0.65112553,-0.051776961
Argininosuccinic acid,-0.329028679,-0.012835064,-0.278359198,5.98E-06,0.905621652,0.010257816,-0.471481175,-0.22501547,-0.490895556,-0.186576183,0.199345342,-0.06582284
13-HODE,2.500710431,0.58830439,1.925748582,0,1.72E-14,0,2.384467012,0.437966614,1.761702267,2.616953851,0.738642166,2.089794896
Arachidonic acid,1.058945509,0.610089024,0.497869202,0,0,5.88E-10,0.947278075,0.487082341,0.340316594,1.170612943,0.733095707,0.65542181
dCMP,0.545446594,0.01488197,0.531153383,1.58E-06,0.906503397,0.000762358,0.322753098,-0.233467452,0.221876498,0.768140091,0.263231391,0.840430269
Glutathione,-0.565586883,-0.192774606,-0.38477709,8.83E-05,0.302071175,0.064434133,-0.848335389,-0.558896205,-0.792617113,-0.282838376,0.173346994,0.023062933
N-Acetylneuraminic acid,0.573291846,0.409483439,0.206025347,0,4.32E-10,0.005446777,0.466992644,0.280902965,0.060736107,0.679591048,0.538063913,0.351314587
12-HETE,3.25952698,0.804618742,2.43375799,0,0,0,3.117788542,0.672023256,2.254764036,3.401265418,0.937214227,2.612751945
5-Thymidylic acid,0.122618505,-0.173768101,0.347289327,0.169457864,0.058304,0.000895359,-0.052302446,-0.353647966,0.142355521,0.297539455,0.006111764,0.552223132
Cytidine monophosphate,0.328841811,0.046871235,0.271480174,0.004141515,0.742403625,0.104562287,0.104045791,-0.232640322,-0.056344565,0.553637831,0.326382793,0.599304913
"Glucose 1,6-bisphosphate",0.375025254,0.353558731,0.076053755,2.04E-09,6.62E-06,0.41168996,0.252404254,0.199758771,-0.105528813,0.497646254,0.507358691,0.257636323
"Fructose 1,6-bisphosphate",0.180340918,-0.169541122,0.411978136,0.005778803,0.03651337,9.28E-06,0.052276228,-0.328448126,0.229838331,0.308405608,-0.010634117,0.594117941
Alpha-Lactose,0.453488526,-0.044741355,0.483955567,7.18E-09,0.631469616,6.81E-06,0.299887113,-0.227564959,0.273150237,0.607089938,0.138082248,0.694760897
Sucrose,0.421676663,-0.080583269,0.489293165,5.83E-08,0.397219164,8.33E-06,0.269299995,-0.26714547,0.274093539,0.574053331,0.105978931,0.704492791
"3',5'-Cyclic GMP",0.131845832,-0.183591966,0.387413538,0.272255561,0.126878422,0.010147115,-0.103532455,-0.4193166,0.092043287,0.36722412,0.052132667,0.68278379
Gibberellin A3,0.743977694,-0.346220547,1.133343451,2.59E-13,0.000139452,0,0.544612218,-0.524369065,0.881218076,0.94334317,-0.168072028,1.385468826
Adenosine monophosphate,-0.123249665,0.506289417,-0.521676071,0.237100503,0.000497002,0.002806853,-0.327577215,0.221331707,-0.863857731,0.081077884,0.791247128,-0.179494411
Inosinic acid,-0.318940038,0.272649376,-0.625327428,6.88E-05,0.029267884,2.64E-06,-0.475987968,0.027499265,-0.886258846,-0.161892108,0.517799487,-0.364396011
Prostaglandin E2,2.515662707,-0.280833084,2.824097872,0,1.26E-05,0,2.301400175,-0.406895315,2.580906442,2.729925239,-0.154770853,3.067289302
Orotidylic acid,0.386707825,-0.008060982,0.410836281,0.000175666,0.941247215,0.005045881,0.184678125,-0.222430289,0.123670358,0.588737525,0.206308324,0.698002205
S-Adenosylhomocysteine,-0.159214477,0.059344468,-0.21607457,0.003893616,0.372907584,0.002079811,-0.267318989,-0.071194145,-0.353639441,-0.051109964,0.18988308,-0.078509698
Uridine 5'-diphosphate,0.362580098,-0.184080391,0.557848211,0.001746096,0.1790739,0.001610724,0.135557119,-0.452608491,0.211178231,0.589603077,0.084447709,0.90451819
Adenosine 5'-diphosphate,-1.112310626,-1.242492173,0.157856762,0,0,0.199122537,-1.258406104,-1.477996988,-0.083097974,-0.966215147,-1.006987357,0.398811497
Folic acid,0.445287034,0.806321918,-0.362064132,0.003879196,2.45E-05,0.096195022,0.14306527,0.431791157,-0.788639816,0.747508799,1.180852678,0.064511552
Guanosine 5'-diphosphate,-0.088348196,-0.268751629,0.190544353,0.202951092,0.005824608,0.073121745,-0.22435511,-0.459777601,-0.017855386,0.047658717,-0.077725657,0.398944093
5-Methyltetrahydrofolic acid,0.689651437,0.07591001,0.639371034,1.06E-05,0.723088808,0.008140113,0.382816035,-0.343986869,0.165799056,0.99648684,0.495806888,1.112943011
Glycocholic acid,0.356979256,-0.098646762,0.530815815,3.28E-08,0.206842029,1.21E-09,0.230354733,-0.251818079,0.359659327,0.483603779,0.054524555,0.701972304
Adenosine 5'-triphosphate,0.420697959,-0.369365885,0.770655353,0.000206471,0.004350968,4.76E-06,0.198500211,-0.623249833,0.440499794,0.642895707,-0.115481938,1.100810913
Taurocholic acid,0.333878408,-0.178781942,0.581426746,0.000262027,0.094702007,1.34E-06,0.154600551,-0.388471782,0.345638929,0.513156266,0.030907898,0.817214562
Oxidized glutathione,-1.769846197,-0.300420549,-1.493504421,0,0.048427183,1.52E-14,-2.03552172,-0.598770832,-1.874384715,-1.504170673,-0.002070266,-1.112624128
NAD,-1.800547277,-0.645304918,-1.159305299,0,0.004231804,4.29E-07,-2.073950433,-1.087488516,-1.608757717,-1.527144121,-0.203121319,-0.709852881
Lactic acid,-0.316229115,-0.00574355,-0.293742474,6.15E-09,0.965719413,0.042526217,-0.422861539,-0.267679197,-0.57758891,-0.209596692,0.256192097,-0.009896039
Fumarate,-0.316771023,-0.117394201,-0.174578187,7.03E-08,0.160104356,0.026840218,-0.431951852,-0.281193765,-0.329139587,-0.201590195,0.046405363,-0.020016786
Citraconic acid,0.092882414,0.013681157,0.112647227,0.07122729,0.847613732,0.17115014,-0.008030527,-0.125861452,-0.048686889,0.193795355,0.153223767,0.273981343
Allantoin,0.422341187,-0.141308032,0.597483048,1.73E-14,0.026332132,3.33E-16,0.314404649,-0.265994692,0.454270684,0.530277725,-0.016621373,0.740695411
Aconitic acid,0.22240762,0.099078996,0.195443498,5.60E-05,0.134996785,0.006118391,0.114213752,-0.030844626,0.055706973,0.330601487,0.229002618,0.335180023
Citric acid,-0.116482156,-0.151791851,0.092970013,0.063655368,0.013886528,0.195902686,-0.239585115,-0.272722588,-0.047924858,0.006620803,-0.030861114,0.233864883
Chenodeoxycholic acid glycine conjugate,0.179731017,-0.253991654,0.506145666,0.08950596,0.003319204,1.77E-05,-0.027731181,-0.423520251,0.275022518,0.387193215,-0.084463057,0.737268815
Malondialdehyde,-0.111827762,-0.165656137,0.104056707,0.183045633,0.022146921,0.310018229,-0.276448845,-0.307574378,-0.096844005,0.05279332,-0.023737897,0.304957418
2-Methylpropanoate,-0.455267506,0.789631905,-1.256249888,2.58E-09,7.65E-11,0,-0.605072192,0.551793734,-1.501929942,-0.30546282,1.027470076,-1.010569834
Glyceric acid,0.230416184,0.010631377,0.252429446,0.000109467,0.860323651,0.000565606,0.113677035,-0.107788946,0.108920118,0.347155333,0.1290517,0.395938774
Alpha-Ketoisovaleric acid,-0.44423605,0.06572937,-0.477257717,4.27E-11,0.429788754,1.57E-06,-0.576274014,-0.097438314,-0.672041349,-0.312198087,0.228897055,-0.282474085
Methylsuccinic acid,-0.03706503,-0.07859136,0.06285465,0.475203671,0.197711804,0.374436749,-0.138806752,-0.198177796,-0.075848384,0.064676693,0.040995076,0.201557684
Oxalacetic acid,0.662998408,0.376559178,0.311669463,0,2.51E-09,4.60E-05,0.55237135,0.252741736,0.161759826,0.773625466,0.500376619,0.4615791
Oxoglutaric acid,-0.697628821,-0.77344374,0.061289989,1.11E-16,3.77E-15,0.493351596,-0.862997831,-0.966217365,-0.114083021,-0.532259812,-0.580670116,0.236663
2-Hydroxyglutarate,-0.302577476,-0.37835489,0.125033414,1.52E-06,1.95E-05,0.124718814,-0.425922072,-0.552000335,-0.034590843,-0.17923288,-0.204709446,0.284657672
Fructose,0.351618544,-0.089081262,0.453955803,2.96E-08,0.180628548,9.35E-09,0.227309358,-0.219493851,0.299004045,0.47592773,0.041331326,0.608907561
Glucose 1-phosphate,0.542879553,0.046666583,0.492460573,4.11E-11,0.656642619,4.36E-05,0.381659726,-0.159082667,0.256333107,0.70409938,0.252415834,0.72858804
Geranyl-PP,-0.173557039,0.111969435,-0.245428513,0.001895321,0.356077935,0.058170794,-0.28307215,-0.125833779,-0.499354662,-0.064041928,0.349772649,0.008497637
Adenylsuccinic acid,0.959738036,0.241011723,0.762181021,0,0.00021066,0,0.848917214,0.113543126,0.611392749,1.070558858,0.36848032,0.912969292
Glycerol 3-phosphate,1.43993427,0.957794451,0.506897823,0,0,2.18E-05,1.300725571,0.774885098,0.272895036,1.579142969,1.140703804,0.740900609
Glyceraldehyde,0.16078777,-0.043822295,0.18387852,0.019651453,0.615807894,0.087456211,0.025703098,-0.214989336,-0.027009654,0.295872443,0.127344746,0.394766693
Pyruvic acid,-0.539721768,0.794411831,-1.341464713,2.58E-09,5.78E-13,0,-0.717326897,0.578322725,-1.557174384,-0.362116639,1.010500936,-1.125755043
Methyl-3-methyl-2-oxopentanoate,-0.17941266,0.555810235,-0.695943317,0.00077741,1.36E-08,1.71E-10,-0.284047783,0.363955341,-0.909554402,-0.074777536,0.74766513,-0.482332233
Isocitric acid,0.305379379,0.122626849,0.205916659,0.004769004,0.376952738,0.213381086,0.093298056,-0.149406939,-0.118433999,0.517460702,0.394660637,0.530267317
Homovanillic acid,0.130105314,-0.209708113,0.364676343,0.074521759,0.005408592,6.33E-05,-0.012883861,-0.357472998,0.185986091,0.27309449,-0.061943228,0.543366595
Trimethylamine,0.358013532,0.248024221,0.198234263,0.008727186,0.152180707,0.330980612,0.090448069,-0.091480826,-0.20143957,0.625578994,0.587529269,0.597908096
Glycine,0.232540258,0.121680208,0.13775298,0.026641862,0.348007719,0.374975902,0.026931162,-0.132452134,-0.166573531,0.438149354,0.37581255,0.442079491
Trimethylamine N-oxide,0.153111896,-0.049909175,0.274741275,0.123347556,0.672856824,0.060134422,-0.04164731,-0.281588308,-0.011720566,0.347871103,0.181769959,0.561203116
Sarcosine,-0.317692403,-0.045927168,-0.214432409,0.010249385,0.770105582,0.24350794,-0.560234011,-0.353955629,-0.574803402,-0.075150796,0.262101293,0.145938583
Alanine,0.25552755,0.136097152,0.181513661,0.004542933,0.234626412,0.190898341,0.079039224,-0.088340946,-0.090494633,0.432015877,0.360535251,0.453521956
Cadaverine,0.726986729,0.236053147,0.535670411,2.62E-14,0.05115406,0.000192284,0.539890719,-0.001188008,0.254112354,0.914082739,0.473294303,0.817228467
3-Aminoisobutyric acid,0.095141878,0.17535978,-0.01287734,0.294305923,0.201050891,0.930635664,-0.08267266,-0.093461621,-0.302837223,0.272956416,0.444181181,0.277082543
Choline,0.196322369,0.102802946,0.151206256,0.031040995,0.376840823,0.280008621,0.01789274,-0.125200274,-0.1231289,0.374751998,0.330806166,0.425541412
Dimethylglycine,0.250966716,0.086836635,0.228422898,0.006184042,0.449990642,0.10085439,0.071302749,-0.138465065,-0.044449593,0.430630683,0.312138335,0.50129539
Serine,0.2036793,0.087085123,0.179171871,0.023476159,0.443372485,0.192230157,0.027473344,-0.135595186,-0.090133468,0.379885257,0.309765432,0.448477209
Cytosine,0.62120132,-0.001053199,0.515135906,0.006945912,0.997378323,0.137077588,0.170159356,-0.629294706,-0.163968171,1.072243285,0.627188308,1.194239982
Creatinine,0.1530412,-0.007288806,0.185592677,0.169037336,0.952167234,0.209360115,-0.065063914,-0.245447624,-0.104181762,0.371146313,0.230870011,0.475367115
Proline,-0.003700984,-0.143740096,0.053697046,0.973803981,0.436685662,0.790168996,-0.224603183,-0.505953789,-0.341829834,0.217201215,0.218473597,0.449223925
5-Aminopentanoic acid,0.336429111,0.132067086,0.238014487,0.001948825,0.267233707,0.12419941,0.12357643,-0.101246891,-0.065428588,0.549281793,0.365381063,0.541457563
Betaine,0.233607728,0.262021144,0.039141584,0.031269599,0.061673703,0.807836034,0.021002857,-0.012811352,-0.276284518,0.4462126,0.53685364,0.354567686
Valine,0.36987287,0.092946133,0.323486831,0.00358346,0.465564564,0.054263063,0.120977772,-0.15670542,-0.00592767,0.618767968,0.342597686,0.652901332
Indole,0.795723956,0.550430875,0.121666113,6.75E-05,0.059648698,0.696291917,0.404355655,-0.022392299,-0.489265827,1.187092257,1.123254049,0.732598052
Homoserine,0.174633633,0.071269324,0.162004162,0.04850173,0.524213706,0.231111278,0.001145893,-0.148067875,-0.103154796,0.348121374,0.290606522,0.427163121
Threonine,0.170298598,0.076606991,0.15129181,0.05506652,0.494227721,0.263755423,-0.003697325,-0.143038533,-0.114047174,0.34429452,0.296252514,0.416630793
Cysteine,-1.170434017,-0.846471179,-0.561721479,2.66E-08,0.001429403,0.055194325,-1.582857628,-1.366780721,-1.135940015,-0.758010406,-0.326161637,0.012497058
Niacinamide,-0.189549943,0.018451995,-0.159871489,0.043791484,0.888614803,0.288904052,-0.373827187,-0.239770452,-0.455335498,-0.0052727,0.276674443,0.13559252
Taurine,0.038934585,0.001965935,0.074712569,0.685125354,0.987979709,0.613703042,-0.149266929,-0.253794738,-0.2153789,0.2271361,0.257726607,0.364804038
Pyroglutamic acid,0.263081958,0.081710799,0.240715883,0.017239196,0.48878637,0.105691275,0.046568699,-0.149644039,-0.050904594,0.479595217,0.313065636,0.532336361
Pipecolic acid,0.296333294,0.093518406,0.288829778,0.002872358,0.449373321,0.054878833,0.101499987,-0.148789217,-0.006042735,0.491166601,0.335826029,0.583702291
N-Acetylputrescine,0.163349404,0.306187612,-0.027083801,0.125312213,0.020629667,0.866013179,-0.045519252,0.046918941,-0.341704283,0.37221806,0.565456283,0.28753668
Creatine,0.017770396,0.129948542,-0.093973188,0.880542674,0.522632105,0.662418869,-0.21399478,-0.268458758,-0.515864101,0.249535572,0.528355842,0.327917725
4-Hydroxyproline,0.453151251,0.058955064,0.444985035,0.0006341,0.64180839,0.011789996,0.193191574,-0.189451892,0.09866132,0.713110929,0.30736202,0.791308749
5-Aminolevulinic acid,-0.574096929,-0.488424158,0.017582847,2.87E-08,0.000189473,0.911870734,-0.776872601,-0.744893526,-0.293788907,-0.371321257,-0.23195479,0.3289546
Isoleucine,0.231610218,0.030705415,0.253839949,0.010222612,0.791016846,0.069442197,0.054850305,-0.196407004,-0.020198904,0.408370131,0.257817834,0.527878803
Leucine,0.389191462,0.02966641,0.421998713,0.004081433,0.831649087,0.044784422,0.123568612,-0.243850573,0.00981536,0.654814312,0.303183394,0.834182067
Ornithine,0.108479018,0.088485637,0.082748916,0.237201414,0.447514976,0.556610345,-0.071399943,-0.139845019,-0.193135363,0.288357979,0.316816293,0.358633195
Asparagine,-1.245970407,-1.26946117,0.059246467,0,0,0.670383427,-1.423553802,-1.499985296,-0.213585107,-1.068387013,-1.038937044,0.33207804
Homocysteine,0.124639487,0.307755466,-0.080271707,0.210337548,0.02373292,0.62898394,-0.070383681,0.041020742,-0.405905811,0.319662655,0.574490191,0.245362397
N-Methylnicotinamide,0.073484534,0.13757181,0.016201188,0.594697999,0.373694756,0.933104418,-0.197227391,-0.165540461,-0.36209834,0.344196459,0.440684081,0.394500716
Tyramine,-0.028952349,-0.126796475,0.19559962,0.8348322,0.518763765,0.371443983,-0.301107648,-0.511949895,-0.233341237,0.243202949,0.258356945,0.624540477
4-Acetamidobutanoic acid,0.231476386,0.11386659,0.175616284,0.008270191,0.336979386,0.208796163,0.059677064,-0.118574548,-0.098242171,0.403275709,0.346307727,0.449474738
Spermidine,0.84326226,0.192660427,0.593587283,0.000138562,0.509105582,0.070010287,0.409540074,-0.379282452,-0.048538088,1.276984446,0.764603305,1.235712655
Glutamine,-1.320837599,-1.188324484,-0.130904039,0,8.33E-15,0.385862691,-1.542130852,-1.488372554,-0.426785331,-1.099544347,-0.888276413,0.164977253
Lysine,0.20567567,0.037749748,0.183820131,0.058241765,0.750394495,0.210039894,-0.007181341,-0.194834447,-0.103615191,0.418532682,0.270333942,0.471255453
Glutamate,0.814335442,0.242685212,0.615556105,0,0.037847999,9.82E-06,0.636506786,0.013615297,0.34265667,0.992164098,0.471755128,0.88845554
Methionine,0.193613181,0.632741907,-0.374446222,0.031885625,1.03E-07,0.009540496,0.016767952,0.399719743,-0.657586452,0.370458411,0.865764071,-0.091305992
Histidine,0.183592875,0.109727791,0.161619528,0.108101774,0.502931378,0.418238113,-0.040358851,-0.211322253,-0.229710217,0.4075446,0.430777835,0.552949274
Tryptamine,0.161212674,-0.175182742,0.40704574,0.390888999,0.455257338,0.13123593,-0.207056009,-0.635029833,-0.121568981,0.529481357,0.284664349,0.93566046
Carnitine,0.221203312,0.079387514,0.208747941,0.015831703,0.484207766,0.126006687,0.041510236,-0.143040204,-0.058660631,0.400896389,0.301815232,0.476156513
Phenylalanine,0.297957508,0.129125544,0.225203953,0.000858961,0.255980135,0.102670255,0.122744177,-0.093672532,-0.045254317,0.47317084,0.351923621,0.495662223
1-Methyl-histidine,0.120740468,-0.040739704,0.196918825,0.246320376,0.775753221,0.224245122,-0.083386618,-0.32105454,-0.120661546,0.324867555,0.239575133,0.514499196
Arginine,0.500513729,0.219959895,0.343611286,1.47E-07,0.087051195,0.020130288,0.313880903,-0.031986661,0.053807482,0.687146556,0.47190645,0.633415091
Indoleacetic acid,0.377710498,0.410682232,0.013245655,0.001622782,0.00786232,0.942419209,0.142823407,0.107838124,-0.346184439,0.61259759,0.713526339,0.372675748
Glucosamine,0.510852026,0.189121706,0.210793825,0.000766219,0.401245525,0.386741506,0.213272865,-0.252478305,-0.266544088,0.808431188,0.630721717,0.688131739
Tyrosine,0.121948941,0.050514267,0.150005376,0.221558273,0.69634171,0.31315561,-0.073585167,-0.203180897,-0.141491666,0.31748305,0.30420943,0.441502418
N8-Acetylspermidine,0.270555572,0.087954612,0.261885314,0.007464694,0.449040001,0.06722552,0.072344097,-0.139769683,-0.018578844,0.468767046,0.315678908,0.542349472
Acetylcarnitine,-0.135520365,-0.062472465,0.050979908,0.247487127,0.633642211,0.757880958,-0.365201102,-0.319384572,-0.273159165,0.094160373,0.194439642,0.375118981
Tryptophan,0.150975415,0.009802364,0.195872003,0.094588969,0.931882546,0.160384231,-0.026040034,-0.214968475,-0.077610307,0.327990863,0.234573203,0.469354312
Indolelactic acid,0.28957478,0.177238539,0.141393506,0.001613751,0.137781511,0.324811197,0.10958975,-0.056833799,-0.140066876,0.469559809,0.411310877,0.422853888
