"Metabolite","Coef_RA_HC","PValue_RA_HC","CI_Lower_RA_HC","CI_Upper_RA_HC","Coef_RA_atRisk","PValue_RA_atRisk","CI_Lower_RA_atRisk","CI_Upper_RA_atRisk","Coef_HC_atRisk","PValue_HC_atRisk","CI_Lower_HC_atRisk","CI_Upper_HC_atRisk","RA_HC.color_ra","PRA_HC.color_ra","RA_PRA.color_ra"
"Ammonia Recycling",-0.598331987718968,1.29703843597097e-63,-0.652666426254037,-0.543997549183899,-0.329228413501258,7.80778928354142e-15,-0.407796481712968,-0.250660345289549,0.276224755191231,2.05129822760154e-13,0.20858371430748,0.343865796074981,"negative","negative","negative"
"Anileridine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Antipyrine Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Antrafenine Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Arachidonic Acid Metabolism",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Arbekacin Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Arginine and Proline Metabolism",-0.169220895306476,5.26680514863332e-11,-0.218128328094752,-0.1203134625182,-0.172924122827083,5.41617219026019e-07,-0.239182393583438,-0.106665852070728,0.00108946185999417,0.971519403332993,-0.0591018144434542,0.0612807381634425,"negative","no","negative"
"Arginine: Glycine Amidinotransferase Deficiency ",-0.169220895306476,5.26680514863332e-11,-0.218128328094752,-0.1203134625182,-0.172924122827083,5.41617219026019e-07,-0.239182393583438,-0.106665852070728,0.00108946185999417,0.971519403332993,-0.0591018144434542,0.0612807381634425,"negative","no","negative"
"Argininemia",-0.316417379674907,2.90531115557552e-26,-0.369755893553278,-0.263078865796536,-0.0583177485425949,0.141909714864677,-0.136267370240607,0.0196318731554168,0.264280168738924,1.22602393536328e-13,0.200276295732321,0.328284041745527,"negative","negative","no"
"Argininosuccinic Aciduria",-0.316417379674907,2.90531115557552e-26,-0.369755893553278,-0.263078865796536,-0.0583177485425949,0.141909714864677,-0.136267370240607,0.0196318731554168,0.264280168738924,1.22602393536328e-13,0.200276295732321,0.328284041745527,"negative","negative","no"
"Aromatic L-Aminoacid Decarboxylase Deficiency",-0.313260932996422,1.28668602260984e-11,-0.400826730536599,-0.225695135456245,-0.201137375430878,0.000991510873093534,-0.320050019381108,-0.082224731480647,0.144884943754593,0.00379831091903905,0.0475175812835581,0.242252306225627,"negative","negative","negative"
"Aspartate Metabolism",-0.247268583164232,5.74933323208967e-18,-0.300135099262824,-0.19440206706564,-0.238710901568552,1.17575890044112e-09,-0.313178268512804,-0.164243534624299,0.0170482816131327,0.625442979441999,-0.0518135270945629,0.0859100903208282,"negative","no","negative"
"Atorvastatin Action Pathway",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
"Azathioprine Action Pathway",-0.234077698349451,3.99487673551835e-15,-0.289718307010266,-0.178437089688636,0.0472018199643012,0.21569378762083,-0.0276890174055213,0.122092657334124,0.295154473770948,1.35902735494952e-12,0.219765105179077,0.370543842362818,"negative","negative","no"
"Azithromycin Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Benzocaine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"beta-Alanine Metabolism",-0.489188893230055,6.79047445290677e-37,-0.555189121086438,-0.423188665373672,-0.187178654061121,5.19235779123498e-05,-0.276743301827668,-0.0976140062945739,0.324762160263937,5.28800235203647e-10,0.228140186298039,0.421384134229835,"negative","negative","negative"
"beta-Ketothiolase Deficiency",-0.104100102330896,0.000762683786319331,-0.164341717131031,-0.0438584875307608,-0.378495237059221,6.60472045941383e-19,-0.456073327036159,-0.300917147082283,-0.259692122278587,2.15320838909141e-10,-0.335025785675201,-0.184358458881973,"negative","positive","negative"
"beta-Mercaptolactate-Cysteine Disulfiduria",-0.648183228456036,1.15093298343467e-41,-0.728646103539098,-0.567720353372974,-0.15188201728572,0.00998834274506333,-0.267121343649892,-0.0366426909215489,0.509237825472755,1.27493996582857e-16,0.40137228546597,0.61710336547954,"negative","negative","negative"
"beta-Ureidopropionase Deficiency",-0.201664344141794,6.41701068234481e-09,-0.268076385489351,-0.135252302794238,-0.238361677290802,4.67245188355955e-08,-0.321743906122532,-0.154979448459072,-0.0443083534282575,0.39930874938211,-0.147880580722982,0.0592638738664673,"negative","no","negative"
"Beta Oxidation of Very Long Chain Fatty Acids",0.0527853874591241,0.306877513481269,-0.0486990504535629,0.154269825371811,-0.154164239357152,0.026893690533995,-0.29055902831255,-0.0177694504017552,-0.194635838952617,0.00961792983757362,-0.341263923104173,-0.0480077548010623,"no","positive","no"
"Betaine Metabolism",-0.189852975002951,2.35433476804233e-07,-0.260487084943801,-0.1192188650621,-0.0658765860728701,0.159986658830116,-0.157931345629916,0.026178173484176,0.124372625225663,0.0127872621343638,0.026845004038744,0.221900246412582,"negative","no","no"
"Bile Acid Biosynthesis",-0.0257011874331866,0.528309666312633,-0.105811487724279,0.0544091128579052,-0.26505616258889,1.91071379741981e-06,-0.372163915222406,-0.157948409955375,-0.261852025477759,9.48410873788671e-06,-0.3747062507031,-0.148997800252418,"no","positive","negative"
"Biotin Metabolism",-0.0535768514206945,0.231184741839705,-0.141454846261855,0.0343011434204661,-0.331819512852461,3.19199252352411e-07,-0.456329870415348,-0.207309155289573,-0.257811677355895,6.52318225007046e-05,-0.381812740817065,-0.133810613894725,"no","positive","negative"
"Biotinidase Deficiency",-0.0535768514206945,0.231184741839705,-0.141454846261855,0.0343011434204661,-0.331819512852461,3.19199252352411e-07,-0.456329870415348,-0.207309155289573,-0.257811677355895,6.52318225007046e-05,-0.381812740817065,-0.133810613894725,"no","positive","negative"
"Bromfenac Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Bupivacaine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Buprenorphine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Butyrate Metabolism",-0.190224020134609,0.000207600906978487,-0.289907596198999,-0.0905404440702197,-0.125638732179093,0.0616828746879176,-0.257467062517657,0.00618959815947198,0.0553197800423701,0.440349447899349,-0.0859602248311991,0.196599784915939,"negative","no","no"
"Canavan Disease",-0.247268583164232,5.74933323208967e-18,-0.300135099262824,-0.19440206706564,-0.238710901568552,1.17575890044112e-09,-0.313178268512804,-0.164243534624299,0.0170482816131327,0.625442979441999,-0.0518135270945629,0.0859100903208282,"negative","no","negative"
"Carbamoyl Phosphate Synthetase Deficiency",-0.316417379674907,2.90531115557552e-26,-0.369755893553278,-0.263078865796536,-0.0583177485425949,0.141909714864677,-0.136267370240607,0.0196318731554168,0.264280168738924,1.22602393536328e-13,0.200276295732321,0.328284041745527,"negative","negative","no"
"Cardiolipin Biosynthesis",-0.0944297151419836,0.0685530254737735,-0.196089729077557,0.00723029879358973,0.0230330898499573,0.734522513690824,-0.110567048647698,0.156633228347612,0.119690380756459,0.101803004747446,-0.0239644387896251,0.263345200302542,"no","no","no"
"Cardiolipin Biosynthesis ",-0.0944297151419836,0.0685530254737735,-0.196089729077557,0.00723029879358973,0.0230330898499573,0.734522513690824,-0.110567048647698,0.156633228347612,0.119690380756459,0.101803004747446,-0.0239644387896251,0.263345200302542,"no","no","no"
"Cardiolipin Biosynthesis CL",-0.0944297151419836,0.0685530254737735,-0.196089729077557,0.00723029879358973,0.0230330898499573,0.734522513690824,-0.110567048647698,0.156633228347612,0.119690380756459,0.101803004747446,-0.0239644387896251,0.263345200302542,"no","no","no"
"Carfentanil Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Carnitine-Acylcarnitine Translocase Deficiency",0.0527853874591241,0.306877513481269,-0.0486990504535629,0.154269825371811,-0.154164239357152,0.026893690533995,-0.29055902831255,-0.0177694504017552,-0.194635838952617,0.00961792983757362,-0.341263923104173,-0.0480077548010623,"no","positive","no"
"Carnitine Palmitoyl Transferase Deficiency I",-0.260250967640514,7.50457059709329e-08,-0.353129164783101,-0.167372770497926,-0.114634139474432,0.0846374134099985,-0.245037541285108,0.0157692623362431,0.133049977884619,0.0586362249135896,-0.00491991325843341,0.271019869027671,"negative","no","no"
"Carnitine Palmitoyl Transferase Deficiency II",-0.260250967640514,7.50457059709329e-08,-0.353129164783101,-0.167372770497926,-0.114634139474432,0.0846374134099985,-0.245037541285108,0.0157692623362431,0.133049977884619,0.0586362249135896,-0.00491991325843341,0.271019869027671,"negative","no","no"
"Carnitine Synthesis",-0.366853331813023,1.52641794707266e-27,-0.426839189845306,-0.30686747378074,-0.335286029625502,3.18388213911506e-15,-0.414015910934638,-0.256556148316366,0.0510402393393733,0.156943917111576,-0.019852776286334,0.121933254965081,"negative","no","negative"
"Carnosinuria, Carnosinemia",-0.489188893230055,6.79047445290677e-37,-0.555189121086438,-0.423188665373672,-0.187178654061121,5.19235779123498e-05,-0.276743301827668,-0.0976140062945739,0.324762160263937,5.28800235203647e-10,0.228140186298039,0.421384134229835,"negative","negative","negative"
"Carprofen Action Pathway",0.187519464637131,0.000110570108132183,0.0933252428325003,0.281713686441762,0.00501612532950594,0.938307726625021,-0.122478644688888,0.1325108953479,-0.157603180054538,0.0135086827303273,-0.282188140738715,-0.0330182193703611,"positive","no","no"
"Catecholamine Biosynthesis",-0.313260932996422,1.28668602260984e-11,-0.400826730536599,-0.225695135456245,-0.201137375430878,0.000991510873093534,-0.320050019381108,-0.082224731480647,0.144884943754593,0.00379831091903905,0.0475175812835581,0.242252306225627,"negative","negative","negative"
"Celecoxib Action Pathway",0.169298568163877,0.00026966586369893,0.0789178908378665,0.259679245489888,-0.0640092696721599,0.299265047647574,-0.185192507108407,0.0571739677640876,-0.221753771454006,0.000214174801240175,-0.337242919654099,-0.106264623253914,"positive","positive","no"
"Cerebrotendinous Xanthomatosis ",-0.0257011874331866,0.528309666312633,-0.105811487724279,0.0544091128579052,-0.26505616258889,1.91071379741981e-06,-0.372163915222406,-0.157948409955375,-0.261852025477759,9.48410873788671e-06,-0.3747062507031,-0.148997800252418,"no","positive","negative"
"Cerivastatin Action Pathway",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
"CHILD Syndrome",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
"Chloramphenicol Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Chloroprocaine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Cholesteryl Ester Storage Disease",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
"Chondrodysplasia Punctata II, X-Linked Dominant ",-0.101688764312773,0.0671024834392152,-0.210584534620688,0.00720700599514161,-0.431615372740534,4.60113050867341e-09,-0.57173754441306,-0.291493201068008,-0.334498919388994,3.70512363997637e-05,-0.489950563467366,-0.179047275310622,"no","positive","negative"
"Citalopram Action Pathway",-0.289418481004223,5.72127366110328e-07,-0.400884260933194,-0.177952701075252,-0.212279144544385,0.00538940327791996,-0.361230111825127,-0.0633281772636427,0.0773833403283189,0.324320925163205,-0.077235373091814,0.232002053748452,"negative","no","negative"
"Citric Acid Cycle",-0.180772782799269,4.03200419098862e-06,-0.256532331476725,-0.105013234121814,-0.0784569223215231,0.112804422418315,-0.175554585287608,0.018640740644562,0.103985623474905,0.0489016635272654,0.000507182032320322,0.207464064917491,"negative","no","no"
"Citrullinemia Type I",-0.316417379674907,2.90531115557552e-26,-0.369755893553278,-0.263078865796536,-0.0583177485425949,0.141909714864677,-0.136267370240607,0.0196318731554168,0.264280168738924,1.22602393536328e-13,0.200276295732321,0.328284041745527,"negative","negative","no"
"Clarithromycin Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Clindamycin Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Clomocycline Action Pathway",0.0379418523974174,0.399639373459472,-0.0505776912499954,0.12646139604483,0.0233849172869274,0.6919460037447,-0.0927036637565922,0.139473498330447,-0.00642654147940126,0.916475191715935,-0.12729755061411,0.114444467655308,"no","no","no"
"Cocaine Action Pathway",-0.0248214836832338,0.697540588271884,-0.150380171718387,0.100737204351919,-0.166090714046545,0.0469658264985197,-0.329937258785082,-0.00224416930800792,-0.14383477611975,0.108460853385823,-0.319834392526854,0.0321648402873537,"no","no","no"
"Codeine Action Pathway",-0.242191712537503,1.3014365117396e-05,-0.349708479722094,-0.134674945352912,-0.222325630211154,0.00235924592301492,-0.364880980588343,-0.0797702798339648,0.0143651283907423,0.85383460628306,-0.139433746074371,0.168164002855856,"negative","no","negative"
"Congenital Bile Acid Synthesis Defect Type II",-0.0257011874331866,0.528309666312633,-0.105811487724279,0.0544091128579052,-0.26505616258889,1.91071379741981e-06,-0.372163915222406,-0.157948409955375,-0.261852025477759,9.48410873788671e-06,-0.3747062507031,-0.148997800252418,"no","positive","negative"
"Congenital Bile Acid Synthesis Defect Type III",-0.0257011874331866,0.528309666312633,-0.105811487724279,0.0544091128579052,-0.26505616258889,1.91071379741981e-06,-0.372163915222406,-0.157948409955375,-0.261852025477759,9.48410873788671e-06,-0.3747062507031,-0.148997800252418,"no","positive","negative"
"Congenital Disorder of Glycosylation CDG-IId",0.305072512881674,3.20200612901307e-09,0.206675686446889,0.403469339316459,-0.25634786514632,0.000129084429569322,-0.386230510295521,-0.126465219997119,-0.543146813106181,1.09353104647186e-11,-0.688932564915826,-0.397361061296537,"positive","positive","negative"
"Congenital Erythropoietic Porphyria ",-0.657579932032959,2.62706059132273e-42,-0.738345748720594,-0.576814115345324,-0.291476592541191,8.99235998223182e-07,-0.405506689731086,-0.177446495351295,0.355711490769724,1.36469168874233e-08,0.238684081443949,0.472738900095498,"negative","negative","negative"
"Congenital Lactic Acidosis",-0.180772782799269,4.03200419098862e-06,-0.256532331476725,-0.105013234121814,-0.0784569223215231,0.112804422418315,-0.175554585287608,0.018640740644562,0.103985623474905,0.0489016635272654,0.000507182032320322,0.207464064917491,"negative","no","no"
"Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency",-0.169220895306476,5.26680514863332e-11,-0.218128328094752,-0.1203134625182,-0.172924122827083,5.41617219026019e-07,-0.239182393583438,-0.106665852070728,0.00108946185999417,0.971519403332993,-0.0591018144434542,0.0612807381634425,"negative","no","negative"
"Cystathionine beta-Synthase Deficiency",-0.153194820646098,1.20942774217355e-05,-0.220946143152618,-0.085443498139577,-0.0342303952024315,0.441464373398506,-0.121664588354491,0.0532037979496276,0.114643807827045,0.0196976607091516,0.0185485333243455,0.210739082329744,"negative","no","no"
"Cysteine Metabolism",-0.648183228456036,1.15093298343467e-41,-0.728646103539098,-0.567720353372974,-0.15188201728572,0.00998834274506333,-0.267121343649892,-0.0366426909215489,0.509237825472755,1.27493996582857e-16,0.40137228546597,0.61710336547954,"negative","negative","negative"
