Table S5D: Integrated Discrimination Improvement (IDI)-based comparison of metabolite plus clinical feature model vs. clinical-only model of MTX+HCQ across coverged Iterations.,,,,,,,
training set,,,,testing set,,,
iteration,IDI,Confidence Interval (95%),p value,iteration,IDI,Confidence Interval (95%),p value
56,0.3391,0.2066 - 0.4715,0,56,0.2506,0.0256 - 0.4756,0.02902
57,0.316,0.1985 - 0.4336,0,57,0.277,0.1071 - 0.4468,0.0014
58,0.3374,0.2129 - 0.4618,0,58,0.2898,0.0614 - 0.5183,0.01288
59,0.2565,0.1299 - 0.3831,7.00E-05,59,0.2269,0.0622 - 0.3915,0.00692
60,0.3441,0.218 - 0.4702,0,60,0.2573,0.1697 - 0.345,0
61,0.4136,0.283 - 0.5442,0,61,0.3595,0.1041 - 0.6148,0.0058
62,0.3443,0.2062 - 0.4825,0,62,0.1184,-0.0363 - 0.273,0.13349
63,0.343,0.2145 - 0.4715,0,63,0.1662,-0.0753 - 0.4077,0.17735
64,0.1861,0.0716 - 0.3005,0.00144,64,0.0659,-0.1723 - 0.304,0.58775
66,0.2071,0.0837 - 0.3305,0.001,66,0.1707,-0.0582 - 0.3996,0.1438
67,0.4913,0.3585 - 0.6241,0,67,0.1557,-0.0351 - 0.3465,0.10969
69,0.4592,0.363 - 0.5553,0,69,0.3797,0.042 - 0.7175,0.02754
70,0.3449,0.2126 - 0.4771,0,70,0.2236,0.0506 - 0.3965,0.01129
72,0.3263,0.2194 - 0.4332,0,72,0.2019,-0.0731 - 0.4769,0.15023
73,0.3399,0.2041 - 0.4757,0,73,0.1304,-0.0679 - 0.3287,0.19755
74,0.4489,0.3448 - 0.5529,0,74,0.3286,0.073 - 0.5842,0.01176
75,0.3842,0.2669 - 0.5015,0,75,0.2953,0.099 - 0.4916,0.00319
76,0.4286,0.2991 - 0.5581,0,76,0.262,0.0558 - 0.4681,0.01275
78,0.4158,0.2812 - 0.5503,0,78,0.2435,0.1157 - 0.3712,0.00019
79,0.2626,0.1414 - 0.3838,2.00E-05,79,0.1735,-0.0758 - 0.4228,0.17256
81,0.4679,0.3442 - 0.5916,0,81,0.3024,0.0505 - 0.5544,0.01864
82,0.3193,0.1939 - 0.4447,0,82,0.3076,0.0707 - 0.5444,0.01093
83,0.1693,0.0663 - 0.2722,0.00127,83,0.1593,0.0578 - 0.2608,0.0021
84,0.3276,0.2183 - 0.437,0,84,-0.0253,-0.2926 - 0.242,0.85278
85,0.3728,0.2404 - 0.5051,0,85,0.2944,0.1388 - 0.4501,0.00021
86,0.2593,0.1368 - 0.3819,3.00E-05,86,0.259,0.1492 - 0.3687,0
87,0.3005,0.1821 - 0.4188,0,87,0.2058,-0.0843 - 0.4959,0.16433
88,0.2745,0.1504 - 0.3985,1.00E-05,88,0.1328,-0.0178 - 0.2835,0.08398
89,0.4964,0.3626 - 0.6302,0,89,0.089,-0.1824 - 0.3604,0.5205
90,0.2906,0.1618 - 0.4193,1.00E-05,90,0.2152,0.0068 - 0.4235,0.04292
91,0.2512,0.1291 - 0.3732,6.00E-05,91,0.2188,-0.0533 - 0.4908,0.11504
92,0.2858,0.165 - 0.4065,0,92,0.2888,0.0329 - 0.5448,0.02699
93,0.2766,0.1455 - 0.4077,4.00E-05,93,0.1775,-0.0087 - 0.3636,0.06164
95,0.1403,0.0644 - 0.2163,0.00029,95,0.172,0.0152 - 0.3289,0.03159
96,0.2394,0.1236 - 0.3552,5.00E-05,96,0.147,-0.0634 - 0.3574,0.17079
97,0.2841,0.1432 - 0.425,8.00E-05,97,0.1982,0.0343 - 0.3622,0.01779
98,0.3926,0.2639 - 0.5214,0,98,0.1582,-0.0792 - 0.3956,0.19154
99,0.291,0.1744 - 0.4076,0,99,0.3558,0.0944 - 0.6171,0.00763
100,0.4184,0.3041 - 0.5327,0,100,0.2558,-0.0801 - 0.5916,0.1355
