i,train_auc_full,acc_train_full,test_auc_full,acc_test_full,Sens_train,Spec_train,PPV_train,NPV_train,Sens_test,Spec_test,PPV_test,NPV_test
39,0.925396825,0.862745098,0.786324786,0.772727273,85.7,86.7,81.8,89.7,77.8,76.9,70,83.3
40,0.9,0.843137255,0.863247863,0.863636364,85.7,83.3,78.3,89.3,100,76.9,75,100
41,0.887301587,0.843137255,0.888888889,0.863636364,81,86.7,81,86.7,100,76.9,75,100
42,0.906349206,0.843137255,0.888888889,0.909090909,90.5,80,76,92.3,88.9,92.3,88.9,92.3
43,0.915873016,0.862745098,0.829059829,0.772727273,90.5,83.3,79.2,92.6,88.9,69.2,66.7,90
44,0.871428571,0.803921569,0.957264957,0.909090909,90.5,73.3,70.4,91.7,100,84.6,81.8,100
45,0.949206349,0.882352941,0.777777778,0.727272727,85.7,90,85.7,90,88.9,61.5,61.5,88.9
46,0.942857143,0.901960784,0.786324786,0.772727273,100,83.3,80.8,100,88.9,69.2,66.7,90
47,0.906349206,0.803921569,0.88034188,0.863636364,100,66.7,67.7,100,100,76.9,75,100
48,0.893650794,0.823529412,0.914529915,0.863636364,100,70,70,100,88.9,84.6,80,91.7
49,0.917460317,0.882352941,0.829059829,0.772727273,100,80,77.8,100,88.9,69.2,66.7,90
50,0.938095238,0.882352941,0.837606838,0.818181818,90.5,86.7,82.6,92.9,77.8,84.6,77.8,84.6
51,0.953968254,0.941176471,0.717948718,0.772727273,95.2,93.3,90.9,96.6,77.8,76.9,70,83.3
52,0.880952381,0.784313725,0.923076923,0.863636364,95.2,66.7,66.7,95.2,100,76.9,75,100
53,0.904761905,0.862745098,0.803418803,0.772727273,85.7,86.7,81.8,89.7,77.8,76.9,70,83.3
54,0.968253968,0.941176471,0.777777778,0.727272727,90.5,96.7,95,93.5,100,53.8,60,100
55,0.876190476,0.823529412,0.888888889,0.909090909,61.9,96.7,92.9,78.4,100,84.6,81.8,100
56,0.871428571,0.823529412,0.931623932,0.863636364,90.5,76.7,73.1,92,88.9,84.6,80,91.7
57,0.931746032,0.882352941,0.777777778,0.772727273,90.5,86.7,82.6,92.9,88.9,69.2,66.7,90
58,0.911111111,0.843137255,0.888888889,0.818181818,90.5,80,76,92.3,100,69.2,69.2,100
59,0.893650794,0.862745098,0.905982906,0.818181818,95.2,80,76.9,96,100,69.2,69.2,100
60,0.904761905,0.882352941,0.820512821,0.727272727,85.7,90,85.7,90,100,53.8,60,100
61,0.896825397,0.843137255,0.931623932,0.909090909,71.4,93.3,88.2,82.4,100,84.6,81.8,100
62,0.884126984,0.862745098,0.888888889,0.863636364,90.5,83.3,79.2,92.6,66.7,100,100,81.2
63,0.931746032,0.862745098,0.769230769,0.772727273,81,90,85,87.1,88.9,69.2,66.7,90
64,0.901587302,0.862745098,0.794871795,0.818181818,90.5,83.3,79.2,92.6,66.7,92.3,85.7,80
65,0.950793651,0.901960784,0.683760684,0.681818182,76.2,100,100,85.7,100,46.2,56.2,100
66,0.941269841,0.921568627,0.726495726,0.727272727,95.2,90,87,96.4,66.7,76.9,66.7,76.9
67,0.915873016,0.862745098,0.837606838,0.818181818,85.7,86.7,81.8,89.7,100,69.2,69.2,100
68,0.965079365,0.960784314,0.64957265,0.681818182,95.2,96.7,95.2,96.7,66.7,69.2,60,75
69,0.903174603,0.843137255,0.854700855,0.772727273,90.5,80,76,92.3,100,61.5,64.3,100
70,0.871428571,0.823529412,0.923076923,0.863636364,90.5,76.7,73.1,92,100,76.9,75,100
71,0.920634921,0.843137255,0.829059829,0.818181818,100,73.3,72.4,100,100,69.2,69.2,100
72,0.923809524,0.862745098,0.897435897,0.863636364,71.4,96.7,93.8,82.9,77.8,92.3,87.5,85.7
73,0.926984127,0.882352941,0.752136752,0.727272727,90.5,86.7,82.6,92.9,100,53.8,60,100
74,0.965079365,0.901960784,0.777777778,0.818181818,95.2,86.7,83.3,96.3,55.6,100,100,76.5
75,0.912698413,0.823529412,0.863247863,0.863636364,95.2,73.3,71.4,95.7,88.9,84.6,80,91.7
76,0.944444444,0.921568627,0.726495726,0.727272727,95.2,90,87,96.4,55.6,84.6,71.4,73.3
77,0.912698413,0.843137255,0.854700855,0.863636364,81,86.7,81,86.7,100,76.9,75,100
78,0.923809524,0.862745098,0.769230769,0.727272727,100,76.7,75,100,100,53.8,60,100
79,0.90952381,0.843137255,0.88034188,0.909090909,95.2,76.7,74.1,95.8,100,84.6,81.8,100
80,0.884126984,0.784313725,0.888888889,0.863636364,90.5,70,67.9,91.3,100,76.9,75,100
81,0.917460317,0.843137255,0.863247863,0.818181818,95.2,76.7,74.1,95.8,55.6,100,100,76.5
82,0.926984127,0.843137255,0.811965812,0.772727273,100,73.3,72.4,100,88.9,69.2,66.7,90
83,0.947619048,0.921568627,0.769230769,0.772727273,95.2,90,87,96.4,88.9,69.2,66.7,90
84,0.947619048,0.901960784,0.803418803,0.772727273,95.2,86.7,83.3,96.3,77.8,76.9,70,83.3
85,0.919047619,0.843137255,0.846153846,0.818181818,95.2,76.7,74.1,95.8,77.8,84.6,77.8,84.6
86,0.942857143,0.901960784,0.641025641,0.636363636,81,96.7,94.4,87.9,100,38.5,52.9,100
87,0.895238095,0.843137255,0.923076923,0.909090909,85.7,83.3,78.3,89.3,100,84.6,81.8,100
88,0.919047619,0.882352941,0.829059829,0.863636364,85.7,90,85.7,90,88.9,84.6,80,91.7
89,0.901587302,0.862745098,0.829059829,0.818181818,95.2,80,76.9,96,66.7,92.3,85.7,80
90,0.931746032,0.882352941,0.752136752,0.727272727,81,93.3,89.5,87.5,77.8,69.2,63.6,81.8
91,0.917460317,0.823529412,0.863247863,0.818181818,95.2,73.3,71.4,95.7,88.9,76.9,72.7,90.9
92,0.922222222,0.882352941,0.829059829,0.772727273,95.2,83.3,80,96.2,100,61.5,64.3,100
93,0.957142857,0.921568627,0.743589744,0.727272727,95.2,90,87,96.4,88.9,61.5,61.5,88.9
94,0.931746032,0.882352941,0.88034188,0.772727273,76.2,96.7,94.1,85.3,100,61.5,64.3,100
95,0.898412698,0.784313725,0.914529915,0.863636364,100,63.3,65.6,100,66.7,100,100,81.2
96,0.922222222,0.882352941,0.794871795,0.818181818,95.2,83.3,80,96.2,66.7,92.3,85.7,80
97,0.933333333,0.882352941,0.820512821,0.727272727,95.2,83.3,80,96.2,100,53.8,60,100
98,0.887301587,0.803921569,0.871794872,0.909090909,100,66.7,67.7,100,88.9,92.3,88.9,92.3
99,0.912698413,0.843137255,0.829059829,0.772727273,90.5,80,76,92.3,77.8,76.9,70,83.3
100,0.931746032,0.882352941,0.829059829,0.818181818,85.7,90,85.7,90,55.6,100,100,76.5
