,Metabolite,Estimate,Std.err,CI_lower,CI_upper,p_value,sig
Mevalonic acid,Mevalonic acid,0.489997288,0.081591874,0.330077215,0.64991736,1.91E-09,sig
Xanthine,Xanthine,0.218289775,0.08765096,0.046493892,0.390085657,0.012758374,sig
Dopamine,Dopamine,-0.277000932,0.143340054,-0.557947437,0.003945574,0.053301024,not sig
Orotic acid,Orotic acid,0.274682332,0.119404347,0.040649811,0.508714853,0.021423402,sig
Aminoadipic acid,Aminoadipic acid,-0.425812309,0.08181193,-0.586163692,-0.265460926,1.94E-07,sig
Phenylpyruvate,Phenylpyruvate,-0.344762127,0.072067004,-0.486013454,-0.2035108,1.72E-06,sig
Phosphoenolpyruvic acid,Phosphoenolpyruvic acid,-0.109034135,0.084741958,-0.275128372,0.057060102,0.198212624,not sig
Homogentisic acid,Homogentisic acid,0.16221724,0.072039372,0.021020072,0.303414409,0.024335806,sig
Uric acid,Uric acid,-0.004078826,0.086187618,-0.173006557,0.164848904,0.962254228,not sig
Dihydroxyacetone phosphate,Dihydroxyacetone phosphate,-0.369432814,0.09251907,-0.550770191,-0.188095438,6.52E-05,sig
Glyceraldehyde 3-phosphate,Glyceraldehyde 3-phosphate,-0.557252361,0.079318496,-0.712716613,-0.401788109,2.13E-12,sig
Shikimic acid,Shikimic acid,0.358737598,0.074950277,0.211835054,0.505640141,1.70E-06,sig
Citrulline,Citrulline,0.031302221,0.08989338,-0.144888803,0.207493245,0.727678741,not sig
Hippuric acid,Hippuric acid,0.080445955,0.076006806,-0.068527384,0.229419294,0.289871008,not sig
Myo-Inositol,Myo-Inositol,-0.085521338,0.092879962,-0.267566063,0.096523388,0.357169087,not sig
Lactose,Lactose,0.341706174,0.062673177,0.218866747,0.4645456,4.98E-08,sig
4-Hydroxyphenylpyruvic acid,4-Hydroxyphenylpyruvic acid,-0.292583872,0.070302752,-0.430377266,-0.154790478,3.16E-05,sig
4-Pyridoxic acid,4-Pyridoxic acid,0.001381659,0.05987892,-0.115981024,0.118744342,0.981591072,not sig
2-Phosphoglyceric acid,2-Phosphoglyceric acid,-0.046434563,0.070153153,-0.183934742,0.091065615,0.508033559,not sig
Azelaic acid,Azelaic acid,0.818201672,0.058086638,0.704351861,0.932051482,0,sig
4-Hydroxy-2-quinolinecarboxylic acid,4-Hydroxy-2-quinolinecarboxylic acid,0.151647583,0.054289831,0.045239514,0.258055653,0.005217388,sig
Glucuronic acid,Glucuronic acid,0.163726414,0.052795493,0.060247247,0.26720558,0.001927747,sig
Indoxyl sulfate,Indoxyl sulfate,-0.007898793,0.06065108,-0.126774911,0.110977324,0.896381812,not sig
Pantothenic acid,Pantothenic acid,0.000609247,0.053161096,-0.103586502,0.104804996,0.990856127,not sig
Cystathionine,Cystathionine,0.187265769,0.090203432,0.010467042,0.364064496,0.03789042,sig
3-Nitrotyrosine,3-Nitrotyrosine,0.066888053,0.05568846,-0.042261329,0.176037435,0.229707928,not sig
Myristic acid,Myristic acid,0.850067307,0.064280976,0.724076595,0.976058019,0,sig
Ribose 5-phosphate,Ribose 5-phosphate,-0.132737679,0.064656756,-0.259464921,-0.006010438,0.040076538,sig
Biotin,Biotin,-0.045990321,0.064101912,-0.171630069,0.079649427,0.47309259,not sig
Fructose 6-phosphate,Fructose 6-phosphate,0.16715413,0.126063683,-0.079930688,0.414238948,0.184856286,not sig
Glucose 6-phosphate,Glucose 6-phosphate,0.461314819,0.100665251,0.264010928,0.65861871,4.59E-06,sig
Heptadecanoic acid,Heptadecanoic acid,0.381217272,0.055409834,0.272613998,0.489820547,5.99E-12,sig
Linolenate,Linolenate,0.1699784,0.05642337,0.059388595,0.280568206,0.002590601,sig
Alpha-Linolenic acid,Alpha-Linolenic acid,0.278789929,0.057412008,0.166262393,0.391317465,1.20E-06,sig
Xanthosine,Xanthosine,0.111661015,0.081768787,-0.048605807,0.271927837,0.172073918,not sig
Argininosuccinic acid,Argininosuccinic acid,-0.325167061,0.072666325,-0.467593057,-0.182741064,7.65E-06,sig
13-HODE,13-HODE,2.502184128,0.059137042,2.386275525,2.61809273,0,sig
Arachidonic acid,Arachidonic acid,1.060548547,0.056891844,0.949040533,1.172056562,0,sig
dCMP,dCMP,0.548395397,0.113545057,0.325847084,0.77094371,1.37E-06,sig
Glutathione,Glutathione,-0.566387027,0.144242896,-0.849103103,-0.283670951,8.61E-05,sig
N-Acetylneuraminic acid,N-Acetylneuraminic acid,0.575996662,0.054128185,0.469905418,0.682087905,0,sig
12-HETE,12-HETE,3.261074987,0.072214081,3.119535387,3.402614586,0,sig
5-Thymidylic acid,5-Thymidylic acid,0.12428272,0.089202775,-0.05055472,0.29912016,0.163540974,not sig
Cytidine monophosphate,Cytidine monophosphate,0.326262665,0.114772854,0.10130787,0.551217459,0.004473576,sig
"Glucose 1,6-bisphosphate","Glucose 1,6-bisphosphate",0.379159262,0.062889238,0.255896355,0.502422169,1.65E-09,sig
"Fructose 1,6-bisphosphate","Fructose 1,6-bisphosphate",0.181545476,0.065318868,0.053520495,0.309570456,0.0054464,sig
Alpha-Lactose,Alpha-Lactose,0.453939644,0.07833461,0.300403809,0.607475478,6.84E-09,sig
Sucrose,Sucrose,0.422016373,0.077664279,0.269794387,0.574238359,5.51E-08,sig
"3',5'-Cyclic GMP","3',5'-Cyclic GMP",0.13208256,0.120106959,-0.10332708,0.3674922,0.271459453,not sig
Gibberellin A3,Gibberellin A3,0.742203066,0.10137173,0.543514476,0.940891656,2.45E-13,sig
Adenosine monophosphate,Adenosine monophosphate,-0.120901801,0.104289151,-0.325308537,0.083504935,0.246336312,not sig
Inosinic acid,Inosinic acid,-0.315956201,0.079949488,-0.472657198,-0.159255204,7.75E-05,sig
Prostaglandin E2,Prostaglandin E2,2.515907989,0.108991089,2.302285454,2.729530523,0,sig
Orotidylic acid,Orotidylic acid,0.388023762,0.103250097,0.185653573,0.590393952,0.000171211,sig
S-Adenosylhomocysteine,S-Adenosylhomocysteine,-0.160469944,0.055192709,-0.268647654,-0.052292235,0.003643906,sig
Uridine 5'-diphosphate,Uridine 5'-diphosphate,0.365730714,0.116111549,0.138152078,0.593309349,0.0016337,sig
Adenosine 5'-diphosphate,Adenosine 5'-diphosphate,-1.108276022,0.074285807,-1.253876203,-0.96267584,0,sig
Folic acid,Folic acid,0.442937872,0.15419566,0.140714379,0.745161365,0.004071475,sig
Guanosine 5'-diphosphate,Guanosine 5'-diphosphate,-0.087469801,0.069274357,-0.223247541,0.04830794,0.206712222,not sig
5-Methyltetrahydrofolic acid,5-Methyltetrahydrofolic acid,0.679772511,0.156069176,0.373876926,0.985668097,1.33E-05,sig
Glycocholic acid,Glycocholic acid,0.359363197,0.064129499,0.233669379,0.485057015,2.10E-08,sig
Adenosine 5'-triphosphate,Adenosine 5'-triphosphate,0.422617857,0.113318777,0.200513054,0.644722661,0.00019189,sig
Taurocholic acid,Taurocholic acid,0.338856322,0.090846743,0.160796705,0.516915938,0.000191497,sig
Oxidized glutathione,Oxidized glutathione,-1.76648904,0.135567408,-2.03220116,-1.500776921,0,sig
NAD,NAD,-1.800654719,0.139456096,-2.073988668,-1.527320771,0,sig
Lactic acid,Lactic acid,-0.315336146,0.054433452,-0.422025712,-0.208646581,6.91E-09,sig
Fumarate,Fumarate,-0.314350176,0.05856886,-0.429145142,-0.19955521,8.00E-08,sig
Citraconic acid,Citraconic acid,0.093950807,0.051435563,-0.006862897,0.19476451,0.067764008,not sig
Allantoin,Allantoin,0.42355337,0.055059259,0.315637223,0.531469517,1.44E-14,sig
Aconitic acid,Aconitic acid,0.224671661,0.055125695,0.116625298,0.332718023,4.59E-05,sig
Citric acid,Citric acid,-0.116450126,0.062844298,-0.23962495,0.006724699,0.063883178,not sig
Chenodeoxycholic acid glycine conjugate,Chenodeoxycholic acid glycine conjugate,0.183457523,0.10595357,-0.024211474,0.39112652,0.083364447,not sig
Malondialdehyde,Malondialdehyde,-0.111777012,0.083793889,-0.276013035,0.052459011,0.182219644,not sig
2-Methylpropanoate,2-Methylpropanoate,-0.45375113,0.076186914,-0.603077482,-0.304424778,2.59E-09,sig
Glyceric acid,Glyceric acid,0.232681505,0.059507302,0.116047193,0.349315816,9.22E-05,sig
Alpha-Ketoisovaleric acid,Alpha-Ketoisovaleric acid,-0.443528467,0.067236248,-0.575311512,-0.311745422,4.21E-11,sig
Methylsuccinic acid,Methylsuccinic acid,-0.03653947,0.051952677,-0.138366717,0.065287777,0.481854989,not sig
Oxalacetic acid,Oxalacetic acid,0.662992746,0.056400554,0.552447661,0.773537831,0,sig
Oxoglutaric acid,Oxoglutaric acid,-0.695284372,0.084574698,-0.861050781,-0.529517963,2.22E-16,sig
2-Hydroxyglutarate,2-Hydroxyglutarate,-0.302948949,0.06320653,-0.426833748,-0.17906415,1.64E-06,sig
Fructose,Fructose,0.352801723,0.063282217,0.228768578,0.476834868,2.47E-08,sig
Glucose 1-phosphate,Glucose 1-phosphate,0.541140807,0.082793653,0.378865248,0.703416366,6.32E-11,sig
Geranyl-PP,Geranyl-PP,-0.170038654,0.055977433,-0.279754423,-0.060322885,0.002384476,sig
Adenylsuccinic acid,Adenylsuccinic acid,0.962526626,0.056418485,0.851946395,1.073106857,0,sig
Glycerol 3-phosphate,Glycerol 3-phosphate,1.442155992,0.070988476,1.30301858,1.581293404,0,sig
Glyceraldehyde,Glyceraldehyde,0.160598059,0.069236327,0.024894858,0.29630126,0.020364501,sig
Pyruvic acid,Pyruvic acid,-0.538735043,0.090409868,-0.715938385,-0.361531701,2.54E-09,sig
Methyl-3-methyl-2-oxopentanoate,Methyl-3-methyl-2-oxopentanoate,-0.178441929,0.053373434,-0.283053859,-0.07383,0.000827966,sig
Isocitric acid,Isocitric acid,0.306468592,0.108981839,0.092864188,0.520072996,0.004921813,sig
Homovanillic acid,Homovanillic acid,0.132798514,0.072878831,-0.010043995,0.275641023,0.068427333,not sig
Trimethylamine,Trimethylamine,0.363713268,0.135197007,0.098727135,0.628699401,0.007139927,sig
Glycine,Glycine,0.23754653,0.103789067,0.034119958,0.440973102,0.022094273,sig
Trimethylamine N-oxide,Trimethylamine N-oxide,0.155022946,0.098827398,-0.038678754,0.348724647,0.116735771,not sig
Sarcosine,Sarcosine,-0.313383163,0.123710093,-0.555854946,-0.07091138,0.011302448,sig
Alanine,Alanine,0.258505886,0.089607803,0.082874592,0.43413718,0.003915889,sig
Cadaverine,Cadaverine,0.730244851,0.095164859,0.543721728,0.916767973,1.68E-14,sig
3-Aminoisobutyric acid,3-Aminoisobutyric acid,0.099547348,0.08996602,-0.076786051,0.275880747,0.268510418,not sig
Choline,Choline,0.200040365,0.09053331,0.022595077,0.377485653,0.027134499,sig
Dimethylglycine,Dimethylglycine,0.255514143,0.091019363,0.077116191,0.433912094,0.004996639,sig
Serine,Serine,0.208375477,0.089301779,0.033343991,0.383406963,0.019627921,sig
Cytosine,Cytosine,0.628184122,0.229747105,0.177879796,1.078488447,0.006252412,sig
Creatinine,Creatinine,0.154935165,0.110389195,-0.061427658,0.371297988,0.160457186,not sig
Proline,Proline,-0.006571507,0.113026992,-0.228104411,0.214961398,0.953636286,not sig
5-Aminopentanoic acid,5-Aminopentanoic acid,0.339078492,0.108333124,0.126745569,0.551411416,0.001748293,sig
Betaine,Betaine,0.236248169,0.108514528,0.023559693,0.448936644,0.02947229,sig
Valine,Valine,0.374104015,0.126887196,0.125405111,0.622802919,0.003195065,sig
Indole,Indole,0.792097473,0.199741103,0.400604912,1.183590034,7.32E-05,sig
Homoserine,Homoserine,0.178211672,0.087968134,0.00579413,0.350629215,0.042778494,sig
Threonine,Threonine,0.173984364,0.088208243,0.001096207,0.34687252,0.048560826,sig
Cysteine,Cysteine,-1.18142241,0.210123517,-1.593264503,-0.769580317,1.88E-08,sig
Niacinamide,Niacinamide,-0.186043925,0.093630957,-0.3695606,-0.00252725,0.046923327,sig
Taurine,Taurine,0.04407954,0.095612869,-0.143321684,0.231480764,0.644783543,not sig
Pyroglutamic acid,Pyroglutamic acid,0.265317837,0.110110959,0.049500357,0.481135318,0.015972217,sig
Pipecolic acid,Pipecolic acid,0.30285823,0.098920402,0.108974241,0.496742218,0.002201312,sig
N-Acetylputrescine,N-Acetylputrescine,0.16555747,0.106581324,-0.043341926,0.374456865,0.120340953,not sig
Creatine,Creatine,0.020796155,0.11779364,-0.210079379,0.251671689,0.859863952,not sig
4-Hydroxyproline,4-Hydroxyproline,0.457833626,0.132771218,0.197602039,0.718065214,0.000564149,sig
5-Aminolevulinic acid,5-Aminolevulinic acid,-0.569667134,0.10297679,-0.771501643,-0.367832625,3.17E-08,sig
Isoleucine,Isoleucine,0.234488313,0.089737835,0.058602158,0.410374469,0.008974149,sig
Leucine,Leucine,0.39088759,0.135003216,0.126281286,0.655493894,0.003786821,sig
Ornithine,Ornithine,0.1119803,0.091231456,-0.066833354,0.290793954,0.219660713,not sig
Asparagine,Asparagine,-1.241186682,0.090022766,-1.417631304,-1.064742061,0,sig
Homocysteine,Homocysteine,0.13051974,0.098831328,-0.063189662,0.324229142,0.186624348,not sig
N-Methylnicotinamide,N-Methylnicotinamide,0.075095124,0.137990412,-0.195366083,0.34555633,0.586300154,not sig
Tyramine,Tyramine,-0.023671197,0.138794157,-0.295707745,0.24836535,0.864578445,not sig
4-Acetamidobutanoic acid,4-Acetamidobutanoic acid,0.235075639,0.087193386,0.064176602,0.405974676,0.007017218,sig
Spermidine,Spermidine,0.849351352,0.221038155,0.416116569,1.282586136,0.00012176,sig
Glutamine,Glutamine,-1.320209826,0.112638382,-1.540981056,-1.099438597,0,sig
Lysine,Lysine,0.209089337,0.108803422,-0.004165369,0.422344043,0.054641433,not sig
Glutamate,Glutamate,0.817255982,0.090388985,0.640093571,0.994418393,0,sig
Methionine,Methionine,0.197076251,0.089661914,0.021338899,0.372813602,0.027949612,sig
Histidine,Histidine,0.18692149,0.114442027,-0.037384884,0.411227863,0.102399806,not sig
Tryptamine,Tryptamine,0.172518714,0.187200193,-0.194393665,0.539431093,0.356751152,not sig
Carnitine,Carnitine,0.224364593,0.091320912,0.045375605,0.403353581,0.014014919,sig
Phenylalanine,Phenylalanine,0.301714486,0.08888667,0.127496612,0.47593236,0.00068786,sig
1-Methyl-histidine,1-Methyl-histidine,0.124234598,0.103766881,-0.079148488,0.327617684,0.231210254,not sig
Arginine,Arginine,0.504852627,0.094711184,0.319218707,0.690486547,9.80E-08,sig
Indoleacetic acid,Indoleacetic acid,0.381956836,0.119802232,0.147144461,0.616769211,0.001431476,sig
Glucosamine,Glucosamine,0.512298501,0.151162182,0.216020623,0.808576378,0.000701313,sig
Tyrosine,Tyrosine,0.125039748,0.099384293,-0.069753466,0.319832961,0.208339697,not sig
N8-Acetylspermidine,N8-Acetylspermidine,0.276207547,0.10024687,0.079723683,0.472691412,0.005864309,sig
Acetylcarnitine,Acetylcarnitine,-0.134671063,0.117104744,-0.364196362,0.094854236,0.250141737,not sig
Tryptophan,Tryptophan,0.154647789,0.089815199,-0.021390001,0.330685579,0.085097727,not sig
Indolelactic acid,Indolelactic acid,0.291906954,0.091405349,0.112752469,0.471061438,0.001405382,sig
Kynurenine,Kynurenine,0.194584399,0.092203897,0.013864761,0.375304038,0.034826442,sig
3-Hydroxy-kynurenin,3-Hydroxy-kynurenin,0.168676582,0.183796735,-0.191565019,0.528918183,0.358757947,not sig
Melatonin,Melatonin,0.438174313,0.183358956,0.07879076,0.797557866,0.016861785,sig
Cystine,Cystine,-0.328389476,0.106246183,-0.536631995,-0.120146957,0.001995942,sig
Cytidine,Cytidine,-0.09469659,0.103984139,-0.298505503,0.109112323,0.362462414,not sig
N1-Acetylspermine,N1-Acetylspermine,-0.119621447,0.181417243,-0.475199242,0.235956349,0.50965693,not sig
Uridine,Uridine,-0.000438012,0.096186875,-0.188964286,0.188088262,0.996366635,not sig
Adenosine,Adenosine,0.150176363,0.193917022,-0.229900999,0.530253725,0.438672878,not sig
Inosine,Inosine,0.042451215,0.13285573,-0.217946015,0.302848446,0.74932565,not sig
6-Methyladenosine,6-Methyladenosine,-0.117057122,0.159089305,-0.42887216,0.194757916,0.461855439,not sig
Guanosine monophosphate,Guanosine monophosphate,1.024719609,0.226418023,0.580940283,1.468498935,6.02E-06,sig
S-Adenosylmethionine,S-Adenosylmethionine,-2.662710925,0.132684241,-2.922772038,-2.402649812,0,sig
Alpha-Tocopherol,Alpha-Tocopherol,-0.497015701,0.096645123,-0.686440143,-0.30759126,2.71E-07,sig
Bilirubin,Bilirubin,-2.313717681,0.13094687,-2.570373547,-2.057061815,0,sig
1-Methyladenosine,1-Methyladenosine,-0.211687031,0.16201173,-0.529230022,0.105855959,0.191343343,not sig
Serotonin,Serotonin,0.301354427,0.102983128,0.099507495,0.503201358,0.003430746,sig
Xanthurenic acid,Xanthurenic acid,0.244676866,0.098130072,0.052341925,0.437011808,0.01265286,sig
4-Trimethylammoniobutanoic acid,4-Trimethylammoniobutanoic acid,0.094317235,0.096929246,-0.095664086,0.284298557,0.330527259,not sig
Epinephrine,Epinephrine,0.415176187,0.100738923,0.217727897,0.612624476,3.77E-05,sig
Indolepyruvate,Indolepyruvate,0.53323156,0.232972954,0.076604569,0.98985855,0.022090212,sig
1-Methylguanosine,1-Methylguanosine,0.343429586,0.107533058,0.132664793,0.554194379,0.001404563,sig
Normetanephrine,Normetanephrine,0.128798304,0.223491896,-0.309245811,0.566842419,0.564412651,not sig
