,Metabolite,edf,p_smooth,AIC_smooth,AIC_linear,Estimate_age,StdErr_age,p_age,original_name
meta130,meta130,1.942711833,0.370953048,459.4915037,459.9752669,-0.001451875,0.004931631,0.768768241,Niacinamide
meta132,meta132,1.81530596,0.368008197,469.6932382,469.7537605,0.003920284,0.005042513,0.437856449,Pyroglutamic acid
meta139,meta139,3.91787526,0.11887265,487.099707,489.1955931,0.007536912,0.005313288,0.157656916,Leucine
meta155,meta155,2.668973367,0.056323159,492.3004675,497.170488,0.003229692,0.005405964,0.550927613,1-Methyl-histidine
meta159,meta159,2.195795768,0.392331664,545.895007,546.56853,-0.002129315,0.006150733,0.729577897,Tyrosine
meta163,meta163,1.992414761,0.26915178,431.8732592,432.4405701,0.004314646,0.00458836,0.348222932,Indolelactic acid
meta165,meta165,1.894090552,0.456903459,745.2535798,745.3899516,-0.003424842,0.010214064,0.737758063,3-Hydroxy-kynurenin
meta171,meta171,2.612883186,0.228320205,751.4712401,753.7376404,0.006098613,0.010409813,0.558664673,Adenosine
meta172,meta172,2.3431651,0.123456645,641.8898994,644.6264243,-0.006291036,0.007898861,0.426749985,Inosine
meta174,meta174,2.395321261,0.1245302,785.4415067,788.7758309,0.002443509,0.011393994,0.830418739,Guanosine monophosphate
meta179,meta179,2.474667994,0.118211281,477.2692332,480.5745063,0.002885978,0.005190665,0.57886124,Serotonin
meta181,meta181,1.840485897,0.285788624,472.6799953,472.7395718,0.005439358,0.005080039,0.285641379,4-Trimethylammoniobutanoic acid
meta185,meta185,1.875232307,0.461093463,811.9651117,812.1259815,0.000312605,0.012109769,0.979432116,Normetanephrine
