"","metabolic","p.value","log10.fc"
"45","3-Nitrotyrosine",0.9890020649235,-0.122940457760755
"46","Myristic acid",0.371072244200368,-0.149317750410509
"47","D-Ribose 5-phosphate",0.408202819094076,0.108822022988506
"48","Biotin",0.277524635641048,0.0699480362197044
"49","Fructose 6-phosphate",0.211940635408781,-0.167094904783744
"50","Glucose 6-phosphate",0.981671115982009,-0.142022537468144
"51","Heptadecanoic acid",0.952369097590991,-0.16712896790821
"52","Linoelaidic acid",0.211941236101101,0.059753912510509
"53","Alpha-Linolenic acid",0.829023529074267,-0.129040130977012
"54","Xanthosine",0.00901829524400594,-0.447083097478161
"55","Argininosuccinic acid",0.0935248209426484,-0.282424075894253
"56","13-HODE",0.833802122408773,-0.0531957610853859
"57","Arachidonic acid",0.252583314830364,-0.145382198853859
"58","dCMP",0.931628326027336,-0.176577466016585
"59","Glutathione",0.0721836684864561,0.298893343603777
"60","N-Acetylneuraminic acid",0.527029901737545,-0.132121537039409
"61","Tetranor 12-HETE",0.932867672252627,-0.035018163944335
"62","5-Thymidylic acid",0.200839672853045,-0.202714021894089
"63","Cytidine monophosphate",0.183454386914252,-0.217198390781773
"64","Alpha-D-Glucose 1,6-bisphosphate",0.930432583373549,-0.0238690636748768
"65","Fructose 1,6-bisphosphate",0.751214015526128,-0.0372565064068965
"66","Alpha-Lactose",0.884315336631872,0.0899732137518884
"67","Sucrose",0.323213811079986,0.158934827903612
"68","Cyclic GMP",0.398545335093533,-0.340670870544171
"69","Gibberellin A3",0.0719210607598148,-0.29878202028867
"70","Adenosine monophosphate",0.0627609774548078,-0.386107804958456
"71","Inosinic acid",0.409072657977332,-0.154468020832677
"72","Prostaglandin E2",0.543160303955653,-0.00704922810082104
"73","Orotidylic acid",0.860189451917612,-0.0597826336339902
"74","S-Adenosylhomocysteine",0.474453206934841,-0.0894281299533662
"75","Uridine 5'-diphosphate",0.034680919965473,-0.310231834455008
"76","ADP",0.417810487147969,-0.20707875854844
"77","Folic acid",0.459896053252961,-0.0996737930479474
"78","Guanosine diphosphate",0.437443897107872,-0.187555732668145
"79","5-Methyltetrahydrofolic acid",0.76135378346079,-0.0328227550213465
"80","Glycocholic acid",0.15656476767761,-0.256174092988342
"81","Adenosine triphosphate",0.869825395961617,-0.0688508923630542
"82","Taurocholic acid",0.0248466643524664,-0.381116630212151
"83","Oxidized glutathione",0.628996259190289,-0.0731170606305419
"84","NAD",0.660409731653013,0.0640521804844006
"85","L-Lactic acid",0.903694553942104,-0.154792674301806
"86","Dimethyl fumarate",0.603615153693269,-0.190834670521675
"87","Citraconic acid",0.553365158900383,-0.192836620807882
"88","Allantoin",0.578233462985564,-0.158562101429721
"89","cis-Aconitic acid",0.71890434728225,-0.127361010674713
"90","Citric acid",0.306984421515714,-0.132657065277833
"91","Chenodeoxycholic acid glycine conjugate",0.0382430302201421,-0.333071119002463
"92","Malondialdehyde",0.935303389548614,-0.0464046120050903
"93","Phenylmethyl 2-methylpropanoate",0.491652042451728,-0.150314976465189
"94","Glyceric acid",0.964572735759131,-0.0870646889453202
"95","Alpha-ketoisovaleric acid",0.809974036690242,-0.0119194627945813
"96","Methylsuccinic acid",0.0122746481096612,-0.348827872143021
"97","Oxalacetic acid",0.104813389252723,-0.175559460838095
"98","Oxoglutaric acid",0.172364308700754,0.169620705320197
"99","2-Hydroxyglutarate",0.760528933354934,0.0884374492668308
"100","D-Fructose",0.423119359859349,0.0652228355172414
"101","Glucose 1-phosphate",0.976784678383931,-0.00581739702709361
"102","Geranyl-PP",0.491652042451728,-0.0043756258863711
"103","Adenylsuccinic acid",0.397012455000632,-0.118653649496552
"104","Glycerol 3-phosphate",0.927998145591823,-0.0497853885090311
"105","Glyceraldehyde",0.375191851194378,0.156111855723974
"106","Pyruvic acid",0.862596724020858,-0.0602832400213465
"107","Methyl (R)-3-methyl-2-oxopentanoate",0.629485854316783,-0.17925287415665
"108","Isocitric acid",0.545193755762085,0.136917511060755
"109","Homovanillic acid",0.755867038780589,0.00864368325845649
"110","Trimethylamine",0.126002435910886,-0.255720022475698
"111","Glycine",0.776913130757371,-0.262604693854844
"112","Trimethylamine N-oxide",0.122998168124866,-0.277826722957635
"113","Sarcosine",0.0114500844547094,-0.51705100949179
"114","L-Alanine",0.682587838063333,-0.219534558590148
"115","Cadaverine",0.192444199643495,-0.240234726571264
"116","2-Aminoisobutyric acid",0.0935248209426484,-0.320143049841215
"117","Choline",0.130615626403504,-0.278061291576355
"118","Dimethylglycine",0.00163002827665039,-0.357677264897209
"119","L-Serine",0.874650882527748,-0.224492355112972
"120","Cytosine",0.17621813851599,-0.162862830950246
"121","Creatinine",0.0268875409557488,-0.332662948609195
"122","L-Proline",0.487801389991083,0.0193993313361248
"123","5-Aminopentanoic acid",0.0220372019468285,-0.311060226991297
"124","Betaine",0.255132643610473,-0.0587737846973727
"125","L-Valine",0.444710483182542,-0.29285165628046
"126","Indole",0.756151603892173,0.0307646557924466
"127","L-Homoserine",0.98655828955332,-0.226701863778818
"128","L-Threonine",0.981671140070646,-0.231230302533662
"129","L-Cysteine",0.677788239154166,-0.0842382099192118
"130","Niacinamide",0.225708751057336,-0.254454751017734
"131","Taurine",0.376843576356862,-0.290915945223974
"132","Pyroglutamic acid",0.79339717006653,-0.160652703469622
"133","L-Pipecolic acid",0.072406406518716,-0.346297919910673
"134","N-Acetylputrescine",0.175756056552178,-0.283070640394089
"135","Creatine",0.112922044776065,-0.032017521654023
"136","4-Hydroxyproline",0.181197344039603,-0.108544079930542
"137","5-Aminolevulinic acid",0.6513994860778,-0.163016913704434
"138","L-Isoleucine",0.177230928065941,-0.289048514601642
"139","L-Leucine",0.517074023543285,-0.13248814736289
"140","Ornithine",0.0593776791027009,-0.321354670997537
"141","L-Asparagine",0.7074824399527,-0.104052113263218
"142","Homocysteine",0.551316693224036,-0.208762295931199
"143","N-Methylnicotinamide",0.755867038780589,-0.111181768684236
"144","Tyramine",0.273309379695732,-0.248633079376026
"145","4-Acetamidobutanoic acid",0.017093769718048,-0.33553016366601
"146","Spermidine",0.511431118791208,-0.177591040351396
"147","L-Glutamine",0.10813397428882,0.156574223600821
"148","L-Lysine",0.684837259342118,-0.259501512638095
"149","DL-Glutamate",0.0654017585422373,-0.265422071577176
"150","L-Methionine",0.262887749694921,-0.25806992143399
"151","Cysteamine",0.461208009427359,-0.167161930772414
"152","L-Histidine",0.578233462985564,-0.237764719796388
"153","Tryptamine",0.893726940269886,-0.21132614834647
"154","L-Carnitine",0.682587838063333,-0.270112651855501
"155","L-Phenylalanine",0.976784678383931,-0.228579661784072
"156","1-Methyl-L-histidine",0.957249373468318,-0.0826292351977011
"157","L-Arginine",0.653607916801402,-0.241001129032841
"158","Indoleacetic acid",0.0494108675734591,-0.274512239714778
"159","Glucosamine",0.817064899932773,0.0391971218065682
"160","L-Tyrosine",0.79339717006653,-0.351249748559934
"161","N8-Acetylspermidine",0.0483568858595351,-0.322399584954023
"162","L-Acetylcarnitine",0.136162082449287,-0.148534887263875
"163","L-Tryptophan",0.833802122408773,-0.248534210307225
"164","Indolelactic acid",0.0138448425231025,-0.388181542897537
"165","L-Kynurenine",0.368629789167475,-0.266729007694745
"166","3-hydroxy-L-kynurenin",0.868778413381867,0.0146604835057471
"167","Melatonin",0.664129408782043,-0.0589210219655172
"168","L-Cystine",0.30553626221246,-0.24264683273399
"169","Cytidine",0.0888311744530597,-0.301682682298194
"170","N1-Acetylspermine",0.830855550639826,-0.0441623913513957
"171","Uridine",0.616490972539531,-0.206305554663054
"172","Adenosine",0.429963124873905,-0.323269772681445
"173","Inosine",0.100301160152609,-0.275756707363547
"174","2'-O-Methyladenosine",0.609857027332493,-0.0945467788945813
"175","Guanosine monophosphate",0.00923166047110471,-0.321964631722496
"176","S-Adenosylmethionine",0.931651758193016,0.0241928677520525
"177","Alpha-Tocopherol",0.545193755762085,-0.0819590553208539
"178","Bilirubin",0.238269115085357,0.153300481995402
"179","Acetamidopropanal",0.696125986224004,-0.251468922645813
"180","1-methyladenosine",0.748890879876016,-0.172649482159934
"181","Serotonin",0.00543865843998807,-0.424279980946962
"182","Xanthurenic acid",0.0610499168759629,-0.335167092947947
"183","4-Trimethylammoniobutanoic acid",0.0402866107072351,-0.308097274093925
"184","Epinephrine",0.465042994794181,-0.212568000610345
"185","Indolepyruvate",0.948732836146935,-0.0604963257768473
"186","1-Methylguanosine",0.0959451586785282,-0.268974104170772
"187","Normetanephrine",0.990998724666702,-0.0224951422568145
"188","Carnosine",0.350847640748176,0.066502706824959
