metabolites,p.value,log10.fc
Glucosamine,0.203009488,-0.371690726
Tyrosine,0.425211359,-0.012189403
N8-Acetylspermidine,0.659863149,0.076304972
Acetylcarnitine,0.400355098,0.399353399
Tryptophan,0.224088695,-0.023768433
Indolelactic acid,0.000396197,-0.296250959
Kynurenine,0.040134942,-0.078498407
3-Hydroxy-kynurenin,0.711983405,0.154101707
Melatonin,0.475981382,-0.066270144
Cystine,0.878784203,-0.081016963
Cytidine,0.628615414,0.000355532
N1-Acetylspermine,0.617664725,0.195378158
Uridine,0.128322862,0.026466175
Adenosine,0.105080437,-0.602672706
Inosine,0.104092769,-0.442575305
6-Methyladenosine,0.982611226,0.062736336
Guanosine monophosphate,0.177789067,-0.82892139
S-Adenosylmethionine,0.556292564,-0.282115959
Alpha-Tocopherol,0.014157486,0.134104029
Bilirubin,0.045492918,0.137874201
1-Methyladenosine,0.318349532,0.118227646
Serotonin,0.996523272,-0.034583839
Xanthurenic acid,0.022670357,-0.217266561
4-Trimethylammoniobutanoic acid,0.003003092,-0.063446732
Epinephrine,0.456197133,-0.029618929
Indolepyruvate,0.358831468,0.426321098
1-Methylguanosine,0.653563667,-0.029879075
Normetanephrine,0.702987642,0.242901453
