metabolites,p.value,log10.fc
Ribose 5-phosphate,1,-0.019107278
Biotin,0.014549939,0.377374236
Fructose 6-phosphate,0.895433053,0.02264678
Glucose 6-phosphate,0.730086299,0.066799958
Heptadecanoic acid,0.17145211,0.148136814
Linolenate,0.454747767,0.043052692
Alpha-Linolenic acid,0.428571514,0.056640365
Xanthosine,0.457772809,-0.083373225
Argininosuccinic acid,0.562596767,0.094628017
13-HODE,1,0.024993263
Arachidonic acid,0.66572037,0.049771459
dCMP,0.598862936,0.033124731
Glutathione,0.778717423,0.083288016
N-Acetylneuraminic acid,0.269793541,-0.058843911
12-HETE,0.993499407,-0.004231286
5-Thymidylic acid,0.488040199,0.144729502
Cytidine monophosphate,0.616104827,-0.112614293
"Glucose 1,6-bisphosphate",0.284334959,0.129129382
"Fructose 1,6-bisphosphate",0.095613784,0.276273455
Alpha-Lactose,0.156417666,0.14058657
Sucrose,0.242238317,0.137959054
"3',5'-Cyclic GMP",0.559716712,0.108958347
Gibberellin A3,0.58484927,-0.025143954
Adenosine monophosphate,0.763012679,0.05701891
Inosinic acid,0.133578514,-0.275691099
Prostaglandin E2,0.222893713,0.136423227
Orotidylic acid,0.565279195,0.044321632
S-Adenosylhomocysteine,0.102433606,-0.075913619
Uridine 5'-diphosphate,0.046820649,-0.322490977
Adenosine 5'-diphosphate,0.142389047,-0.321434272
Folic acid,0.119104486,-0.504872983
Guanosine 5'-diphosphate,0.269793541,-0.086605419
5-Methyltetrahydrofolic acid,0.742049649,-0.148899321
Glycocholic acid,0.775474954,0.043968013
Adenosine 5'-triphosphate,0.705527985,0.071869218
Taurocholic acid,0.58484927,-0.088378661
Oxidized glutathione,0.661284396,-0.143790194
NAD,0.1933411,-0.46276882
Lactic acid,0.70166146,-0.171715979
Fumarate,0.032615021,0.269944068
Citraconic acid,0.630519257,-0.040553361
Allantoin,0.176692697,-0.06100223
Aconitic acid,0.156417666,0.185089022
Citric acid,0.331037843,0.088430679
Chenodeoxycholic acid glycine conjugate,0.642166549,0.181484616
Malondialdehyde,0.182049716,0.145086667
2-Methylpropanoate,0.618961587,-0.084260913
Glyceric acid,0.014549939,0.149112213
Alpha-Ketoisovaleric acid,0.562596767,0.104590073
Methylsuccinic acid,0.083049568,-0.067277904
Oxalacetic acid,0.630519257,0.065701844
Oxoglutaric acid,0.182049716,0.186987821
2-Hydroxyglutarate,0.198829881,0.082466162
Fructose,0.26271436,0.088015778
Glucose 1-phosphate,0.775474954,-0.095784843
Geranyl-PP,0.151631353,-0.128609572
Adenylsuccinic acid,0.019244183,0.205864933
Glycerol 3-phosphate,0.095613784,0.142964439
Glyceraldehyde,0.146955572,0.17098267
Pyruvic acid,0.562596767,-0.041172985
Methyl-3-methyl-2-oxopentanoate,0.477834708,-0.107421862
Isocitric acid,0.146955572,-0.551076133
Homovanillic acid,0.551623408,0.139255412
Trimethylamine,0.419079993,-0.307596219
Glycine,0.229217197,0.091838181
Trimethylamine N-oxide,0.993499407,-0.168044516
Sarcosine,0.914956345,-0.029194103
Alanine,0.677621927,-0.178986505
Cadaverine,0.014549939,-0.373611835
3-Aminoisobutyric acid,0.851341221,-0.046085398
Choline,0.70166146,-0.185889009
Dimethylglycine,0.419079993,-0.184134962
Serine,0.248937205,-0.122926414
Cytosine,0.546231765,-0.700439811
Creatinine,0.013872823,-0.241002241
Proline,0.210617365,-0.110392913
5-Aminopentanoic acid,0.508793231,-0.110064836
Betaine,0.457772809,-0.265724604
Valine,0.04906911,-0.132914697
Indole,0.353385492,0.21976593
Homoserine,0.653901072,-0.183848661
Threonine,0.618961587,-0.180041605
Cysteine,0.002110448,-1.232506517
Niacinamide,0.400466154,-0.263376794
Taurine,0.713794113,-0.061605656
Pyroglutamic acid,0.954519609,-0.136816773
Pipecolic acid,0.242238317,-0.229882278
N-Acetylputrescine,0.66572037,-0.269198237
Creatine,0.041811668,-0.030432575
4-Hydroxyproline,0.400466154,-0.134105689
5-Aminolevulinic acid,0.889835357,-0.230502414
Isoleucine,0.00449311,-0.299167805
Leucine,0.023050756,-0.14895314
Ornithine,0.029955749,-0.303612936
Asparagine,0.477834708,-0.127160525
Homocysteine,0.03401747,-0.270776626
N-Methylnicotinamide,0.17145211,-0.378994181
Tyramine,0.462599932,0.195342377
4-Acetamidobutanoic acid,0.040143982,-0.240457025
Spermidine,0.44049574,-0.717284024
Glutamine,0.086060035,0.163422809
Lysine,0.176692697,-0.22978263
Glutamate,0.031261552,-0.30580572
Methionine,0.053070227,-0.372374822
Histidine,0.864138531,-0.265605882
Tryptamine,0.559367408,-0.45155199
Carnitine,0.339270983,-0.188042089
Phenylalanine,0.373480466,-0.19429118
1-Methyl-histidine,0.419079993,-0.320383816
Arginine,0.284334959,-0.143109571
Indoleacetic acid,0.382350072,-0.375416295
Glucosamine,0.260145792,-0.433694873
Tyrosine,0.121148653,-0.086035696
N8-Acetylspermidine,0.889835357,-0.124044515
Acetylcarnitine,0.902728315,-0.013752374
Tryptophan,0.519337734,-0.191292988
Indolelactic acid,0.001790344,-0.428729579
Kynurenine,0.009371418,-0.265419177
3-Hydroxy-kynurenin,0.443571267,0.298540933
Melatonin,0.875626667,-0.278160648
Cystine,0.630519257,-0.169751746
Cytidine,0.277000305,-0.29843571
N1-Acetylspermine,0.298290683,0.425938427
Uridine,0.428571514,-0.10960031
Adenosine,0.089004664,-0.705333726
Inosine,0.725998383,0.093174538
6-Methyladenosine,0.99344481,-0.135146455
Guanosine monophosphate,0.062102717,-0.889668706
S-Adenosylmethionine,0.927990132,-0.149265194
Alpha-Tocopherol,0.151631353,0.100954922
Bilirubin,0.016828587,1.07495914
1-Methyladenosine,0.331037843,-0.185965134
Serotonin,0.121148653,-0.442110844
Xanthurenic acid,0.004024109,-0.461134156
4-Trimethylammoniobutanoic acid,0.409711247,-0.132144506
Epinephrine,0.813192491,-0.24957291
Indolepyruvate,0.590512654,-0.075412539
1-Methylguanosine,0.066706545,-0.201766569
Normetanephrine,0.282059419,0.417221265
